"id","content","content_en","content_fr","content_kr","content_scn","content_tcn","content_ina","content_thai"
22,"我が光の中で朽ちるがいい","You shall rot in my light.","Pourrissez donc à la Lumière !","내 빛 안에서 썩어버리도록 해라.","在我的光芒中腐朽吧。","在我的光芒中腐朽吧","Lebih baik aku membusuk di dalam cahaya.","จงสลายไปด้วยลำแสงของข้าซะ"
23,"現世より、この場所を私は気に入ってるよ","I like it here more than anywhere else in the world.","Je préfère cet endroit au Monde réel.","현세보다 나는 이 장소가 더 마음에 드는군.","比起现世，我更喜欢这个地方。","比起現世，我更喜歡這個地方","Aku lebih suka tempat ini dari pada dunia.","ฉันชอบที่นี่มากกว่าโลกปัจจุบันอีกนะ"
24,"テメエには借りがあったな、きっちり返させてもらうぜ","I'm owe you a debt. Time to pay it back!","J'avais une dette envers Toi. Il est grand temps de la payer !","너에게 진 빚은 그대로 돌려주도록 하지.","似乎还欠你一笔对吧,那就让我好好的来偿还。","似乎還欠你一筆對吧,那就讓我好好的來償還","Aku telah meminjamkanmu sesuatu, bisakah kau kembalikan itu.","ฉันมีหนี้กับแกอยู่นี่นะ งั้นจะขอคืนให้เดี๋ยวนี้เลยก็แล้วกัน"
25,"俺たちはもう一度戻る、そうだろエヴァ","We're going to come back here, right Eva?","Nous allons revenir ici, n'est-ce pas Eva ?","우린 다시 돌아올꺼야. 그렇지? 에바.","我们还会回去的，对吧，艾伯","我們還會回去的，對吧，艾伯","Kita akan kembali lagi kesini, bukan begitu Eva ?","พวกเราจะกลับไปอีกครั้ง ใช่ไหมล่ะ เอวา"
26,"そう熱くなるな。いずれ分かる、お前にもな","Calm down! When the time has come, you will know.","Calmez-vous ! Quand le moment sera venu, je vous le ferai savoir !","그렇게 열내지 말라구. 언젠가 너도 알게 될테니까.","别这么激动，你迟早也会明白的。","別這麼激動，你遲早也會明白的","Tenanglah, suatu saat kamu juga pasti akan mengerti.","อย่าใจร้อนแบบนั้นสิ เดี๋ยวยังไงก็ได้รู้กันแล้ว ทั้งแกทั้งฉันนั่นแหละ"
27,"行いには報いがあります。正邪を問わず","Do you honestly know the meaning of [Retribution]?","Connaissez-vous vraiment la définition du mot ‹ Redistribution › ?","옳고 그름에 상관없이 행동에는 그 대가가 따릅니다.","所做的事一定会有所报应，不论正邪。","所做的事一定會有所報應，不論正邪","Perbuatanmu akan ada imbalanya. Kebenaran dan kesalahan itu tidak dipertanyakan.","การกระทำใดก็มีการชดเชย ไม่ว่าจะถูกหรือผิดก็ตาม"
28,"私は使命のために戦います。あなたは？","I fight for the mission. What is your reason for fighting?","Je combats pour réaliser une mission. Et vous ?","저는 사명을 위해서 싸울 것입니다. 당신은 어떻게 하시겠습니까?","我是为了使命而战。你呢？","我是為了使命而戰。你呢？","Aku berjuang untuk misi. Bagaimana dengan kamu ?","ฉันจะสู้เพื่อชีวิตของตัวเอง แล้วคุณล่ะ?"
29,"世界の涯ては、ここではない。エヴァリスト","This is not the end, Evarist.","Ce n'est pas la fin du monde. Evarist.","세계의 끝은 여기가 아니야. 에바리스트.","艾伯李斯特、这里可不是世界的尽头。","艾伯李斯特，這裡可不是世界的盡頭","Disini bukanlah cakrawala dunia, Evarist.","ขอบโลกน่ะไม่ใช่ที่นี่หรอก เอวาริสท์"
30,"死よりも深い闇。見せてやろう","You will face the darkness... A darkness darker than death.","Vous allez devoir affronter l'Obscurité... Une obscurité bien plus sombre encore que la Mort.","죽음보다도 깊은 어둠을 보여주지.","就让你看看比死还要更深的黑暗吧。","就讓你看看比死還要更深的黑暗吧","Akan ku perlihatkan bahwa kegelapan itu lebih gelap dari mata kematian","ฉันจะให้แกได้เห็นความมืดที่ล้ำลึกกว่าความตาย"
31,"さて、有用な実験になるといいけど","Well well... I hope this will be a useful experiment.","Bien bien... Espérons que ce sera une expérience utile !","자，유용한 실험이 되길 빌께.","那么，就希望会是场有用的实验了。","那麼，就希望會是場有用的實驗了","Ok. Berharap akan jadi berguna untuk percobaan.","ถ้าเป็นการทดลองที่ใช้ได้ก็ดีน่ะสิ"
32,"あなたの力見せてちょうだい","Show me what you've got!","Laissez-moi voir ce que vous avez dans le ventre !","당신의 힘을 보여줘.","让我见识一下你的力量吧。","讓我見識一下你的力量吧","Tolong perlihatkan kekuatanmu.","ขอดูพลังของเธอหน่อยสิ"
33,"さーて、楽しませてもらうぜ","Time for some some fun!","Haha, il est temps de s'amuser un peu !","그럼. 즐겨보도록 할까.","那么，就让我好好享受一下吧。","那麼，就讓我好好享受一下吧","Haha, waktunya bersenang-senang.","เอาล่ะ งั้นขอสนุกด้วยหน่อยนะ"
34,"ひさしぶりだな。腕は上げたか？","Haven't seen you in a while... Gotten any better?","Ca fait longtemps que je ne vous ai pas vu. Vous êtes-vous amélioré depuis ?","오랜만이군. 실력은 좀 나아졌나?","好久不见啦。有没有变强啊？","好久不見啦。有沒有變強啊？","Lama tidak bertemu, apakah kemampuanmu sudah meningkat ?","ไม่เจอกันนานเลยนะ เก่งขึ้นบ้างไหม?"
35,"さあ、ワタシと一緒に楽しみましょう。　","We shall have an excellent time together.","Nous allons bien nous amuser ensemble.","그럼，나랑 함께 즐겨볼까?!","来吧、和我一起玩吧。","來吧，和我一起玩吧","Ayo bersenang-senang denganku.","มาเถอะ มาสนุกด้วยกันสิ"
36,"あら、お久しぶり。･･･ブッつぶす！","It's been a long time but never again. Prepare to die!","Oh, ça fait longtemps que je ne vous avais pas vu. Il va falloir que je vous écrase aujourd'hui !","오호，오랜만이군…박살을 내주겠어!","哎呀，好久不见。…看我打爆你！","哎呀，好久不見。…看我打爆你！","Oh, lama tidak bertemu....... Akan kuhancurkan kau.","อ๊ะ ไม่เจอกันนานเลยนะ ...ตายซะเถอะ!"
37,"ホント、目ざわりな女！　消えな！","Get way annoying brat!","Disparais de ma vue, petite enquiquineuse.","정말，눈에 거슬리는 여자야! 제발 사라져줘!","真是碍眼的女人！给我消失吧！","真是礙眼的女人！給我消失吧！","Benar-benar wanita yang menjelkan. Pergi kau !","ให้ตายสิ ขัดลูกตาซะจริง! หายไปซะ!"
38,"邪魔をするなら容赦しないよ！","I will show no mercy if you stand in my way.","Je ne ferai preuve d'aucune pitié si vous ne vous écartez pas de mon chemin.","방해을 한다면 당신의 목숨을 내줘야 할겁니다.","若是敢妨碍我的话，绝对不会放过你的！","若是敢妨礙我的話，絕對不會放過你的！","Jika kamu menggangguku, tidak akan ku maafkan.","ถ้าเข้ามายุ่งล่ะก็จะไม่ปราณีแล้วนะ!"
39,"探したよ･･･お姉ちゃん！","I was looking for you... my dear sister!","Je t'ai cherchée partout... Ayn !","찾았다구요~! 언니!","找你好久了…姊姊！","找你好久了…姊姊！","Aku mencarimu,,, kakak,,,","ตามหามาตั้งนานแน่ะ...พี่!"
40,"スプラートなの？･･　本当に？","Sprout? Is that you?","Sprout ? Est-ce toi ?","스프라우트인거야? 정말로?","是史普拉多吗？　真的是你吗？","是史普拉多嗎？…真的是你嗎？","Sprout ? Apakah itu kamu ?","สเปราท์งั้นเหรอ? จริงๆ เหรอ?"
41,"冷たく甘美な死の匂い。あなたも好きでしょう？","Don't you just love the sweet smell of a cold grave?","N'appréciez-vous pas l'odeur de la mort, glacialement sucrée ?","차갑고 감미로운 죽음의 냄새. 당신도 좋아하져?","冰冷又甜美的死亡气味。你也喜欢的吧？","冰冷又甜美的死亡氣味。你也喜歡的吧？","Kamu juga suka kan ? Bau kematian yang dingin dan harum.","กลิ่นของความตายอันเยือกเย็นที่ช่างงดงามหวานหอม เธอเองก็ชอบใช่ไหมล่ะ?"
42,"刃向かうのなら、冷たい土に帰るといいわ","If you dare stand against me, I'll make you sleep under this cold ground forever!","Si vous vous mettez sur mon chemin, je vous promets de vous envoyer trois pieds sous terre.","칼날을 향한다면 차가운 땅으로 돌아가는 것이 좋을꺼야!","胆敢反抗我的话，就让你回到冰冷的土里去喔。","膽敢反抗我的話，就讓你回到冰冷的土裡去喔","Jika mau menyerang kembali, lebih baik pulanglah ke tanah yang dingin.","ถ้าจะหันดาบใส่ ก็จงกลับลงไปสู่พื้นที่เย็นเยียบนั่นเถอะ"
43,"死を運ぶ女･･･始末は付けさせてもらおうか","Bringer of death, it's time for your own.","Femme mortelle, allez en Enfer !","죽음을 부르는 여자…결말을 내주지.","带来死亡之女…就由我来解决你吧。","帶來死亡之女…就由我來解決妳吧","Wanita pembawa kematian ...... bagaimana kalau kita habisi saja.","หญิงสาวผู้นำพาความตาย...มาจบเรื่องกันเลยดีกว่า"
44,"時間がないんでね。雑魚にかまってるヒマはない","I'm in quite a hurry, I don't have time to play games with an idiot like you.","Je suis pressé. Je n'ai pas le temps de jouer à des jeux inutiles avec un imbécile tel que vous !","시간이 없어서 말이지. 하찮은 것에 신경쓸 여유가 없어.","我可是很忙的呢。没时间跟杂碎鬼混啊。","我可是很忙的呢。沒時間跟雜碎鬼混啊","aku tidak punya waktu bermain dengan orang idiot seprti kamu.","ฉันไม่มีเวลาเท่าไหร่ ไม่ว่างมาจับปลาซิวปลาสร้อยเล่นหรอกนะ"
45,"アンタと戦えるのはうれしいねえ","It's my pleasure to fight against you.","Quel plaisir de vous affronter.","당신하고 싸운다는게 말야 왠지 즐거운데.","能与你战斗还真是令人高兴呢。","能與你戰鬥還真是令人高興呢","Aku senang bisa bertarung denganmu.","ดีใจจังที่ได้สู้กับคุณ"
46,"状況確認。敵を排除する","Situation green. Proceed to eliminate the enemy.","Commencez à éliminer l'ennemi.","상황확인. 적을 무시한다.","状况确认。开始排除敌人。","狀況確認。開始排除敵人","Pastikan situasinya untuk menyingkirkan musuh.","ยืนยันสถานการณ์ เตรียมเก็บกวาดศัตรู"
47,"手札のめぐり合わせは運、しかしどのカードを選ぶかは意思です","Fate deals you cards, but it's up to you to use them.","La chance vous offre une carte. Mais ce sera à vous de décider comment l'utiliser.","어떤 카드를 받을 지는 당신의 운，그리고 그 카드를 내는건 당신의 의지입니다.","手里会来什么牌靠的是运气，但是选择如何出牌是靠个人意识。","手裡會來什麼牌靠的是運氣，但是選擇如何出牌是靠個人意識","Nasib memiliki satu tangan itu beruntung, Tapi kartu mana yang akan dipilih itu tujuanya.","สิ่งที่จะนำพาไพ่ในมือมาคือโชคชะตา แต่สิ่งที่เลือกไพ่นั้นคือความนึกคิดของท่าน"
48,"あなたにもゲームのレッスンが必要ですか？","Do I need to teach you how to play too?","Avez-vous également besoin que je vous apprenne à jouer ?","당신도 게임 레슨이 필요하나요?","需要帮你做个游戏教学吗？","需要幫你做個遊戲教學嗎？","Apakah kamu juga perlu pelajaran tentang game?","ท่านต้องการทราบวิธีการเล่นเกมหรือไม่?"
49,"運にも流れがあります。それを見極めなさい","Luck flows, just try to go with it.","La chance est volatile. Essayer de l'attraper au passage.","운에도 흐름이 있습니다. 그것을 파헤쳐 보세요.","运气也是有其走向。还请努力掌握。","運氣也是有其走向。還請努力掌握","Keburuntungan itu terus mengalir. Pastikan itu.","แม้โชคชะตาก็ยังมีการผันเปลี่ยน กรุณาจับตาดูให้ดี"
50,"ゲームには幸運も不運もあります。ただし最後に帳尻はあうのです","In any game there is good luck and there is bad luck, but by the end of the game everything is balances.","Bien qu'il y ait toujours chance et malchance, ces deux données s'équilibrent à la fin du jeu.","게임에는 행운도 불운도 존재합니다. 하지만 결과는 동일합니다.","游戏里也许有分幸运或不幸，但是最终收支都将会平衡。","遊戲裡也許有分幸運或不幸，但是最終收支都將會平衡","Di dalam permainan (game) itu ada keberuntungan dan tidak beruntung. Namun pada akhirnya semua itu akhirnya sama.","เกมนั้นมีทั้งโชคดีและโชคร้าย แต่สุดท้ายแล้วสิ่งเหล่านั้นก็จะมาบรรจบรวมกัน"
51,"選択肢は無限にあっても、あなたが選べる未来はひとつです","There are many paths to choose, but you only have one future.","Beaucoup de choix s'offrent à vous, mais vous ne pourrez en choisir qu'un.","선택사항은 무수히 많지만 당신이 선택할 수 있는 미래는 단 하나입니다.","即便有无限的选择，但你能选择的未来永远只有一个。","即便有無限的選擇，但你能選擇的未來永遠只有一個","Meskipun ada banyak pilihan, Kamu hanya bisa memilih satu masa depanmu.","ต่อให้มีตัวเลือกเป็นอนันต์ ทว่าสิ่งที่ท่านเลือกนั้นมีได้เพียงหนึ่ง"
52,"薄汚い野蛮人め、私の前から失せろ","Go away you filthy barbarian!","Sale sauvage, hors de ma vue !","지저분한 야만인，내 앞에서 사라져라.","你这肮脏的野蛮人、从我面前消失吧。","你這骯髒的野蠻人，從我面前消失吧","Orang biadab, keluar kau dari hadapanku.","จงหายไปจากสายตาของข้าซะ เจ้าคนเถื่อนโสโครก"
53,"見た目麗しい人形だが、その臓腑はどんなものかな","I wonder what the entrails of a doll look like.","Vous ressemblez à une jolie poupée, mais je me demande à quoi ressemble vos viscères.","겉보기는 귀여운 인형인데，그 내장은 어떤지 궁금하군.","外表看起来是美丽的人偶、但那脏腑又是如何呢。","外表看起來是美麗的人偶，但那臟腑又是如何呢","Penampilanya cantik seperti boneka, tapi dalamnya bagaimana ya.","ภายนอกก็ดูเป็นตุ๊กตาที่งดงามดีอยู่หรอก แต่ข้างในจะเป็นยังไงบ้างนะ?"
54,"裏切り者らしい、無惨な死を与えよう","I will give you a traitor's death.","Je n'ai qu'une mort douloureuse à offrir aux traîtres.","역시 배신자 답군，무참한 죽음을 주지.","就让我给予你符合背叛者的惨死方式吧。","就讓我給予你符合背叛者的慘死方式吧","Kamu adalah pengkhianat, aku akan membunuhmu dengan kejam.","สมกับเป็นคนทรยศ ขอมอบความตายแสนทรมานให้ก็แล้วกัน"
55,"どうした、また例の発作か？","What's the matter, having another episode?","Que se passe-t-il ? Vous remuez encore de vieilles querelles ?","왜 그래，또 발작인거야?","怎么了，又是老样子的发作吗？","怎麼了，又是老樣子的發作嗎？","Ada apa ? Apakah ada masalah lagi ?","เป็นอะไรไป? อาการตะคริวนั่นอีกแล้วรึ?"
56,"余は世界を監視する。何人も見逃すわけにはいかぬ","This one monitors the whole, there is no one who cannot be seen.","Je dirige le monde et tous les êtres qui le peuplent.","나는 세계를 감시하지，한명이라도 놓칠 수 없단 말이야.","吾监视整个世界，绝不放过任何人。","吾監視整個世界，絕不放過任何人","Aku akan mengamati semua orang yang ada di dunia.","เราจะจับตาดูโลกใบนี้ ไม่ให้เล็ดลอดสายตาไปแม้แต่คนเดียว"
57,"手合わせか、悪くない","A match? Certainly.","Un Duel ? Ca me va.","상대를 해주는건가? 나쁘지 않군.","较量啊，也没什么不好的。","較量啊，也沒什麼不好的","Bertarung ? Boleh juga.","ประมืองั้นรึ? ก็ไม่เลว"
58,"失礼ながら手合わせを願います。レッドグレイヴ様","I know it's rude, but please have a match with me, Mrs. Redgrave?","Je sais que vous devez me trouver insolent, mais accepteriez-vous de faire un Duel contre moi, Marguerite ?","실례되지만 한 수 부탁 드립니다. 레드그레이브님.","蕾格列芙大人，虽然有点失礼但请与我较量一下。","蕾格列芙大人，雖然有點失禮但請與我較量一下","Tolong, bertarunglah denganku. Redgrave.","ขอเสียมารยาทประลองด้วยขอรับ ท่านเรดเกรฟ"
59,"混沌の魔にとりつかれた愚か者よ。分をわきまえよ","You are possessed by a chaos demon. You're a fool not to know it.","Pauvre idiot, vous êtes possédé par le Démon du Chaos. Vous feriez mieux de savoir qui vous êtes vraiment.","혼돈의 마에 사로잡힌 어리석은 자여! 자신을 되돌아봐라.","受混沌之魔缠身的愚者啊，给我明白你自己的身分。","受混沌之魔纏身的愚者啊，給我明白你自己的身分",,"เจ้าคนเขลาที่ถูกปิศาจแห่งความยุ่งเหยิงเข้าสิงเอ๋ย จงสำเหนียกตัวเองบ้าง"
60,"この炎は全てを焼き尽くす。全てだ","The fire will burn everything. Everything.","Le feu dévorera tout.","이 화염은 모든 것을 불태우지，모든 것을…","这个火焰将会烧尽一切。所有的一切。","這個火焰將會燒盡一切。所有的一切","Api ini akan benar-benar membakar semuanya. Semuanya.","เพลิงนี้จะเผาผลาญทุกอย่างให้มอดไหม้... ทุกๆ อย่าง"
61,"勝負になるといいがな","It would be nice if this became a real fight.","Ce serait si agréable si c'était un vrai Duel.","상대가 되면 좋을려만…","能是场不相上下的对战就好了。","能是場不相上下的對戰就好了","Akan jadi lebih baik jika ini jadi pertarungan yang sesungguhnya.","ถ้าประลองกันได้ก็ดีนะ"
62,"挨拶は必要ないぜ。　かかってきな","No greetings necessary. Just fight.","Ne nous perdons pas en courbettes inutiles, commençons le Duel !","인사 같은 건 필요없어. 덤비란 말이야.","不用打招呼了,直接打过来吧！","不用打招呼了,直接打過來吧！","Tidah perlu salam. Ayo lawan aku.","ไม่จำเป็นต้องทักทายหรอก เข้ามาเลยดีกว่า"
63,"貴様の太刀筋、見せてもらおう","Show me your swordcraft.","Laissez-moi voir ce que vous avez dans le ventre.","너의 칼쓰는 솜씨를 한번 보지.","就让我看看你的实力吧。","就讓我看看你的實力吧","Ayo perlihatkan pedangmu.","ขอดูฝีมือดาบของแกหน่อยแล้วกัน"
64,"無は全てを支配する。お前をその供物にしてやろう","Everything is controlled by nothingness. I will make an offering of you.","Tout est contrôlé par le Néant. Je vais vous sacrifiez pour Lui.","無는 모든 것을 지배하지. 너를 그 제물로 받치겠어.","虚无支配了一切。你就成为那个祭品吧！","虛無支配了一切。你就成為那個祭品吧！","Ketidakadaanlah yang mengendalikan semuanya. Kau akan menjadi persembahan.","ความว่างเปล่าจะเข้ายึดครองทุกสิ่ง รวมทั้งแกด้วย"
65,"俺の見たものをお前にも見せてやりたかったよ","I want to show you what I've seen.","Je voudrais vous faire voir ce que j'ai vu.","내가 본 것을 너에게도 보여주고 싶었어.","我想让你也看到我所亲眼目睹过的那些事。","我想讓你也看到我所親眼目睹過的那些事","Apa yang sudah aku lihat, Aku juga ingin memperlihatkanya kepadamu.","ข้าเองก็อยากให้แกได้เห็นสิ่งที่ข้าเห็นเช่นกัน"
66,"全て終われば、また新しく始められる。邪魔はさせん","If everything ends, then it will all begin anew. I won't let you get in the way.","La fin mène au commencement. Je ne vous laisserai pas me barrer le passage !","모든 것이 끝나면 다시 새롭게 시작할 수 있어. 방해하지 않는게 좋을 거야.","只要一切结束了之后，就能有新的开始。我不会让你妨碍我的。","只要一切結束了之後，就能有新的開始。我不會讓你妨礙我的","Jika semuanya berakhir, maka yang baru akan dimulai. Jadi, jangan ganggu aku.","ถ้าทุกอย่างจบ ก็จะได้เริ่มต้นใหม่ ข้าไม่ยอมให้เข้ามาขวางหรอก"
67,"貴様の悪ふざけにかまっているヒマはない","I don't have time to deal with your foolishness.","Je n'ai pas le temps de m'occuper de vos âneries !","너의 장난에 맞장구 칠 시간이 없어.","我没空理会你的胡闹。","我沒空理會你的胡鬧","Aku tidak punya waktu untuk memikirkan leluconmu.","ข้าไม่มีเวลามายุ่งกับเรื่องล้อเล่นไร้สาระของแกหรอกนะ"
68,"さまよえる魂に引導を渡してやろう","I will guide this lost ghost to the afterlife.","Laissez-moi guider ce fantôme perdu au Paradis.","방황하는 영혼에 너의 안내를 부탁해주지.","就让我来将这迷途之魂引向净土吧。","就讓我來將這迷途之魂引向淨土吧","Mari kita mengirimkan doa untuk arwah yang berkeliaran.","จะช่วยนำทางวิญญาณผู้หลงทางก็แล้วกัน"
69,"なんのために戦うのだ？　世界のためか？自分のためか？","What do we fight for? For the world? Or for ourselves?","Pour qui combattons-nous ? Pour ce Monde ou pour nous-mêmes ?","무엇을 위해 싸우는 거지? 세계를 위한건가?，아니면 자신을 위한 건가?","你是为了什么而战？世界？还是自己？","你是為了什麼而戰？世界？還是自己？","Untuk apa bertarung ? Apakah untuk dunia ? Apakah untuk diri sendiri ?","จะพยายามต่อสู้ไปเพื่ออะไร? เพื่อโลกนี้เหรอ? หรือว่าเพื่อตัวเองกัน?"
70,"悪いが、今は不義をわびる暇も惜しいのだ","Sorry but I don't have time to apologize for injustices past.","Désolé, mais je n'ai pas le temps de m'excuser pour les injustices passées.","미안하지만，지금은 잘못을 사과할 시간 따위 없단말이야.","抱歉，现在没有那个空闲为过去不义之事道歉。","抱歉，現在沒有那個空閒為過去不義之事道歉","Maaf, aku tidak punya waktu untuk meminta maaf atas kekuranganku lalu.","ขอโทษทีนะ ฉันไม่มีเวลาให้นึกเสียใจกับเรื่องที่ล่วงเกินพวกเธอไปหรอก"
