"id","name","weapon_no","passive_id","card_cost","restriction","image","caption","weapon_type","material_use_cnt","material_add_param","material_exp","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
11,"カースドナイフ",11,,1,,"item_b_a002.swf","近接ATK+3。妖魔の魂が凝縮された短剣。",0,10,16777216,5,"2010-06-18 08:30:02 UTC","Enchanted Knife","Couteau Maudit","커스드 단검","诅咒短剑","詛咒短劍","Cursed Knife","Cursed Knife","Short Range ATK+3. A knife imbued with condensed magical energy.","Courte portée ATK+3. Poignard démoniaque.","근거리 ATK+3  /요마의 혼이 농축된 단검","近距离攻击+3。妖魔之魂凝结而成的短剑。","近距離攻擊+3。妖魔之魂凝結而成的短劍。","SWORD ATK+3. Belati berisi jiwa iblis murni.","ATKใกล้+3 ดาบสั้นที่มีวิญญาณปิศาจสิงอยู่"
12,"カースドチップ",12,,1,,"item_b_b002.swf","遠隔ATK+3。妖魔の魂が凝縮された弾薬。",0,10,256,5,"2010-06-18 08:30:02 UTC","Enchanted Clip","Munitions Maudites","커스드 탄환","诅咒弹药","詛咒彈藥","Cursed Chip","Cursed Chip","Long Range ATK+3. Ammunition imbued with condensed magical energy.","Longue portée ATK+3. Munitions démoniaques.","원거리 ATK+3  /요마의 혼이 농축된 탄약","远距离攻击+3。妖魔之魂凝结而成的弹药。","遠距離攻擊+3。妖魔之魂凝結而成的彈藥。","GUN ATK+3. Bubuk mesiu berisi jiwa iblis murni.","ATKไกล+3 ระเบิดที่มีวิญญาณปิศาจสิงอยู่"
13,"カースドリング",13,,1,,"item_b_c002.swf","ATK-3。DEF+3。妖魔の魂が凝縮された指輪。",0,10,1,5,"2010-06-18 08:30:02 UTC","Enchanted Ring","Bague Maudite","커스드 반지","诅咒戒指","詛咒戒指","Cursed Ring","Cursed Ring","ATK-3 DEF+3. A ring imbued with condensed magical energy.","ATK-3. DEF+3. Amulette démoniaque.","ATK-3，DEF+3  /요마의 혼이 농축된 반지","攻击-3。防御+3。妖魔之魂凝结而成的戒指。","攻擊-3。防禦+3。妖魔之魂凝結而成的戒指。","ATK-3. DEF+3. Cincin berisi jiwa iblis murni.","ATK-3, DEF+3 แหวนที่มีวิญญาณปิศาจสิงอยู่"
14,"カースドブレード",14,,1,,"item_b_a000.swf","近接ATK+6。DEF-3。妖魔の魂が凝縮された剣。",0,10,16777216,5,"2010-06-18 08:30:02 UTC","Enchanted Blade","Lame Maudite","커스드 장검","诅咒长剑","詛咒長劍","Cursed Blade","Cursed Blade","Short Range ATK+6. DEF-3. A sword imbued with condensed magical energy.","Courte portée ATK+6. DEF-3. Epée démoniaque.","근거리 ATK+6，DEF-3  /요마의 혼이 농축된 검","近距离攻击+6。防御-3。妖魔之魂凝结而成的剑。","近距離攻擊+6。防禦-3。妖魔之魂凝結而成的劍。","SWORD ATK+6. DEF-3. Pedang berisi jiwa iblis murni.","ATKใกล้+6, DEF-3 ดาบที่มีวิญญาณปิศาจสิงอยู่"
15,"カースドバレット",15,,1,,"item_b_a000.swf","遠隔ATK+6。DEF-3。妖魔の魂が凝縮された弾丸。",0,10,256,5,"2010-06-18 08:30:02 UTC","Enchanted Barrett","Balle Maudite","커스드 탄환","诅咒子弹","詛咒子彈","Cursed Barrett","Cursed Bullet","Long Range ATK+6. DEF-3. An automatic rifle imbued with condensed magical energy.","Longue portée ATK+6. DEF-3. Balle démoniaque.","원거리 ATK+6，DEF-3  /요마의 혼이 농축된 탄환","远距离攻击+6。防御-3。妖魔之魂凝结而成的子弹。","遠距離攻擊+6。防禦-3。妖魔之魂凝結而成的子彈。","GUN ATK+6. DEF-3. Peluru berisi jiwa ilis murni.","ATKไกล+6, DEF-3 ระเบิดที่มีวิญญาณปิศาจสิงอยู่"
16,"白の銃剣",16,,0,,"item_b_f000.swf","ATK+1。妖魔の魂で精製された銃剣。",0,10,16777472,5,"2010-06-18 08:30:02 UTC","White Bayonet","Baionnette Blanche","백의 총검","白的枪剑","白的槍劍","White Bayonet","ดาบปืนขาว","ATK+1. A magic bayonet.","ATK+1. Baionette possédée.","ATK+1  /요마의 혼으로 정제된 총검","攻击+1。妖魔之魂精製而成的枪剑。","攻擊+1。妖魔之魂精製而成的槍劍。","ATK+1. Bayonet berisi jiwa iblis.","ATK+1 ดาบปืนที่ตีขึ้นด้วยวิญญาณปิศาจ"
17,"黒の銃剣",17,,1,,"item_b_f001.swf","ATK+2。妖魔の魂が凝縮された銃剣。",0,10,16777472,5,"2010-06-18 08:30:02 UTC","Black Bayonet","Baionnette Noire","흑의 총검","黑的枪剑","黑的槍劍","Black Bayonet","ดาบปืนดำ","ATK+2. A bayonet imbued with condensed magical energy.","ATK+2. Baionette démoniaque.","ATK+2  /요마의 혼이 농축된 총검","攻击+2。妖魔之魂凝结而成的枪剑。","攻擊+2。妖魔之魂凝結而成的槍劍。","ATK+2. Bayonet berisi jiwa iblis murni.","ATK+2 ดาบปืนที่มีวิญญาณปิศาจสิงอยู่"
18,"白の近装",18,,0,,"item_b_g000.swf","近接ATK+1。近接DEF+1。複数の魂で精製された短剣。",0,10,16842752,5,"2010-06-18 08:30:02 UTC","White Melee","Poignard Blanc","백의 근장","白的短剑","白的短劍","White Dagger","กริชขาว","Short Range ATK+1. DEF+1. A shining magical dagger.","Courte portée ATK+1. DEF+1. Poignard possédé par plusieurs âmes damnées.","근거리 ATK+1，근거리 DEF+1  /복수의 요마 혼으로 정제된 단검","近距离攻击+1。近距离防御+1。复数的灵魂精製而成的短剑。","近距離攻擊+1。近距離防禦+1。複數的靈魂精製而成的短劍。","SWORD ATK+1. DEF+1. Belati putih yang diciptakan menggunakan beberapa jiwa sekaligus.","ATKใกล้+1, DEFใกล้+1 ดาบสั้นที่ถูกตีขึ้นมาด้วยวิญญาณหลายดวง"
19,"黒の近装",19,,1,,"item_b_g001.swf","近接ATK+2。近接DEF+2。複数の魂が凝縮された短剣。",0,10,16842752,5,"2010-06-18 08:30:02 UTC","Black Melee","Poignard Noir","흑의 근장","黑的短剑","黑的短劍","Black Dagger","กริชดำ","Short Range ATK+2. DEF+2. A magical dagger that seems to absorb light.","Courte portée ATK+2. DEF+2. Poignard possédé par plusieurs âmes damnées.","근거리 ATK+2，근거리 DEF+2  /복수의 요마 혼이 농축된 단검","近距离攻击+2。近距离防御+2。复数的灵魂凝结而成的短剑。","近距離攻擊+2。近距離防禦+2。複數的靈魂凝結而成的短劍。","SWORD ATK+2. DEF+2. Belati hitam yang diciptakan menggunakan beberapa jiwa sekaligus.","ATKใกล้+2, DEFใกล้+2 ดาบสั้นที่มีวิญญาณหลายดวงสิงอยู่"
20,"白の遠装",20,,0,,"item_b_h000.swf","遠隔ATK+1。遠隔DEF+1。複数の魂で精製された弾薬。",0,10,257,5,"2010-06-18 08:30:02 UTC","White Ammunition","Munitions Blanches","백의 원장","白的弹药","白的彈藥","White Ammo","กระสุนขาว","Long Range ATK+1. DEF+1. Shining magical ammunition.","Longue portée ATK+1. DEF+1. |Munitions possédées par plusieurs âmes damnées.","원거리 ATK+1，원거리 DEF+1  /복수의 요마 혼으로 정제된 탄약","远距离攻击+1。远距离防御+1。复数的灵魂精製而成的弹药。","遠距離攻擊+1。遠距離防禦+1。複數的靈魂精製而成的彈藥。","GUN ATK+1. DEF+1. Peluru putih yang diciptakan menggunakan beberapa jiwa sekaligus.","ATKไกล+1, DEFไกล+1 ระเบิดที่ทำขึ้นมาด้วยวิญญาณหลายดวง"
21,"黒の遠装",21,,1,,"item_b_h001.swf","遠隔ATK+2。遠隔DEF+2。複数の魂が凝縮された弾薬。",0,10,257,5,"2010-06-18 08:30:02 UTC","Black Ammunition","Munitions Noires","흑의 원장","黑的弹药","黑的彈藥","Black Ammo","กระสุนดำ","Long Range ATK+2. DEF+2. Magical ammunition that seems to absorb light.","Longue portée ATK+2. DEF+2. |Munitions possédées par plusieurs âmes damnées.","원거리 ATK+2，원거리 DEF+2  /복수의 요마 혼이 농축된 탄약","远距离攻击+2。远距离防御+2。复数的灵魂凝结而成的弹药。","遠距離攻擊+2。遠距離防禦+2。複數的靈魂凝結而成的彈藥。","GUN ATK+1. DEF+2. Peluru hitam yang diciptakan menggunakan beberapa jiwa sekaligus.","ATKไกล+2, DEFไกล+2 ระเบิดที่มีวิญญาณหลายดวงสิงอยู่"
22,"ハロウィンフォーク",22,,1,,"item_b_x001.swf","近接ATK+4。近接DEF-2。ハロウィンのお祭りに使われるアイテムの1つ。",0,0,0,0,"2010-06-18 08:30:02 UTC","Halloween Pitchfork","Fourchette d'Halloween","할로윈 포크","万圣节叉子","萬聖節叉子","Halloween Fork","Halloween Fork","Short Range ATK+4. Short Range DEF-2. An item that could be used in a Halloween festival.","Courte portée ATK+4. Courte portée DEF-2. Objet pour Halloween.","근거리 ATK+4，근거리 DEF-2  /할로윈 축제에 사용되는 아이템의 하나","近距离攻击+4。近距离防御-2。在万圣节活动中使用的道具之一。","近距離攻擊+4。近距離防禦-2。在萬聖節活動中使用的道具之一。","SWORD ATK+4. SWORD DEF-2. Salah satu barang yang digunakan dalam festival Halloween.","ATKใกล้+4, DEFใกล้-2 หนึ่งในไอเท็มที่ใช้ในเทศกาลฮาโลวีน"
23,"バットブーメラン",23,,1,,"item_b_x002.swf","遠隔ATK+4。遠隔DEF-2。ハロウィンのお祭りに使われるアイテムの1つ。",0,0,0,0,"2010-06-18 08:30:02 UTC","Batarang","Boomerang Chauve-souris","박쥐 부메랑","蝙蝠回旋镖","蝙蝠迴旋鏢","Bat Boomerang","Bat Boomerang","Short Range ATK+4. Short Range DEF-2. An item that could be used in a Halloween festival.","Longue portée ATK+4.Longue portée DEF-2. Objet pour Halloween.","원거리 ATK+4，원거리 DEF-2  /할로윈 축제에 사용되는 아이템의 하나","远距离攻击+4。远距离防御-2。在万圣节活动中使用的道具之一。","遠距離攻擊+4。遠距離防禦-2。在萬聖節活動中使用的道具之一。","GUN ATK+4. GUN DEF-2. Salah satu barang yang digunakan dalam festival Halloween.","ATKใกล้+4, DEFใกล้-2 หนึ่งในไอเท็มที่ใช้ในเทศกาลฮาโลวีน"
24,"竜の守護石",24,,0,,"item_b_x000.swf","DEF+1。世界の生誕を記念して作られた貴重なお守り。",0,0,0,0,"2010-06-18 08:30:02 UTC","Dragonstone","Statue de Dragon protectrice","용의 수호석","龙的守护石","龍的守護石","Dragon Guardian Stone","หินเครื่องรางมังกร","DEF+1. A protective amulet created to commemorate the creation of the world.","DEF+1. Statue érigée en mémoire de la création de ce Monde.","DEF+1  /세계의 탄생을 기념해 만들어진 귀중한 부적","防御+1。为了纪念世界的诞生被製作出的珍贵御守。","防禦+1。為了紀念世界的誕生被製作出的珍貴御守。","DEF+1. Jimat penanda dunia yang baru dilahirkan.","DEF+1 เครื่องรางสำคัญที่สร้างขึ้นมาเป็นที่ระลึกวันสร้างโลก"
25,"ティンクルスター",25,,1,,"item_b_x003.swf","ATK+1。DEF+1。クリスマスの季節にひときわ輝く星のステッキ。",0,0,0,0,"2010-06-18 08:30:02 UTC","Twinkle Star","Twinkle Star","반짝이는 별","叮当星","叮噹星","Twinkle Star","Twinkle Star","ATK+1. DEF+1. A wand topped with a shining Christmas star.","ATK+1. DEF+2. Un bâton étoilé qui brille durant la période de Noël.","ATK+1, DEF+1  /크리스마스의 계절에 한층 빛나는 별의 스틱","攻击+1。防御+1。圣诞季节中引人注目的耀眼星星手杖。","攻擊+1。防禦+1。聖誕季節中引人注目的耀眼星星手杖。","ATK+1. DEF+1. Tongkat bintang yang bersinar terang pada malam Natal.","ATK+1, DEF+1 ไม้คทารูปดาวที่เปล่งประกายแสงเจิดจ้าในเทศกาลคริสต์มาส"
26,"エターナルソーン",26,,0,1,"item_f_a000.swf","遠隔ATK+3。近接DEF+1。決して枯れることのない茨で装飾された儀式用の長銃。",0,0,0,0,"2010-06-18 08:30:02 UTC","Eternal Thorn","Épine éternelle","성서의 장총","永恒之棘","永恆之棘","Eternal Thorn","Eternal Thorn","Long Range ATK+3. Short Range DEF+1. A ceremonial rifle decorated with vigoros thorn-like patterns.","Longue portée ATK+3. Courte portée DEF+1. Pistolet de cérémonie taillé dans une longue épine.","원거리 ATK+3，근거리 DEF+1  /마르지 않는 가시나무로 장식이 되어 있는 의식용 장총","远距离攻击+3。近距离防御+1。以绝不枯萎之荆棘装饰的仪式用长枪。","遠距離攻擊+3。近距離防禦+1。以絕不枯萎之荊棘裝飾的儀式用長槍。","GUN ATK+3. SWORD DEF+1. Senapan upacara berornamen duri.","ATKไกล+3, DEFใกล้+1 ปืนยาวใช้ในพิธีการ ถูกประดับด้วยหนามที่ไม่มีวันร่วงโรย"
27,"リバイブルソーン",27,,1,1,"item_f_a001.swf","近接ATK+2。近接DEF+3。決して枯れることのない茨で装飾された儀式用の長剣。",0,0,0,0,"2010-06-18 08:30:02 UTC","Revival Thorn","Épine de la Renaissance","성서의 장검","重生之棘","重生之棘","Revival Thorn","Revival Thorn","Short Range ATK+2. Short range DEF+3. A ceremonial long sword decorated with vigoros thorn-like patterns.","Longue portée ATK+2. Courte portée DEF+3. Epée de cérémonie taillée dans une longue épine.","근거리 ATK+2，근거리 DEF+3  /마르지 않는 가시나무로 장식이 되어 있는 의식용 장검 (에바리스트)","近距离攻击+2。近距离防御+3。以绝不枯萎之荆棘装饰的仪式用长枪。","近距離攻擊+2。近距離防禦+3。以絕不枯萎之荊棘裝飾的儀式用長槍。","SWORD ATK+2. SWORD DEF+3. Pedang upacara berornamen duri.","ATKใกล้+2, DEFใกล้+3 ดาบยาวใช้ในพิธีการ ถูกประดับด้วยหนามที่ไม่มีวันร่วงโรย"
28,"セプターソード",28,,1,1,"item_f_a002.swf","ATK+1。DEF+2。選ばれし聖騎士に与えられるとされる浄化の聖剣。",0,0,0,0,"2010-06-18 08:30:02 UTC","Scepter Sword","Épée du sceptre","정화의 성검","王者之剑","王者之劍","Scepter Sword","Scepter Sword","ATK+1. DEF+2. An holy sword bestowed upon only the most righteous of knights.","ATK+1. DEF+2.  Epée sacrée confiée au Chevalier Elu.","ATK+1，DEF+2  /선택받은 성기사에게만 부여된다는 정화의 성검","攻击+1。防御+2。被选上的圣骑士才会被赐与的淨化圣剑。","攻擊+1。防禦+2。被選上的聖騎士才會被賜與的淨化聖劍。","ATK+1. DEF+2. Pedang suci yang diberikan kepada ksatria yang terpilih.","ATK+1, DEF+2 ดาบศักดิ์สิทธิ์ที่ได้รับการชำระล้าง มอบไว้ให้อัศวินที่ถูกเลือกเท่านั้น"
29,"ラピッドファング",29,,0,2,"item_f_b000.swf","遠隔ATK+3。遠隔DEF+1。双頭犬の牙を鍛えて作られたという獣剣。",0,0,0,0,"2010-06-18 08:30:02 UTC","Rapid Fang","Croc","쌍두견의 수검","迅牙","迅牙","Rapid Fang","Rapid Fang","Long Range ATK+3. Long Range DEF+1. A bestial blade crafted from the fangs of a two headed daemon hound.","Longue portée ATK+3. Longue portée DEF+1. Epée taillée dans le croc d'un chien bicéphale.","원거리 ATK+3，원거리 DEF+1  /쌍두견의 이빨을 단련하여 만들었다는 수검","远距离攻击+3。远距离防御+1。据说以双头犬之牙锻造而成的兽剑。","遠距離攻擊+3。遠距離防禦+1。據說以雙頭犬之牙鍛造而成的獸劍。","GUN ATK+3. GUN DEF+3. Pedang yang ditempat dari taring anjing berkepala kembar.","ATKไกล+3, DEFไกล+1 ดาบปิศาจที่ถูกตีขึ้นมาจากเขี้ยวของสุนัข 2 หัว"
30,"ジ・アンガー",30,,1,2,"item_f_b001.swf","近接ATK+7。近接DEF-2。巨獣族の怒りを封じ込めた赤黒く輝く長剣。",0,0,0,0,"2010-06-18 08:30:02 UTC","The Anger","Colère","분노의 장검","怒","怒","Angst","The Anger","Shot Range ATK+7. Shot Range DEF-2. A blade that throbs a malevolent red with the rage of its creator.","Courte portée ATK+7. Longue portée DEF-2. Epée rouge renfermant la colère des Géants.","근거리 ATK+7，근거리 DEF-2  /거수족의 분노를 봉인한 검붉게 빛나는 장검","近距离攻击+7。近距离防御-2。封印着巨兽族之怒闪着红黑光芒的长剑。","近距離攻擊+7。近距離防禦-2。封印著巨獸族之怒閃著紅黑光芒的長劍。","SWORD ATK+7. SWORD DEF-2. Pedang merah tua berisi kemarahan para raksasa.","ATKไกล+7, DEFใกล้-2 ดาบยาวประกายสีแดงที่ผนึกความโกรธของเผ่าสัตว์ยักษ์เอาไว้"
31,"デューテロノム",31,,1,2,"item_f_b002.swf","ATK+2。DEF+1。その身に定められた運命を断ち切ることができるといわれる魔剣。",0,0,0,0,"2010-06-18 08:30:02 UTC","Deuteronome","Deuteronoum","운명의 마검","杜迪罗诺姆","杜迪羅諾姆","Deuteronoum","Deuteronoum","ATK+2. DEF+1. An evil sword which is said to cut short the fate of those of slices.","ATK+2. DEF+1. Epée maudite que l'on dit capable de couper le fil du Destin.","ATK+2，DEF+1  /자신의 정해진 운명을 잘라버릴수 있다고 전해지는 마검","攻击+2。防御+1。据说连自身命运都能切断的魔剑。","攻擊+2。防禦+1。據說連自身命運都能切斷的魔劍。","ATK+2. DEF+1. Pedang iblis yang dapat memutuskan takdir.","Atk+2, DEF+1 ดาบเวทมนตร์ที่เล่ากันว่าสามารถตัดชีวิตของสิ่งนั้นได้"
32,"ブラッドテイル",32,,0,3,"item_f_c000.swf","近接ATK+2。DEF+1。機工蠍の尻尾のような鋭さを持つ刺突剣。",0,0,0,0,"2010-06-18 08:30:02 UTC","Blood Tail","BloodTail","예리한 검","血腥之尾","血腥之尾","Blood Tail","BloodTail","Short Range ATK+2. DEF+1. A thin, sharp blade like the tail of metallic scorpion.","Courte portée ATK+2. DEF+1. |Rapière aussi mortelle que la morsure d'un Scorpion.","근거리 ATK+2，DEF+1  /기계 전갈의 꼬리와 같이 날카로움을 가진 검","近距离攻击+2。防御+1。如机工蝎尾般锐利的刺突剑。","近距離攻擊+2。防禦+1。如機工蠍尾般銳利的刺突劍。","SWORD ATK+2. DEF+1. Pedang anggar tajam menyerupai ekor dari kalajengking metal.","ATKใกล้+2, DEF+1 ดาบปลายแหลมที่คมราวกับหางของแมงป่องจักรกล"
33,"ブラックプリンス",33,,1,3,"item_f_c001.swf","ATK+2。近接DEF+1。歴代の王より継承された王国随一の大剣。",0,0,0,0,"2010-06-18 08:30:02 UTC","Black Prince","Prince Noir","전설의 대검","黑王子","黑王子","Black Prince","Black Prince","ATK+2. Short Range DEF+1. The Kingdom's finest greatsword, passed successively from king to prince.","ATK+2. Courte portée DEF+1. Epée mythique, transmise au sein de la famille royale.","ATK+2，근거리 DEF+1  /역대의 왕으로부터 전해져 내려왔다는 왕국 유일의 대검 (그룬왈드)","攻击+2。近距离防御+1。由历代国王所继承之王国唯一的大剑。","攻擊+2。近距離防禦+1。由歷代國王所繼承之王國唯一的大劍。","ATK+2. SWORD DEF+1. Pedang terhebat di kerajaan. Diwariskan oleh para raja secara turun-temurun.","ATK+2, DEFใกล้+1 ดาบเล่มใหญ่ที่เป็นหนึ่งในอาณาจักร สืบทอดกันต่อมาจากรุ่นสู่รุ่น"
34,"ソウルベンダー",34,,1,3,"item_f_c002.swf","ATK+1。DEF+2。持ち主の魂の器を計り、絶望を振りまくといわれる邪剣。",0,0,0,0,"2010-06-18 08:30:02 UTC","Soulbender","Vendeur d'âme","절망의 검","售魂者","售魂者","Soul Vendor","Soul Vender","ATK+1. DEF+2. This wicked blade slowly corrupts its owner's soul while leaving despair and ruin in its wake.","ATK+1 .DEF+2. Epée qui s'empare de l'âme de son propriétaire et le plonge dans le désespoir.","ATK+1，DEF+2  /소유자 영혼를 절망으로 빠뜨린다는 사악한 검","攻击+1。防御+2。传说会计测持有者的灵魂器量，并将绝望扩散出去的邪剑。","攻擊+1。防禦+2。傳說會計測持有者的靈魂器量，並將絕望擴散出去的邪劍。","ATK+1. DEF+2. Pedang terkutuk ini mengukur ke dalam jiwa pemiliknya dan menebarkan kesedihan.","ATK+1, DEF+2 ดาบมารที่เล่ากันว่าจะชั่งตวงภาชนะวิญญาณของผู้ครองครอง และนำความสิ้นหวังมาให้"
