"id","name","item_no","kind","sub_kind","duration","cond","image","image_frame","effect_image","caption","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
11,"時の砂時計",10,1,,0,,"item_c_b004.swf",1,"cutinchara01_skl00.swf","探索中のクエストの探索時間を3時間短縮します。","2010-04-06 04:53:16 UTC","Sands of Time","Saut Temporel","보라빛 모래시계","时间沙漏","時間沙漏","Time Slip","นาฬิกาทราย","Reduce the time required to discover the quest you are looking for by 3 hours.","Réduisez le temps de Recherche de 3 heures ","탐색중인 모든 퀘스트가 3시간 단축됩니다. (퀘스트 전용)","可以将搜索中任务的搜索时间缩短3小时","可以將搜索中任務的搜索時間縮短3小時","Mengurangi waktu pencarian Quest sebanyak 3 jam.","ลดเวลาในการสำรวจเควส 3 ชั่วโมง"
12,"超刻の砂時計",11,1,,0,,"item_c_b004.swf",2,"cutinchara01_skl00.swf","探索中のクエストをすべて一瞬で見つけます。","2010-04-06 04:53:16 UTC","Greater Sands of Time","Grand Saut Temporel","시공의 모래시계","超时空沙漏","超時空沙漏","Time Slip Extra","นาฬิกาทรายใหญ่","Instantly discover all quests you are searching for.","Obtenir des Quêtes de suite","탐색중인 모든 퀘스트가 즉시 완료됩니다.(퀘스트 전용)","可在一瞬间完成所有任务的搜索","可在一瞬間完成所有任務的搜索","Menyelesaikan pencarian Quest secara instan.","ทำให้พบเควสที่สำรวจได้ทันทีโดยไม่ต้องรอ"
13,"ファーストエイド1",12,1,,0,,"item_e_b000.swf",1,"cutinchara01_skl00.swf","クエスト中のキャラのHPを1回復します。","2010-04-06 04:53:16 UTC","First Aid 1","Première assistance 1","백신주사1","急救品1","急救品1","First Aid 1","กล่องปฐมพยาบาล 1","The character in the current quest recovers 1 HP.","Récupérer 1 HP durant la Quête","캐릭터의 HP를 +1 회복합니다. (퀘스트 전용)","恢复任务中所有人物的生命值1","恢復任務中所有人物的生命值1","Memulihkan 1 HP di dalam Quest.","ฟื้น HP ตัวละครขณะทำเควส 1 แต้ม"
14,"ファーストエイド3",13,1,,0,,"item_e_b000.swf",2,"cutinchara01_skl00.swf","クエスト中のキャラのHPを3回復します。","2010-04-06 04:53:16 UTC","First Aid 3","Première assistance 3","백신주사3","急救品3","急救品3","First Aid 3","กล่องปฐมพยาบาล 3","The character in the current quest recovers 3 HP.","Récupérer 3 HP durant la Quête","캐릭터의 HP를 +3 회복합니다. (퀘스트 전용)","恢复任务中所有人物的生命值3","恢復任務中所有人物的生命值3","Memulihkan 3 HP di dalam Quest.","ฟื้น HP ตัวละครขณะทำเควส 3 แต้ม"
15,"ファーストエイド5",14,1,,0,,"item_e_b000.swf",3,"cutinchara01_skl00.swf","クエスト中のキャラのHPを5回復します。","2010-04-06 04:53:16 UTC","First Aid 5","Première assistance 5","백신주사5","急救品5","急救品5","First Aid 5","กล่องปฐมพยาบาล 5","The character in the current quest recovers 5 HP.","Récupérer 5 HP durant la Quête","캐릭터의 HP를 +5 회복합니다. (퀘스트 전용)","恢复任务中所有人物的生命值5","恢復任務中所有人物的生命值5","Memulihkan 5 HP di dalam Quest.","ฟื้น HP ตัวละครขณะทำเควส 5 แต้ม"
16,"ファーストエイド10",15,1,,0,,"item_e_b000.swf",4,"cutinchara01_skl00.swf","クエスト中のキャラのHPを10回復します。","2010-04-06 04:53:16 UTC","First Aid 10","Première assistance 10","백신주사10","急救品10","急救品10","First Aid 10","กล่องปฐมพยาบาล 10","The character in the current quest recovers 10 HP.","Récupérer 10 HP durant la Quête","캐릭터의 HP를 +10 회복합니다. (퀘스트 전용)","恢复任务中所有人物的生命值10","恢復任務中所有人物的生命值10","Memulihkan 10 HP di dalam Quest.","ฟื้น HP ตัวละครขณะทำเควส 10 แต้ม"
17,"エリクシール",16,1,,0,,"item_e_b001.swf",1,"cutinchara01_skl00.swf","クエスト中のキャラのHPを全回復します。","2010-04-06 04:53:16 UTC","Elixir","Elixir","에릭실","不死灵药","不死靈藥","Elixir","ยาอายุวัฒนะ","Fully recover a mid-quest character's HP.","Récupérer tous vos HP durant la Quête","캐릭터의 HP를 완전 회복합니다. (퀘스트 전용)","完全恢复任务中所有人物的生命值","完全恢復任務中所有人物的生命值","Memulihkan seluruh HP di dalam Quest.","ฟื้น HP ตัวละครขณะทำเควสทั้งหมด"
18,"探索力アップの本",17,1,,0,,"item_c_b005.swf",10,"cutinchara01_skl00.swf","同時探索数を+1します。","2010-04-06 04:53:16 UTC","Questing Handbook","Guide des Quêtes","예지의 책1","提升搜索能力的书","提升搜索能力的書","Quests Handbook","หนังสือเพิ่มพลังการสำรวจ","Allows you to search for 1 additional quest simultaneously.","Ajouter 1 recherche parallèle.","최대 퀘스트 리스트를 +1 늘립니다. (퀘스트 전용)","同一时间可搜索任务数+1","同一時間可搜索任務數+1","Menambah 1 slot dalam pencarian Quest.","เพิ่มจำนวนการสำรวจ +1"
19,"探索力アップの本2",18,1,,0,,"item_c_b005.swf",11,"cutinchara01_skl00.swf","同時探索数を+2します。","2010-04-06 04:53:16 UTC","Questing Handbook 2","Guide des Quêtes 2","예지의 책2","提升搜索能力的书2","提升搜索能力的書2","Quests Handbook 2","หนังสือเพิ่มพลังการสำรวจ 2","Allows you to search for 2 additional quests simultaneously.","Ajouter 2 recherches parallèles.","최대 퀘스트 리스트를 +2 늘립니다. (퀘스트 전용)","同一时间可搜索任务数+2","同一時間可搜索任務數+2","Menambah 2 slot dalam pencarian Quest.","เพิ่มจำนวนการสำรวจ +2"
20,"探索力アップの本3",19,1,,0,,"item_c_b005.swf",12,"cutinchara01_skl00.swf","同時探索数を+3します。","2010-04-06 04:53:16 UTC","Questing Handbook 3","Guide des Quêtes 3","예지의 책3","提升搜索能力的书3","提升搜索能力的書3","Quests Handbook 3","หนังสือเพิ่มพลังการสำรวจ 3","Allows you to search for 3 additional quests simultaneously.","Ajouter 3 recherches parallèles.","최대 퀘스트 리스트를 +3 늘립니다. (퀘스트 전용)","同一时间可搜索任务数+3","同一時間可搜索任務數+3","Menambah 3 slot dalam pencarian Quest.","เพิ่มจำนวนการสำรวจ +3"
21,"モーフィアスの扉",20,1,,0,,"item_c_b006.swf",1,"cutinchara01_skl00.swf","クエストを最初からやり直します。","2010-04-06 04:53:16 UTC","Morpheus' Door","Porte de Morpheus","미로의 문","墨菲斯之门","墨菲斯之門","Morpheus Door","ประตูแห่งมอร์เฟียส","Restart a quest from the beginning.","Recommencer la Quête.","퀘스트를 처음부터 다시 진행합니다. (퀘스트 전용)","可以重新开始当前的任务","可以重新開始當前的任務","Mengulangi Quest.","สามารถเริ่มทำเควสเดิมได้ใหม่อีกครั้ง"
22,"トロイメライの扉",21,1,,0,,"item_c_b007.swf",1,"cutinchara01_skl00.swf","クエスト進行度を+10します。","2010-04-06 04:53:16 UTC","Träumerei's Portal","Porte de Träumerei ","시공의 문","梦幻曲之门","夢幻曲之門","Traumerei Door","ประตูแห่งทรอยเมราย","Increase quest progression by 10.","Votre niveau d'achèvement de la Quête est augmenté de 10.","퀘스트 달성도를 +10 합니다.(퀘스트 전용)","任务进行度+10","任務進行度+10","Mengisi Quest progress bar 10 poin.","อัตราความก้าวหน้าของเควส +10"
23,"討魔の証",22,1,,0,,"item_c_b009.swf",1,"cutinchara01_skl00.swf","クエスト地域を1つ進めます。","2010-04-06 04:53:16 UTC","Demon Slayer's Word","Témoignage du Paladin","토벌의 증거","讨魔的证明","討魔的證明","Paladin Testament","ใบรับรองผู้ปราบปิศาจ","Advance 1 quest area.","Vous accédez à la Région suivante.","퀘스트 지역을 +1 늘립니다. (퀘스트 전용)","直接进往下1个探索地区。","直接進往下1個探索地區。","Maju satu area dalam Quest.","เพิ่มอาณาเขตเควส 1 ที่"
24,"妖魔のコンパス",23,1,,0,,"item_c_b008.swf",1,"cutinchara01_skl00.swf","進行度を達成している場合、現在地域のボスクエストを取得します。表示されているMAPに進行中の地域が無い場合、表示されているMAPからランダムでボスクエストを取得します。","2010-04-06 04:53:16 UTC","Demon's Compass","Compas du Diable","요마의 나침반","妖魔的指南针","妖魔的指南針","Demon Compass","เข็มทิศภูต","If you achieve the required progression level, this area's boss quest will appear.","La Quête du Boss apparaîtra lorsque vous aurez achever votre Quête.","해당 지역의 달성도가 최대치일때 보스 퀘스트를 획득할 수 있습니다. (퀘스트 전용)","在任务进行度达成满值的情况下使用，将会找到所在地区的Boss任务。在没有显示进行度的地区使用，将会随机找到该MAP的其中一个Boss任务。","在任務進行度達成滿值的情況下使用，將會找到所在地區的Boss任務。在沒有顯示進行度的地區使用，將會隨機找到該MAP的其中一個Boss任務。","Memunculkan Boss setelah Quest selanjutnya diselesaikan.","หากอัตราความก้าวหน้าถึงปริมาณที่กำหนดแล้ว บอสเควสของอาณาเขตนั้นจะปรากฎออกมา"
25,"ホワイトクッキー",24,0,,0,,"item_c_e001.swf",1,"cutinchara01_skl00.swf","フレンド枠を+1します。","2010-04-06 04:53:16 UTC","White Cookie","Biscuit Blanc","화이트 쿠키","白色饼干","白色餅乾","White Cookie","ไวท์คุกกี้","Increase friend slots by 1.","+1 à votre amitié","최대 친구 리스트를 +1 늘립니다.","好友上限+1","好友上限+1","Menambah 1 batas teman.","เพิ่มจำนวนเพื่อนสูงสุด +1"
26,"バレンタインチョコ",25,0,,0,,"item_c_e000.swf",1,"cutinchara01_skl00.swf","フレンド枠を+1します。","2010-04-06 04:53:16 UTC","Valentine's Day Chocolate","Chocolat de la St Valentin","발렌타인 초코릿","情人节巧克力","情人節巧克力","Valentine Chocolate","ช็อกโกแลตวาเลนไทน์","Increase friend slots by 1.","+1 à votre amitié","최대 친구 리스트를 +1 늘립니다.","好友上限+1","好友上限+1","Menambah 1 batas teman.","เพิ่มจำนวนเพื่อนสูงสุด +1"
27,"人形の日記帳",26,0,,0,,"item_c_b200.swf",1,"cutinchara01_skl00.swf","フレンド枠を+5します。","2010-04-06 04:53:16 UTC","Diary of a Doll","Journal Intime d'une Poupée","인형의 일기장","人偶的日记本","人偶的日記本","Doll Diary","บันทึกของตุ๊กตา","Increase friend slots by 5.","+5 à votre amitié","최대 친구 리스트를 +5 늘립니다.","好友上限+5","好友上限+5","Menambah 5 batas teman.","เพิ่มจำนวนเพื่อนสูงสุด +5"
28,"追憶の日記帳",27,0,,0,,"item_c_b201.swf",1,"cutinchara01_skl00.swf","フレンド枠を+10します。","2010-04-06 04:53:16 UTC","Diary of Recollection","Journal à Souvenirs","추억의 일기장","追忆的日记本","追憶的日記本","Diary of Memories","บันทึกความทรงจำเพิ่มเติม","Increase friend slots by 10.","+10 à votre amitié","최대 친구 리스트를 +10 늘립니다.","好友上限+10","好友上限+10","Menambah 10 batas teman.","เพิ่มจำนวนเพื่อนสูงสุด +10"
29,"スターキャンディ",28,0,,0,,"item_c_e002.swf",1,"cutinchara01_skl00.swf","フレンド枠を+1します。","2010-04-06 04:53:16 UTC","Star Candy","Bonbon étoile","별사탕","星型糖果","星型糖果","Star Candy","สตาร์แคนดี้","Increase friend slots by 1.","+1 à votre amitié","최대 친구 리스트를 +1 늘립니다.","好友上限+1","好友上限+1","Menambah 1 batas teman.","เพิ่มจำนวนเพื่อนสูงสุด +1"
30,"一周年記念コイン",29,3,,0,,"item_c_e100.swf",1,"cutinchara01_skl00.swf","Unlight一周年を記念して発行されたコイン。","2010-04-06 04:53:16 UTC","Anniversary Coin","Pièce commémorative","1주년 기념코인","一周年纪念硬币","一周年紀念硬幣","Anniversary Coin","เหรียญที่ระลึกครบรอบ 1 ปี","A coin commemorating Unlight's 1 year anniversary.","Voici une pièce pour commémorer votre année de jeu sur Unlight ","언라이트의 1주년을 기념하여 발행한 코인.","Unlight一周年所发行纪念硬币。","Unlight一周年所發行紀念硬幣。","Koin untuk memperingati ulang tahun pertama Unlight.","เหรียญที่ออกมาในโอกาสที่ระลึก Unlight ครบรอบ 1 ปี"
31,"ExShadowLand通行証1",30,1,,0,,"item_c_c000.swf",1,"cutinchara01_skl00.swf","ShadowLandの隠された地域を探索する。（0分）","2010-04-06 04:53:16 UTC","Ex Shadowland Pass 1","Permission de passage ExShadowLand 1","ExShadowLand 통행증1","Ex影之大陆通行证 1","Ex影之大陸通行證 1","ExShadowLand Pass 1","ใบอนุญาตผ่าน ExShadowLand 1","Search for the hidden area of Ex Shadowland. (0 minutes)","Rechercher la région cachée d'ExShadowLand.","ShadowLand의 숨겨진 지역을 탐색(0분)","搜索影之大陆的隐藏区域（0分）","搜索影之大陸的隱藏區域（0分）","Mencari area tersembunyi di ShadowLand.","สำรวจอาณาเขตลับใน ShadowLand (0 นาที)"
32,"ExShadowLand通行証2",31,1,,0,,"item_c_c000.swf",2,"cutinchara01_skl00.swf","ShadowLandの隠された地域を探索する。（2時間）","2010-04-06 04:53:16 UTC","Ex Shadowland Pass 2","Permission de passage ExShadowLand 2","ExShadowLand 통행증2","Ex影之大陆通行证 2","Ex影之大陸通行證 2","ExShadowLand Pass 2","ใบอนุญาตผ่าน ExShadowLand 2","Search for the hidden area of Ex Shadowland. (2 hours)","Rechercher la région cachée d'ExShadowLand (2 heures)","ShadowLand의 숨겨진 지역을 탐색(2시간)","搜索影之大陆的隐藏区域(2小时）","搜索影之大陸的隱藏區域(2小時）","Mencari area tersembunyi di ShadowLand (2 Jam).","สำรวจอาณาเขตลับใน ShadowLand (2 ชั่วโมง)"
33,"ExShadowLand通行証3",32,1,,0,,"item_c_c000.swf",3,"cutinchara01_skl00.swf","ShadowLandの隠された地域を探索する。（3日）","2010-04-06 04:53:16 UTC","Ex Shadowland Pass 3","Permission de passage ExShadowLand 3","ExShadowLand 통행증3","Ex影之大陆通行证 3","Ex影之大陸通行證 3","ExShadowLand Pass 3","ใบอนุญาตผ่าน ExShadowLand 3","Search for the hidden area of Ex Shadowland. (3 days)","Rechercher la région cachée d'ExShadowLand (3 jours)","ShadowLand의 숨겨진 지역을 탐색(3일)","搜索影之大陆的隐藏区域（3天）","搜索影之大陸的隱藏區域（3天）","Mencari area tersembunyi di ShadowLand (3 Hari),","สำรวจอาณาเขตลับใน ShadowLand (3 วัน)"
34,"ExMoonLand通行証1",33,1,,0,,"item_c_c001.swf",1,"cutinchara01_skl00.swf","MoonLandの隠された地域を探索する。（0分）","2010-04-06 04:53:16 UTC","Ex Moonland Pass 1","Permission de passage ExMoonLand 1","ExMoonLand 통행증1","Ex月之大陆通行证 1","Ex月之大陸通行證 1","ExMoonLand Pass 1","ใบอนุญาตผ่าน ExMoonLand 1","Search for the hidden area of Ex Moonland. (0 minutes)","Rechercher la région cachée d'ExMoonLand","MoonLand의 숨겨진 지역을 탐색(0분)","搜索月之大陆的隐藏区域（0分）","搜索月之大陸的隱藏區域（0分）","Mencari area tersembunyi di MoonLand.","สำรวจอาณาเขตลับใน MoonLand (0 นาที)"
35,"ExMoonLand通行証2",34,1,,0,,"item_c_c001.swf",2,"cutinchara01_skl00.swf","MoonLandの隠された地域を探索する。（2時間）","2010-04-06 04:53:16 UTC","Ex Moonland Pass 2","Permission de passage ExMoonLand 2","ExMoonLand 통행증2","Ex月之大陆通行证 2","Ex月之大陸通行證 2","ExMoonLand Pass 2","ใบอนุญาตผ่าน ExMoonLand 2","Search for the hidden area of Ex Moonland. (2 hours)","Rechercher la région cachée d'ExMoonLand (2 heures)","MoonLand의 숨겨진 지역을 탐색(2시간)","搜索月之大陆的隐藏区域（2小时）","搜索月之大陸的隱藏區域（2小時）","Mencari area tersembunyi di MoonLand (2 Jam).","สำรวจอาณาเขตลับใน MoonLand (2 ชั่วโมง)"
36,"ExMoonLand通行証3",35,1,,0,,"item_c_c001.swf",3,"cutinchara01_skl00.swf","MoonLandの隠された地域を探索する。（3日）","2010-04-06 04:53:16 UTC","Ex Moonland Pass 3","Permission de passage ExMoonLand 3","ExMoonLand 통행증3","Ex月之大陆通行证 3","Ex月之大陸通行證 3","ExMoonLand Pass 3","ใบอนุญาตผ่าน ExMoonLand 3","Search for the hidden area of Ex Moonland. (3 days)","Rechercher la région cachée d'ExMoonLand (3 jours)","MoonLand의 숨겨진 지역을 탐색(3일)","搜索月之大陆的隐藏区域（3天）","搜索月之大陸的隱藏區域（3天）","Mencari area tersembunyi di MoonLand (3 Hari).","สำรวจอาณาเขตลับใน MoonLand (3 วัน)"
37,"神秘のクローゼット",36,0,,0,,"item_c_f000.swf",2,"cutinchara01_skl00.swf","アバター衣装の所持限界数を+5します。","2010-04-06 04:53:16 UTC","Closet of Mysteries","Placard aux Mystères","신비의 옷장","神秘衣柜","神秘衣櫃","Holy Closet","ตู้แห่งความลับ","Increase your avatar wardrobe size by 5.","La limite d'équipement que votre Avatar peut porter augmente de +5","보유할 수 있는 아바타의 의상 갯수를 +5 늘립니다.","虚拟人物服装最大持有数+5。","虛擬人物服裝最大持有數+5。","Menambah 5 slot perlengkapan Avatar.","ขีดจำกัดระยะเวลาชุดอวาตาร์ที่มีอยู่ +5"
38,"特製キノコエキス",37,0,"1+4",0,,"item_c_a000.swf",4,"cutinchara01_skl00.swf","アバターの行動力を50回復します。この効果は最大APの上限を突破します。","2010-04-06 04:53:16 UTC","Special Mushroom Extract","Essence de Champignon Spéciale","특제 버섯즙","特制蘑菇萃取液","特製蘑菇萃取液","Special Mushroom Extract","สารสกัดพิเศษจากเห็ด","Gain 50 AP. This item bypasses your maximum AP limit.","Votre Avatar récupère 50 AP.","아바타의 행동력(AP)을 +50 회복합니다. 이 효과는 최대 AP의 한계를 넘을 수 있습니다.","恢复50点虚拟人物的行动力。这个效果将突破最大AP的上限。","恢復50點虛擬人物的行動力。這個效果將突破最大AP的上限。","Menambah 50 AP kepada Avatar.","ฟื้นความสามารถในการเคลื่อนไหวของอวาตาร์ 50 แต้ม ผลลัพธ์นี้จะทำให้ข้ามขีด AP สูงสุดด้วย"
39,"至宝の神薬",38,0,,0,,"item_c_a001.swf",1,"cutinchara01_skl00.swf","アバターの最大APを+1します。","2010-04-06 04:53:16 UTC","Aesculapius Draught","Remède Miraculeux","신들의 회복제","至宝的神药","至寶的神藥","Miracle Remedy","โอสถสวรรค์เลอค่า","Increase maximum AP by 1.","Le maximum d'AP de votre Avatar augmente de +1","아바타의 최대 행동력(AP)을 +1 늘립니다.","增加虚拟人物最大AP值1点","增加虛擬人物最大AP值1點","Meningkatkan bats maksimum AP sebanyak 1 poin.","AP สูงสุดของอวาตาร์ +1"
40,"青き浄化の炎",39,0,,0,,"item_c_b300.swf",1,"cutinchara01_skl00.swf","アバターの勝敗数をリセットします。","2010-04-06 04:53:16 UTC","Blue Flames of Purification","Feu Bleu Purificateur","푸른 정화의 화염","青色净化之炎","青色淨化之炎","Blue Purification Flame","เพลิงพิสุทธิ์สีคราม","Reset your avatar's win/loss counters.","Réinitialisez le nombre de Duels de votre Avatar","아바타의 전적을 초기화 합니다.","重置虚拟人物的胜败数","重置虛擬人物的勝敗數","Mereset catatan duel Avatar.","รีเซ็ตผลแพ้ชนะของอวาตาร์"
41,"赤き浄化の炎",40,0,,0,,"item_c_b300.swf",2,"cutinchara01_skl00.swf","アバターのBPをリセットします。","2010-04-06 04:53:16 UTC","Red Flames of Purification","Feu Rouge Purificateur","붉은 정화의 화염","红色净化之炎","紅色淨化之炎","Red Purification Flame","เพลิงพิสุทธิ์สีชาด","Reset your avatar's BP.","Réinitialisez le nombre de BP de votre Avatar","아바타의 BP를 1500으로 초기화 합니다.","重置虚拟人物的BP值","重置虛擬人物的BP值","Mereset BP dari Avatar.","รีเซ็ตค่า BP ของอวาตาร์"
42,"魔女のクローゼット",41,0,,0,,"item_c_f000.swf",3,"cutinchara01_skl00.swf","アバター衣装の所持限界数を+10します。","2010-04-06 04:53:16 UTC","Witches' Closet ","Placard de Sorcière","마녀의 옷장","魔女衣柜","魔女衣櫃","Witch Closet","ตู้ของแม่มด","Increase your avatar wardrobe size by 10.","La limite d'équipement que votre Avatar peut porter augmente de +10","보유할 수 있는 아바타의 의상 갯수를 +10 늘립니다.","虚拟人物服装最大持有数+10。","虛擬人物服裝最大持有數+10。","Menambah 10 slot perlengkapan Avatar.","ขีดจำกัดระยะเวลาชุดอวาตาร์ที่มีอยู่ +10"
43,"赤い靴下",42,1,,0,,"item_c_e003.swf",1,"cutinchara01_skl00.swf","クエストで使用するとクリスマスクエストを取得します。","2010-04-06 04:53:16 UTC","Red Socks ","Chaussettes rouge","빨간양말","小红袜子","小紅襪子","Red Socks","ถุงเท้าแดง","Use this item during a quest to acquire the Christmas quest.","Lorsque vous utilisez cette carte au cours d'une Quête, vous pouvez accéder à la Quête de Noël !","퀘스트로 사용하면 크리스마스 퀘스트를 받을 수 있습니다.","使用后可取得圣诞节任务","使用後可取得聖誕節任務","Mendapatkan quest Natal saat digunakan di dalam Quest.","หากใช้ในระหว่างทำเควสจะได้รับเควสคริสมาส"
