"id","name","feat_no","pow","dice_attribute","effect_image","caption","condition","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
11,"知略NONE",35,2,,"cutinchara01_skl03.swf","[移動:__CONDITION__]カードを__POW__枚ドローする|戦場を掌握する頭脳。","LMS:W*3","2010-09-20 08:02:20 UTC","Intelligent Tactics NONE","Esprit","지략","智略NONE","智略NONE","Intelligence NONE","แคล่วคล่อง None","[移動:__CONDITION__]Draw __POW__ cards. |The intelligence and cunning to seize control of the battleground.","[移動:__CONDITION__]Tirez__POW__ cartes.|Esprit prenant le contrôle du Duel.","[移動:__CONDITION__]카드를 __POW__장 드로우한다. |전장을 장악하는 지능. ","[移動:__CONDITION__]抽__POW__張卡片|掌握戰場的頭腦","[移動:__CONDITION__]抽__POW__張卡片|掌握戰場的頭腦","[移動:__CONDITION__] Mendapat __POW__ kartu. Keahlian untuk mengendalikan pertempuran.","[移動:__CONDITION__]จั่วการ์ด__POW__ใบ|ใช้ปัญญาควบคุมสนามรบ"
12,"Ex知略",35,3,,"cutinchara01_skl03ex.swf","[移動:__CONDITION__]カードを__POW__枚ドローする|戦場を掌握する頭脳。","LMS:W*2","2010-09-20 08:02:20 UTC","Ex Intelligent Tactics","Ex Esprit","Ex지략","Ex智略","Ex智略","EX Intelligence","Ex แคล่วคล่อง","[移動:__CONDITION__]Draw __POW__ cards. |The intelligence and cunning to seize control of the battleground.","[移動:__CONDITION__]Tirez__POW__ cartes.|Esprit prenant le contrôle du Duel.","[移動:__CONDITION__]카드를 __POW__장 드로우한다. |전장을 장악하는 지능. ","[移動:__CONDITION__]抽__POW__張卡片|掌握戰場的頭腦","[移動:__CONDITION__]抽__POW__張卡片|掌握戰場的頭腦","[移動:__CONDITION__] Mendapat __POW__ kartu. Keahlian untuk mengendalikan pertempuran.","[移動:__CONDITION__]จั่วการ์ด__POW__ใบ|ใช้ปัญญาควบคุมสนามรบ"
13,"連射",2,7,"physical","cutinchara02_skl00.swf","[攻撃:__CONDITION__]ATK+__POW__|リロードを短縮することで素早い連続射撃を繰り出す。","LM:A1*2","2010-09-20 08:02:20 UTC","Rapidfire","Mitrailleuse","연사","连射","連射","Auto Fire","ยิงรัว","[攻撃:__CONDITION__]ATK+__POW__. |This fully automatic firearm lets you unleash a blindingly fast barrage.","[攻撃:__CONDITION__]ATK + __POW__|Avec cette arme à feu automatique, vous pourrez vous battre plus rapidement que jamais.","[攻撃:__CONDITION__]ATK+__POW__ |리로드 시간을 단축하여 연속사격을 반복한다. ","[攻撃:__CONDITION__]ATK+__POW__|以缩短装填时间来进行快速的连续射击。","[攻撃:__CONDITION__]ATK+__POW__|以縮短裝填時間來進行快速的連續射擊。","[攻撃:__CONDITION__]ATK + __POW__. Dengan senjata api otomatis ini, kamu dapat bertempur lebih cepat dari sebelumnya.","[攻撃:__CONDITION__]ATK+__POW__|ลดเวลาโหลดกระสุนแล้วยิงซ้ำอย่างรวดเร็วติดต่อกัน"
14,"連射",2,8,"physical","cutinchara02_skl00.swf","[攻撃:__CONDITION__]ATK+__POW__|リロードを短縮することで素早い連続射撃を繰り出す。","LM:A1*2","2010-09-20 08:02:20 UTC","Rapidfire","Mitrailleuse","연사","连射","連射","Auto Fire","ยิงรัว","[攻撃:__CONDITION__]ATK+__POW__. |This fully automatic firearm lets you unleash a blindingly fast barrage.","[攻撃:__CONDITION__]ATK + __POW__|Avec cette arme à feu automatique, vous pourrez vous battre plus rapidement que jamais.","[攻撃:__CONDITION__]ATK+__POW__ |리로드 시간을 단축하여 연속사격을 반복한다. ","[攻撃:__CONDITION__]ATK+__POW__|以缩短装填时间来进行快速的连续射击。","[攻撃:__CONDITION__]ATK+__POW__|以縮短裝填時間來進行快速的連續射擊。","[攻撃:__CONDITION__]ATK + __POW__. Dengan senjata api otomatis ini, kamu dapat bertempur lebih cepat dari sebelumnya.","[攻撃:__CONDITION__]ATK+__POW__|ลดเวลาโหลดกระสุนแล้วยิงซ้ำอย่างรวดเร็วติดต่อกัน"
15,"Ex連射",2,14,"physical","cutinchara02_skl00ex.swf","[攻撃:__CONDITION__]ATK+__POW__|リロードを短縮することで素早い連続射撃を繰り出す。","LM:A3*2","2010-09-20 08:02:20 UTC","Ex Rapidfire","Ex Mitrailleuse","Ex연사","Ex连射","Ex連射","EX Auto Fire","Ex ยิงรัว","[攻撃:__CONDITION__]ATK+__POW__. |This fully automatic firearm lets you unleash a blindingly fast barrage.","[攻撃:__CONDITION__]ATK + __POW__|Avec cette arme à feu automatique, vous pourrez vous battre plus rapidement que jamais.","[攻撃:__CONDITION__]ATK+__POW__ |리로드 시간을 단축하여 연속사격을 반복한다. ","[攻撃:__CONDITION__]ATK+__POW__|以缩短装填时间来进行快速的连续射击。","[攻撃:__CONDITION__]ATK+__POW__|以縮短裝填時間來進行快速的連續射擊。","[攻撃:__CONDITION__]ATK + __POW__. Dengan senjata api otomatis ini, kamu dapat bertempur lebih cepat dari sebelumnya.","[攻撃:__CONDITION__]ATK+__POW__|ลดเวลาโหลดกระสุนแล้วยิงซ้ำอย่างรวดเร็วติดต่อกัน"
16,"神速の剣",10,2,"physical","cutinchara02_skl01.swf","[攻撃:__CONDITION__]ATK+剣数値÷2(切り上げ)|遠距離から瞬間的に移動して追加攻撃を与える。","LM:S2+,A1+","2010-09-20 08:02:20 UTC","Supersonic Sword","Epée Supersonique","신속의 검","神速之剑","神速之劍","Super Fast","เพลงดาบความเร็วสูง","[攻撃:__CONDITION__]ATK+Sword Points. / 2 (rounded up). |Deliver an additional high speed attack from long range.","[攻撃:__CONDITION__]ATK + Épée Points / 2 (arrondissez)|Téléportez vous près de votre adversaire pour lui infliger des dégâts.","[攻撃:__CONDITION__]ATK+검수치÷2(올림). 원거리에서 순간적으로 이동하여 추가 공격을 한다. ","[攻撃:__CONDITION__]ATK+剑数值÷2（尾数进位）|从远距离处瞬间移动进行追加攻击。","[攻撃:__CONDITION__]ATK+劍數值÷2（尾數進位）|從遠距離處瞬間移動進行追加攻擊。","[攻撃:__CONDITION__]Menyerang dari jarak jauh, ATK + Sword Points | 2 (pembulatan) damage ke musuh.","[攻撃:__CONDITION__]ATK+จำนวนดาบ|2 (ปัดเศษขึ้น)|เคลื่อนย้ายจากระยะไกลชั่วพริบตาแล้วทำการโจมตีเพิ่ม"
17,"神速の剣NONE",10,2,"physical","cutinchara02_skl01.swf","[攻撃:__CONDITION__]ATK+剣数値÷2(切り上げ)|遠距離から瞬間的に移動して追加攻撃を与える。","LM:S2+,A1+","2010-09-20 08:02:20 UTC","Supersonic Sword None","Epée Supersonique NONE","신속의 검","神速之剑NONE","神速之劍NONE","Super Fast NONE","เพลงดาบความเร็วสูง None","[攻撃:__CONDITION__]ATK+Sword Points. / 2 (rounded up). |Deliver an additional high speed attack from long range.","[攻撃:__CONDITION__]ATK + Épée Points / 2 (arrondissez)|Téléportez vous près de votre adversaire pour lui infliger des dégâts.","[攻撃:__CONDITION__]ATK+검수치÷2(올림). 원거리에서 순간적으로 이동하여 추가 공격을 한다. ","[攻撃:__CONDITION__]ATK+剑数值÷2（尾数进位）|从远距离处瞬间移动进行追加攻击。","[攻撃:__CONDITION__]ATK+劍數值÷2（尾數進位）|從遠距離處瞬間移動進行追加攻擊。","[攻撃:__CONDITION__]Menyerang dari jarak jauh, ATK + Sword Points | 2 (pembulatan) damage ke musuh.","[攻撃:__CONDITION__]ATK+จำนวนดาบ|2 (ปัดเศษขึ้น)|เคลื่อนย้ายจากระยะไกลชั่วพริบตาแล้วทำการโจมตีเพิ่ม"
18,"Ex神速の剣",10,1,"physical","cutinchara02_skl01ex.swf","[攻撃:__CONDITION__]ATK+剣数値|遠距離から瞬間的に移動して追加攻撃を与える。","LM:S3+,A3+","2010-09-20 08:02:20 UTC","Ex Supersonic Sword","Ex Epée Supersonique","Ex신속의 검","Ex神速之剑","Ex神速之劍","EX Super Fast","Ex เพลงดาบความเร็วสูง","[攻撃:__CONDITION__]ATK+Sword Points. |Deliver an additional high speed attack from long range.","[攻撃:__CONDITION__]ATK + Épée Points / 2 (arrondissez)|Téléportez vous près de votre adversaire pour lui infliger des dégâts.","[攻撃:__CONDITION__]ATK+검수치 |원거리에서 순간적으로 이동하여 추가 공격을 한다. ","[攻撃:__CONDITION__]ATK+剑数值|从远距离处瞬间移动进行追加攻击。","[攻撃:__CONDITION__]ATK+劍數值|從遠距離處瞬間移動進行追加攻擊。","[攻撃:__CONDITION__]Menyerang dari jarak jauh, ATK + Sword Points | 2 (pembulatan) damage ke musuh.","[攻撃:__CONDITION__]ATK+จำนวนดาบ|2 (ปัดเศษขึ้น)|เคลื่อนย้ายจากระยะไกลชั่วพริบตาแล้วทำการโจมตีเพิ่ม"
19,"怒りの一撃",11,12,"physical","cutinchara02_skl02.swf","[攻撃:__CONDITION__]ATK+(最大HP-現在HP)×2<MAX:__POW__>|自我を解放したことによって放たれる恐怖の一撃。","S:E3+","2010-09-20 08:02:20 UTC","Adrenalin Attack","Attaque d'Adrénaline","분노의 일격","愤怒一击","憤怒一擊","Adrenalin Attack","ดาบพิโรธ","[攻撃:__CONDITION__]ATK+(Max HP-Current HP) * 2 (MAX:__POW__). |Unleash a terrifying adrenaline fueled attack.","[攻撃:__CONDITION__]ATK + (MAXIMUM HP - HP actuel) * 2 < MAX:__POW__> points de dégât à votre adversaire.|Faites déferler une vague de colère sur votre ennemi.","[攻撃:__CONDITION__]ATK+(최대HP-현재HP)×2<MAX:__POW__> |자아 해방을 통해 발휘되는 공포의 일격. ","[攻撃:__CONDITION__]ATK+（最大HP-现在HP）X2<MAX:__POW__>|透过自我解放而释放出的恐怖一击。","[攻撃:__CONDITION__]ATK+（最大HP-現在HP）X2<MAX:__POW__>|透過自我解放而釋放出的恐怖一擊。","[攻撃:__CONDITION__]ATK + (MAX HP - Current HP) x 2 <MAX:__POW__> damage ke musuh.","[攻撃:__CONDITION__]ATK+(HPสูงสุด-HPปัจจุบัน)*2<MAX:__POW__>|การโจมตีน่าสะพรึงกลัวที่ถูกปล่อยจากการปลดปล่อยอัตตา"
20,"怒りの一撃",11,16,"physical","cutinchara02_skl02.swf","[攻撃:__CONDITION__]ATK+(最大HP-現在HP)×2<MAX:__POW__>|自我を解放したことによって放たれる恐怖の一撃。","S:E3+","2010-09-20 08:02:20 UTC","Adrenalin Attack","Attaque d'Adrénaline","분노의 일격","愤怒一击","憤怒一擊","Adrenalin Attack","ดาบพิโรธ","[攻撃:__CONDITION__]ATK+(Max HP-Current HP) * 2 (MAX:__POW__). |Unleash a terrifying adrenaline fueled attack.","[攻撃:__CONDITION__]ATK + (MAXIMUM HP - HP actuel) * 2 < MAX:__POW__> points de dégât à votre adversaire.|Faites déferler une vague de colère sur votre ennemi.","[攻撃:__CONDITION__]ATK+(최대HP-현재HP)×2<MAX:__POW__> |자아 해방을 통해 발휘되는 공포의 일격. ","[攻撃:__CONDITION__]ATK+（最大HP-现在HP）X2<MAX:__POW__>|透過自我解放而釋放出的恐怖一击。","[攻撃:__CONDITION__]ATK+（最大HP-現在HP）X2<MAX:__POW__>|透過自我解放而釋放出的恐怖一擊。","[攻撃:__CONDITION__]ATK + (MAX HP - Current HP) x 2 <MAX:__POW__> damage ke musuh.","[攻撃:__CONDITION__]ATK+(HPสูงสุด-HPปัจจุบัน)*2<MAX:__POW__>|การโจมตีน่าสะพรึงกลัวที่ถูกปล่อยจากการปลดปล่อยอัตตา"
21,"Ex怒りの一撃",11,99,"physical","cutinchara02_skl02ex.swf","[攻撃:__CONDITION__]ATK+(最大HP-現在HP)×2<MAX:__POW__>|自我を解放したことによって放たれる恐怖の一撃。","MS:E3+","2010-09-20 08:02:20 UTC","Ex Adrenalin Attack","Ex Attaque d'Adrénaline","Ex분노의 일격","Ex愤怒一击","Ex憤怒一擊","EX Adrenalin Attack","Ex ดาบพิโรธ","[攻撃:__CONDITION__]ATK+(Max HP-Current HP) * 2 (MAX:__POW__). |Unleash a terrifying adrenaline fueled attack.","[攻撃:__CONDITION__]ATK + (MAXIMUM HP - HP actuel) * 2 < MAX:__POW__> points de dégât à votre adversaire.|Faites déferler une vague de colère sur votre ennemi.","[攻撃:__CONDITION__]ATK+(최대HP-현재HP)×2<MAX:__POW__> |자아 해방을 통해 발휘되는 공포의 일격. ","[攻撃:__CONDITION__]ATK+（最大HP-现在HP）X2<MAX:__POW__>|透過自我解放而釋放出的恐怖一击。","[攻撃:__CONDITION__]ATK+（最大HP-現在HP）X2<MAX:__POW__>|透過自我解放而釋放出的恐怖一擊。","[攻撃:__CONDITION__]ATK + (MAX HP - Current HP) x 2 <MAX:__POW__> damage ke musuh.","[攻撃:__CONDITION__]ATK+(HPสูงสุด-HPปัจจุบัน)*2<MAX:__POW__>|การโจมตีน่าสะพรึงกลัวที่ถูกปล่อยจากการปลดปล่อยอัตตา"
22,"不屈の心",39,1,,"cutinchara02_skl03.swf","[防御:__CONDITION__]いくらダメージを受けてもHPが必ず1残る|軍犬を冠する者の不屈の闘志。","LMS:D1*2","2010-09-20 08:02:20 UTC","Indomitable Spirit","Esprit indomptable","불굴의 의지","不屈之心","不屈之心","Indomitable","ใจมุ่งมั่น","[防御:__CONDITION__]No matter how much damage you take, you will always have 1 HP left. |Fight on with the tenacity of a powerful wardog.","[防御:__CONDITION__]Quel que soit l'attaque que vous endurerez, il vous restera au moins 1 HP.|Esprit indomptable du Chien.","[防御:__CONDITION__]큰 데미지를 입더라도 HP는 1이 남는다. |군견이라 불리는 자의 불굴의 투지. ","[防御:__CONDITION__]不论受到多少伤害都一定会留下1HP|冠有軍犬之名者的不屈鬥志。","[防御:__CONDITION__]不論受到多少傷害都一定會留下1HP|冠有軍犬之名者的不屈鬥志。","[防御:__CONDITION__]Menyisakan 1HP seberapapun besar damage yang diterima. Semangat Warhound yang tak kenal padam.","[防御:__CONDITION__]ไม่ว่าจะได้ค่าความเสียหายแค่ไหนแต่ HP จะเหลือ 1 เสมอ|ความมุ่งมั่นของผู้ได้ชื่อว่าสุนัขของกองทัพ"
