"id","u_type","u_value","b_type","b_value","event_no","caption","image"
108,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
109,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
110,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
111,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
112,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
113,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
114,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
115,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
116,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
117,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
118,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
119,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
120,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
121,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
122,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
123,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
124,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
125,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
126,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
127,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
128,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
129,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
130,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
131,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
132,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
133,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
134,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
135,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
136,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
137,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
138,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
139,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
140,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
141,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
142,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
143,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
144,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
145,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
146,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
147,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
148,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
149,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
150,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
151,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
152,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
153,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
154,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
155,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
156,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
157,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
158,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
159,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
160,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
161,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
162,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
163,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
164,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
165,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
166,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
167,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
168,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf"
169,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
170,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
171,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
172,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
173,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
174,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
175,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
176,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
177,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
178,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
179,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
180,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
181,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
182,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
183,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
184,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
185,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
186,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf"
187,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
188,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
189,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
190,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
191,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
192,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
193,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
194,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
195,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
196,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
197,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
198,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
199,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
200,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
201,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
202,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
203,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
204,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf"
205,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
206,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
207,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
208,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
209,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
210,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
211,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
212,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
213,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
214,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
215,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
216,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
217,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
218,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
219,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
220,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
221,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
222,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf"
223,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
224,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
225,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
226,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
227,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
228,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
229,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
230,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
231,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
232,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
233,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
234,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
235,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
236,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
237,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
238,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
239,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
240,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf"
241,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
242,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
243,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
244,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
245,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
246,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
247,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
248,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
249,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
250,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
251,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
252,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
253,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
254,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
255,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
256,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
257,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
258,1,8,1,8,0,"このカードは剣8として扱う","card_ev_100.swf"
259,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
260,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
261,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
262,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
263,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
264,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
265,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
266,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
267,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
268,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
269,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
270,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
271,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
272,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
273,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
274,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
275,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
276,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
277,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
278,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
279,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
280,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
281,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
282,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
283,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
284,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
285,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
286,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
287,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
288,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
289,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
290,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
291,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
292,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
293,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
294,2,1,2,1,0,"このカードは銃1として扱う","card_ev_110.swf"
295,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
296,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
297,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
298,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
299,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
300,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
301,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
302,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
303,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
304,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
305,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
306,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
307,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
308,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
309,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
310,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
311,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
312,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
313,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
314,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
315,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
316,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
317,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
318,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
319,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
320,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
321,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
322,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
323,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
324,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
325,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
326,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
327,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
328,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
329,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
330,2,2,2,2,0,"このカードは銃2として扱う","card_ev_110.swf"
331,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
332,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
333,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
334,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
335,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
336,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
337,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
338,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
339,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
340,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
341,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
342,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
343,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
344,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
345,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
346,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
347,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
348,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
349,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
350,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
351,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
352,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
353,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
354,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
355,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
356,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
357,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
358,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
359,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
360,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
361,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
362,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
363,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
364,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
365,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
366,2,3,2,3,0,"このカードは銃3として扱う","card_ev_110.swf"
367,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
368,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
369,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
370,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
371,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
372,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
373,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
374,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
375,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
376,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
377,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
378,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
379,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
380,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
381,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
382,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
383,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
384,2,4,2,4,0,"このカードは銃4として扱う","card_ev_110.swf"
385,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
386,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
387,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
388,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
389,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
390,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
391,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
392,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
393,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
394,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
395,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
396,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
397,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
398,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
399,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
400,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
401,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
402,2,5,2,5,0,"このカードは銃5として扱う","card_ev_110.swf"
403,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
404,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
405,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
406,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
407,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
408,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
409,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
410,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
411,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
412,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
413,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
414,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
415,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
416,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
417,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
418,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
419,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
420,2,6,2,6,0,"このカードは銃6として扱う","card_ev_110.swf"
421,2,7,2,7,0,"このカードは銃7として扱う","card_ev_110.swf"
422,2,7,2,7,0,"このカードは銃7として扱う","card_ev_110.swf"
423,2,7,2,7,0,"このカードは銃7として扱う","card_ev_110.swf"
