"id","name","allocation_type","chara_card_id","weapon_card_id","equip_card_id","event_card_id","ai_rank","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai"
402,"鬼火L2",0,1011,0,0,"1/1/1/9/9/9",10,"Willo's the wisp L2","Feufollet L2","귀화2","鬼火L2","鬼火L2","Will-o-Wisp L2","ดวงไฟยักษ์ L2"
403,"鬼火L3",0,1012,0,0,"1/1/1/9/9/9",10,"Willo's the wisp L3","Feufollet L3","귀화3","鬼火L3","鬼火L3","Will-o-Wisp L3","ดวงไฟยักษ์ L3"
501,"茸兎L1",0,1013,0,0,"27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27",10,"Mushroom Beast L1","Lapin Fongique L1","버섯토끼1","茸兔L1","茸兔L1","Mushroom Beast L1","ภูตเห็ด L1"
502,"茸兎L2",0,1014,0,0,"1/1/1/9/9/9",10,"Mushroom Beast L2","Lapin Fongique L2","버섯토끼2","茸兔L2","茸兔L2","Mushroom Beast L2","ภูตเห็ด L2"
503,"茸兎L3",0,1015,0,0,"1/1/1/9/9/9",10,"Mushroom Beast L3","Lapin Fongique L3","버섯토끼3","茸兔L3","茸兔L3","Mushroom Beast L3","ภูตเห็ด L3"
601,"吊られた男L1",0,1016,0,0,"1/1/1/9/9/9",10,"Hanged man L1","Pendu L1","억울하게 죽은 자1","吊死者L1","吊死者L1","Hanged man L1","แฮงก์แมน L1"
602,"吊られた男L2",0,1017,0,0,"1/1/1/9/9/9",10,"Hanged man L2","Pendu L2","억울하게 죽은 자2","吊死者L2","吊死者L2","Hanged man L2","แฮงก์แมน L2"
603,"吊られた男L3",0,1018,0,0,"1/1/1/9/9/9",10,"Hanged man L3","Pendu L3","억울하게 죽은 자3","吊死者L3","吊死者L3","Hanged man L3","แฮงก์แมน L3"
701,"食屍鬼L1",0,1019,0,0,"1/1/1/9/9/9",10,"Ghoul L1","Goule L1","식시귀1","食尸鬼L1","食屍鬼L1","Ghoul L1","กูล L1"
702,"食屍鬼L2",0,1020,0,0,"1/1/1/9/9/9",10,"Ghoul L2","Goule L2","식시귀2","食尸鬼L2","食屍鬼L2","Ghoul L2","กูล L2"
703,"食屍鬼L3",0,1021,0,0,"1/1/1/9/9/9",10,"Ghoul L3","Goule L3","식시귀3","食尸鬼L3","食屍鬼L3","Ghoul L3","กูล L3"
801,"人狼L1",0,1022,0,0,"1/1/1/9/9/9",10,"Werewolf L1","Loup-garou L1","인랑1","狼人L1","狼人L1","Werewolf L1","มนุษย์หมาป่า L1"
802,"人狼L2",0,1023,0,0,"1/1/1/9/9/9",10,"Werewolf L2","Loup-garou L2","인랑2","狼人L2","狼人L2","Werewolf L2","มนุษย์หมาป่า L2"
803,"人狼L3",0,1024,0,0,"1/1/1/9/9/9",10,"Werewolf L3","Loup-garou L3","인랑3","狼人L3","狼人L3","Werewolf L3","มนุษย์หมาป่า L3"
901,"黒き哨兵L1",0,1025,0,0,"1/1/1/9/9/9",10,"Black Sentinel L1","Sentinelle Noire L1","흑초병1","黑哨兵L1","黑哨兵L1","Black Sentinel L1","องครักษ์สีดำ L1"
902,"黒き哨兵L2",0,1026,0,0,"1/1/1/9/9/9",10,"Black Sentinel L2","Sentinelle Noire L2","흑초병2","黑哨兵L2","黑哨兵L2","Black Sentinel L2","องครักษ์สีดำ L2"
903,"黒き哨兵L3",0,1027,0,0,"1/1/1/9/9/9",10,"Black Sentinel L3","Sentinelle Noire L3","흑초병3","黑哨兵L3","黑哨兵L3","Black Sentinel L3","องครักษ์สีดำ L3"
1001,"狂狼L1",0,1028,0,0,"1/1/1/9/9/9",10,"Mad Wolf L1","Loup Enragé L1","광기의 늑대1","狂狼L1","狂狼L1","Mad Wolf L1","หมาป่าคลั่ง L1"
1002,"狂狼L2",0,1029,0,0,"1/1/1/9/9/9",10,"Mad Wolf L2","Loup Enragé L2","광기의 늑대2","狂狼L2","狂狼L2","Mad Wolf L2","หมาป่าคลั่ง L2"
1003,"狂狼L3",0,1030,0,0,"1/1/1/9/9/9",10,"Mad Wolf L3","Loup Enragé L3","광기의 늑대3","狂狼L3","狂狼L3","Mad Wolf L3","หมาป่าคลั่ง L3"
1101,"鋼鉄の男L1",0,1031,0,0,"1/1/1/9/9/9",10,"Man Of The Steel L1","Homme d'Acier L1","강철거인1","钢铁男L1","鋼鐵男L1","Man Of The Steel L1","มนุษย์เหล็ก L1"
1102,"鋼鉄の男L2",0,1032,0,0,"1/1/1/9/9/9",10,"Man Of The Steel L2","Homme d'Acier L2","강철거인2","钢铁男L2","鋼鐵男L2","Man Of The Steel L2","มนุษย์เหล็ก L2"
1103,"鋼鉄の男L3",0,1033,0,0,"1/1/1/9/9/9",10,"Man Of The Steel L3","Homme d'Acier L3","강철거인3","钢铁男L3","鋼鐵男L3","Man Of The Steel L3","มนุษย์เหล็ก L3"
1201,"白骨騎士L1",0,1034,0,0,"1/1/1/9/9/9",10,"Scull Knight L1","Chevalier Faucheur L1","죽음의 기사1","白骨骑士L1","白骨騎士L1","Scull Knight L1","อัศวินกระดูก L1"
1202,"白骨騎士L2",0,1035,0,0,"1/1/1/9/9/9",10,"Scull Knight L2","Chevalier Faucheur L2","죽음의 기사2","白骨骑士L2","白骨騎士L2","Scull Knight L2","อัศวินกระดูก L2"
1203,"白骨騎士L3",0,1036,0,0,"1/1/1/9/9/9",10,"Scull Knight L3","Chevalier Faucheur L3","죽음의 기사3","白骨骑士L3","白骨騎士L3","Scull Knight L3","อัศวินกระดูก L3"
1301,"炎鬼L1",0,1037,0,0,"1/1/1/9/9/9",10,"Flame Damon of Beoboros L1","Démon de Beoboros L1","염혼1","炎鬼L1","炎鬼L1","Flame Damon of Beoboros L1","ยักษ์เพลิง L1"
1302,"炎鬼L2",0,1038,0,0,"1/1/1/9/9/9",10,"Flame Damon of Beoboros L2","Démon de Beoboros L2","염혼2","炎鬼L2","炎鬼L2","Flame Damon of Beoboros L2","ยักษ์เพลิง L2"
1303,"炎鬼L3",0,1039,0,0,"1/1/1/9/9/9",10,"Flame Damon of Beoboros L3","Démon de Beoboros L3","염혼3","炎鬼L3","炎鬼L3","Flame Damon of Beoboros L3","ยักษ์เพลิง L3"
1401,"影の悪魔L1",0,1040,0,0,"1/1/1/9/9/9",10,"Slashing Devils L1","Entaillant Diables L1","그림자 악마1","影之恶魔L1","影之惡魔L1","Slashing Devils L1",
1402,"影の悪魔L2",0,1041,0,0,"1/1/1/9/9/9",10,"Slashing Devils L2","Entaillant Diables L2","그림자 악마2","影之恶魔L2","影之惡魔L2","Slashing Devils L2",
1403,"影の悪魔L3",0,1042,0,0,"1/1/1/9/9/9",10,"Slashing Devils L3","Entaillant Diables L3","그림자 악마3","影之恶魔L3","影之惡魔L3","Slashing Devils L3",
1501,"毒鼠Lv1",0,1043,0,0,"2/2/2/10/10/10",10,"Poison Rat L1","Rat Toxique L1","독 쥐1","毒鼠L1","毒鼠L1","Poison Rat L1","หนูพิษ L1"
1502,"毒鼠Lv2",0,1044,0,0,"2/2/2/10/10/10",10,"Poison Rat L2","Rat Toxique L2","독 쥐2","毒鼠L2","毒鼠L2","Poison Rat L2","หนูพิษ L2"
1503,"毒鼠Lv3",0,1045,0,0,"2/2/2/10/10/10",10,"Poison Rat L3","Rat Toxique L3","독 쥐3","毒鼠L3","毒鼠L3","Poison Rat L3","หนูพิษ L3"
1601,"骸骨兵Lv1",0,1046,0,0,"2/2/2/10/10/10",10,"Skeleton Soldier L1","Squelette Guerrier L1","해골병1","骸骨兵L1","骸骨兵L1","Skeleton Soldier L1","ทหารโครงกระดูก L1"
1602,"骸骨兵Lv2",0,1047,0,0,"2/2/2/10/10/10",10,"Skeleton Soldier L2","Squelette Guerrier L2","해골병2","骸骨兵L2","骸骨兵L2","Skeleton Soldier L2","ทหารโครงกระดูก L2"
1603,"骸骨兵Lv3",0,1048,0,0,"2/2/2/10/10/10",10,"Skeleton Soldier L3","Squelette Guerrier L3","해골병3","骸骨兵L3","骸骨兵L3","Skeleton Soldier L3","ทหารโครงกระดูก L3"
1701,"透明な布Lv1",0,1049,0,0,"2/2/2/10/10/10",10,"Invisible Cloth L1","Vêtement Invisible L1","투명한 천1","透明布L1","透明布L1","Invisible Cloth L1","ผ้าคลุมปิศาจ L1"
1702,"透明な布Lv2",0,1050,0,0,"2/2/2/10/10/10",10,"Invisible Cloth L2","Vêtement Invisible L2","투명한 천2","透明布L2","透明布L2","Invisible Cloth L2","ผ้าคลุมปิศาจ L2"
1703,"透明な布Lv3",0,1051,0,0,"2/2/2/10/10/10",10,"Invisible Cloth L3","Vêtement Invisible L3","투명한 천3","透明布L3","透明布L3","Invisible Cloth L3","ผ้าคลุมปิศาจ L3"
1801,"呪われし剣Lv1",0,1052,0,0,"2/2/2/10/10/10",10,"Cursed Sword L1","Epée Maudite L1","저주받은 검1","咒怨剑L1","咒怨劍L1","Cursed Sword L1","ดาบต้องสาป L1"
1802,"呪われし剣Lv2",0,1053,0,0,"2/2/2/10/10/10",10,"Cursed Sword L2","Epée Maudite L2","저주받은 검2","咒怨剑L2","咒怨劍L2","Cursed Sword L2","ดาบต้องสาป L2"
1803,"呪われし剣Lv3",0,1054,0,0,"2/2/2/10/10/10",10,"Cursed Sword L3","Epée Maudite L3","저주받은 검3","咒怨剑L3","咒怨劍L3","Cursed Sword L3","ดาบต้องสาป L3"
1901,"山羊の悪魔Lv1",0,1055,0,0,"2/2/2/10/10/10",10,"Baphomet L1","Baphomet L1","바포메트1","山羊恶魔L1","山羊惡魔L1","Baphomet L1","บาโฟเมต L1"
1902,"山羊の悪魔Lv2",0,1056,0,0,"2/2/2/10/10/10",10,"Baphomet L2","Baphomet L2","바포메트2","山羊恶魔L2","山羊惡魔L2","Baphomet L2","บาโฟเมต L2"
1903,"山羊の悪魔Lv3",0,1057,0,0,"2/2/2/10/10/10",10,"Baphomet L3","Baphomet L3","바포메트3","山羊恶魔L3","山羊惡魔L3","Baphomet L3","บาโฟเมต L3"
2001,"ナイチンゲールLv1",0,1058,0,0,"2/2/2/10/10/10",10,"Nachtigall L1","Nachtigall L1","나이팅게일1","夜光鸟L1","夜光鳥L1","Nachtigall L1","ไนติงเกล L1"
2002,"ナイチンゲールLv2",0,1059,0,0,"2/2/2/10/10/10",10,"Nachtigall L2","Nachtigall L2","나이팅게일2","夜光鸟L2","夜光鳥L2","Nachtigall L2","ไนติงเกล L2"
2003,"ナイチンゲールLv3",0,1060,0,0,"2/2/2/10/10/10",10,"Nachtigall L3","Nachtigall L3","나이팅게일3","夜光鸟L3","夜光鳥L3","Nachtigall L3","ไนติงเกล L3"
2101,"双頭犬オルトスLv1",0,1061,0,0,"2/2/2/10/10/10",10,"Orthros L1","Orthros L1","오로토스1","双头犬欧尔多斯L1","雙頭犬歐爾多斯L1","Orthros L1","ออร์โธรส L1"
2102,"双頭犬オルトスLv2",0,1062,0,0,"2/2/2/10/10/10",10,"Orthros L2","Orthros L2","오로토스2","双头犬欧尔多斯L2","雙頭犬歐爾多斯L2","Orthros L2","ออร์โธรส L2"
2103,"双頭犬オルトスLv3",0,1063,0,0,"2/2/2/10/10/10",10,"Orthros L3","Orthros L3","오로토스3","双头犬欧尔多斯L3","雙頭犬歐爾多斯L3","Orthros L3","ออร์โธรส L3"
2201,"吸血鬼Lv1",0,1064,0,0,"2/2/2/10/10/10",10,"Vampire L1","Vampire L1","혈혈귀1","吸血鬼L1","吸血鬼L1","Vampire L1","แวมไพร์ L1"
2202,"吸血鬼Lv2",0,1065,0,0,"2/2/2/10/10/10",10,"Vampire L2","Vampire L2","혈혈귀2","吸血鬼L2","吸血鬼L2","Vampire L2","แวมไพร์ L2"
2203,"吸血鬼Lv3",0,1066,0,0,"2/2/2/10/10/10",10,"Vampire L3","Vampire L3","혈혈귀3","吸血鬼L3","吸血鬼L3","Vampire L3","แวมไพร์ L3"
2301,"白蜘蛛Lv1",0,1067,0,0,"2/2/2/10/10/10",10,"White Spider L1","Araignée Laiteuse L1","백색 거미1","白蜘蛛L1","白蜘蛛L1","Araignée Laiteuse L1","แมงมุมขาว L1"
2302,"白蜘蛛Lv2",0,1068,0,0,"2/2/2/10/10/10",10,"White Spider L2","Araignée Laiteuse L2","백색 거미2","白蜘蛛L2","白蜘蛛L2","Araignée Laiteuse L2","แมงมุมขาว L2"
2303,"白蜘蛛Lv3",0,1069,0,0,"2/2/2/10/10/10",10,"White Spider L3","Araignée Laiteuse L3","백색 거미3","白蜘蛛L3","白蜘蛛L3","Araignée Laiteuse L3","แมงมุมขาว L3"
2401,"夜鬼Lv1",0,1070,0,0,"2/2/2/10/10/10",10,"Night Ogre L1","Ogre des Ténèbres L1","야혼1","夜鬼L1","夜鬼L1","Ogre des Ténèbres L1","ยักษ์ราตรี L1"
2402,"夜鬼Lv2",0,1071,0,0,"2/2/2/10/10/10",10,"Night Ogre L2","Ogre des Ténèbres L2","야혼2","夜鬼L2","夜鬼L2","Ogre des Ténèbres L2","ยักษ์ราตรี L2"
2403,"夜鬼Lv3",0,1072,0,0,"2/2/2/10/10/10",10,"Night Ogre L3","Ogre des Ténèbres L3","야혼3","夜鬼L3","夜鬼L3","Ogre des Ténèbres L3","ยักษ์ราตรี L3"
2501,"妖蛆Lv1",0,1073,0,0,"3/3/3/11/11/11",10,"Ancient Naga L1","Naga Antique L1","고대의 나가1","妖蛆L1","妖蛆L1","Naga Antique L1","นาคภูต L1"
2502,"妖蛆Lv2",0,1074,0,0,"3/3/3/11/11/11",10,"Ancient Naga L2","Naga Antique L2","고대의 나가2","妖蛆L2","妖蛆L2","Naga Antique L2","นาคภูต L2"
2503,"妖蛆Lv3",0,1075,0,0,"3/3/3/11/11/11",10,"Ancient Naga L3","Naga Antique L3","고대의 나가3","妖蛆L3","妖蛆L3","Naga Antique L3","นาคภูต L3"
2601,"食屍賢者Lv1",0,1076,0,0,"3/3/3/11/11/11",10,"Unseen Master L1","Maître Invisible L1","식시귀의 현자1","食尸鬼的贤者L1","食屍鬼的賢者L1","Maître Invisible L1","นักปราชญ์ยักษ์กินศพ L1"
2602,"食屍賢者Lv2",0,1077,0,0,"3/3/3/11/11/11",10,"Unseen Master L2","Maître Invisible L2","식시귀의 현자2","食尸鬼的贤者L2","食屍鬼的賢者L2","Maître Invisible L2","นักปราชญ์ยักษ์กินศพ L2"
2603,"食屍賢者Lv3",0,1078,0,0,"3/3/3/11/11/11",10,"Unseen Master L3","Maître Invisible L3","식시귀의 현자3","食尸鬼的贤者L3","食屍鬼的賢者L3","Maître Invisible L3","นักปราชญ์ยักษ์กินศพ L3"
2701,"機械兵Lv1",0,1079,0,0,"3/3/3/11/11/11",10,"Mechanical Soldier L1","Soldat Mécanique L1","기계병1","机械兵L1","機械兵L1","Soldat Mécanique L1","ทหารจักรกล L1"
2702,"機械兵Lv2",0,1080,0,0,"3/3/3/11/11/11",10,"Mechanical Soldier L2","Soldat Mécanique L2","기계병2","机械兵L2","機械兵L2","Soldat Mécanique L2","ทหารจักรกล L2"
2703,"機械兵Lv3",0,1081,0,0,"3/3/3/11/11/11",10,"Mechanical Soldier L3","Soldat Mécanique L3","기계병3","机械兵L3","機械兵L3","Soldat Mécanique L3","ทหารจักรกล L3"
2801,"ウボス四肢Lv1",0,1082,0,0,"3/3/3/11/11/11",10,"Four limbs of Ubos L1","Membres d'Ubos L1","우보스의 사지1","乌波斯L1","烏波斯L1","Membres d'Ubos L1","ของอูโส L1"
2802,"ウボス四肢Lv2",0,1083,0,0,"3/3/3/11/11/11",10,"Four limbs of Ubos L2","Membres d'Ubos L2","우보스의 사지2","乌波斯L2","烏波斯L2","Membres d'Ubos L2","ของอูโส L2"
2803,"ウボス四肢Lv3",0,1084,0,0,"3/3/3/11/11/11",10,"Four limbs of Ubos L3","Membres d'Ubos L3","우보스의 사지3","乌波斯L3","烏波斯L3","Membres d'Ubos L3","ของอูโส L3"
2901,"偵察機Lv1",0,1085,0,0,"3/3/3/11/11/11",10,"Scout Machine L1","Machine Patrouille L1","정찰기1","侦察机L1","偵察機L1","Machine Patrouille L1","จักรกลสำรวจ ลูเบียน่า L1"
2902,"偵察機Lv2",0,1086,0,0,"3/3/3/11/11/11",10,"Scout Machine L2","Machine Patrouille L2","정찰기2","侦察机L2","偵察機L2","Machine Patrouille L2","จักรกลสำรวจ ลูเบียน่า L2"
2903,"偵察機Lv3",0,1087,0,0,"3/3/3/11/11/11",10,"Scout Machine L3","Machine Patrouille L3","정찰기3","侦察机L3","偵察機L3","Machine Patrouille L3","จักรกลสำรวจ ลูเบียน่า L3"
3001,"妖花Lv1",0,1088,0,0,"3/3/3/11/11/11",10,"Evil Reefs L1","Fleur Maléfique L1","요화1","妖花L1","妖花L1","Flower Demon L1","ภูตบุปผา L1"
3002,"妖花Lv2",0,1089,0,0,"3/3/3/11/11/11",10,"Evil Reefs L2","Fleur Maléfique L2","요화2","妖花L2","妖花L2","Flower Demon L2","ภูตบุปผา L2"
3003,"妖花Lv3",0,1090,0,0,"3/3/3/11/11/11",10,"Evil Reefs L3","Fleur Maléfique L3","요화3","妖花L3","妖花L3","Flower Demon L3","ภูตบุปผา L3"
3101,"白魔Lv1",0,1091,0,0,"3/3/3/11/11/11",10,"White People L1","Démon Blanc L1","백마1","白魔L1","白魔L1","White Mage L1","ปิศาจขาว L1"
3102,"白魔Lv2",0,1092,0,0,"3/3/3/11/11/11",10,"White People L2","Démon Blanc L2","백마2","白魔L2","白魔L2","White Mage L2","ปิศาจขาว L2"
3103,"白魔Lv3",0,1093,0,0,"3/3/3/11/11/11",10,"White People L3","Démon Blanc L3","백마3","白魔L3","白魔L3","White Mage L03","ปิศาจขาว L3"
3201,"ハーピーLv1",0,1094,0,0,"3/3/3/11/11/11",10,"Harpy L1","Harpie L1","하피1","哈耳庇厄L1","哈耳庇厄L1","Harpy L1","ฮาร์พี L1"
3202,"ハーピーLv2",0,1095,0,0,"3/3/3/11/11/11",10,"Harpy L2","Harpie L2","하피2","哈耳庇厄L2","哈耳庇厄L2","Harpy L2","ฮาร์พี L2"
3203,"ハーピーLv3",0,1096,0,0,"3/3/3/11/11/11",10,"Harpy L3","Harpie L3","하피3","哈耳庇厄L3","哈耳庇厄L3","Harpy L3","ฮาร์พี L3"
3301,"竜人Lv1",0,1097,0,0,"3/3/3/11/11/11",10,"Dragon's People L1","Peuple du Dragon L1","용인1","龙人L1","龍人L1","Dragonian L1","มนุษย์มังกร L1"
3302,"竜人Lv2",0,1098,0,0,"3/3/3/11/11/11",10,"Dragon's People L2","Peuple du Dragon L2","용인2","龙人L2","龍人L2","Dragonian L2","มนุษย์มังกร L2"
3303,"竜人Lv3",0,1099,0,0,"3/3/3/11/11/11",10,"Dragon's People L3","Peuple du Dragon L3","용인3","龙人L3","龍人L3","Dragonian L3","มนุษย์มังกร L3"
3401,"飛竜Lv1",0,1100,0,0,"3/3/3/11/11/11",10,"Wyvern L1","Wyvern L1","비룡1","飞龙L1","飛龍L1","Wyvern L1","ไวเวิร์น L1"
3402,"飛竜Lv2",0,1101,0,0,"3/3/3/11/11/11",10,"Wyvern L2","Wyvern L2","비룡2","飞龙L2","飛龍L2","Wyvern L2","ไวเวิร์น L2"
3403,"飛竜Lv3",0,1102,0,0,"3/3/3/11/11/11",10,"Wyvern L3","Wyvern L3","비룡3","飞龙L3","飛龍L3","Wyvern L3","ไวเวิร์น L3"
3501,"天使Lv1",0,1103,0,0,"3/3/11/11/35/35",10,"Angel L1","Ange L1","천사1","天使L1","天使 L1","Angel L1","ทูตสวรรค์ L1"
3502,"天使Lv2",0,1104,0,0,"3/3/11/11/35/35",10,"Angel L2","Ange L2","천사2","天使L2","天使 L2","Angel L2","ทูตสวรรค์ L2"
3503,"天使Lv3",0,1105,0,0,"3/3/11/11/35/35",10,"Angel L3","Ange L3","천사3","天使L3","天使 L3","Angel L3","ทูตสวรรค์ L3"
3601,"餓鬼Lv1",0,1106,0,0,"3/3/11/11/44/44",10,"Preta L1","Preta L1","아귀1","饿鬼L1","餓鬼 L1","Preta L1","เปรต L1"
3602,"餓鬼Lv2",0,1107,0,0,"3/3/11/11/44/44",10,"Preta L2","Preta L2","아귀2","饿鬼L2","餓鬼 L2","Preta L2","เปรต L2"
3603,"餓鬼Lv3",0,1108,0,0,"3/3/11/11/44/44",10,"Preta L3","Preta L3","아귀3","饿鬼L3","餓鬼 L3","Preta L3","เปรต L3"
3701,"掟の箱Lv1",0,1109,0,0,"22/22/22/23/23/23",10,"The Ark L1","Arche L1","규칙의 상자1","律法之箱L1","律法之箱 L1","The Ark L1","หีบแห่งกฎ L1"
3702,"掟の箱Lv2",0,1110,0,0,"22/22/22/23/23/23",10,"The Ark L2","Arche L2","규칙의 상자2","律法之箱L2","律法之箱 L2","The Ark L2","หีบแห่งกฎ L2"
3703,"掟の箱Lv3",0,1111,0,0,"22/22/22/23/23/23",10,"The Ark L3","Arche L3","규칙의 상자3","律法之箱L3","律法之箱 L3","The Ark L3","หีบแห่งกฎ L3"
3801,"死の歯車Lv1",0,1112,0,0,"22/22/22/23/23/23",10,"Gear of death L1","Roue de la Mort L1","죽음의 톱니바퀴1","死之齿轮L1","死之齒輪 L1","Gear of death L1","ฟันเฟืองแห่งความตาย L1"
3802,"死の歯車Lv2",0,1113,0,0,"22/22/22/23/23/23",10,"Gear of death L2","Roue de la Mort L2","죽음의 톱니바퀴2","死之齿轮L2","死之齒輪 L2","Gear of death L2","ฟันเฟืองแห่งความตาย L2"
3803,"死の歯車Lv3",0,1114,0,0,"22/22/22/23/23/23",10,"Gear of death L3","Roue de la Mort L3","죽음의 톱니바퀴3","死之齿轮L3","死之齒輪 L3","Gear of death L3","ฟันเฟืองแห่งความตาย L3"
3901,"イービルアイLv1",0,1115,0,0,"22/22/22/23/23/23",10,"Evil eye L1","Evil Eye L1","이블아이1","邪恶之眼L1","邪惡之眼 L1","Evil Eye L1","อีวิลอาย L1"
3902,"イービルアイLv2",0,1116,0,0,"22/22/22/23/23/23",10,"Evil eye L2","Evil Eye L2","이블아이2","邪恶之眼L2","邪惡之眼 L2","Evil Eye L2","อีวิลอาย L2"
3903,"イービルアイLv3",0,1117,0,0,"22/22/22/23/23/23",10,"Evil eye L3","Evil Eye L3","이블아이3","邪恶之眼L3","邪惡之眼 L3","Evil Eye L3","อีวิลอาย L3"
4001,"母子像Lv1",0,1118,0,0,"22/22/22/23/23/23",10,"Stone Idol L1","Statue de pierre L1","모자상1","母子像L1","母子像 L1","Stone Idol L1","ปะติมากรรมหิน L1"
4002,"母子像Lv2",0,1119,0,0,"22/22/22/23/23/23",10,"Stone Idol L2","Statue de pierre L2","모자상2","母子像L2","母子像 L2","Stone Idol L2","ปะติมากรรมหิน L2"
4003,"母子像Lv3",0,1120,0,0,"22/22/22/23/23/23",10,"Stone Idol L3","Statue de pierre L3","모자상3","母子像L3","母子像 L3","Stone Idol L3","ปะติมากรรมหิน L3"
4101,"虚無Lv1",0,1121,0,0,"22/22/22/23/23/23",10,"Zero L1","Zéro L1","허무1","虚无L1","虛無 L1","Void L1","สูญ L1"
4102,"虚無Lv2",0,1122,0,0,"22/22/22/23/23/23",10,"Zero L2","Zéro L2","허무2","虚无L2","虛無 L2","Void L2","สูญ L2"
4103,"虚無Lv3",0,1123,0,0,"22/22/22/23/23/23",10,"Zero L3","Zéro L3","허무3","虚无L3","虛無 L3","Void L3","สูญ L3"
4201,"聖女の猫Lv1",0,1124,0,0,"22/22/22/23/23/23",10,"Avatar Cat L1","Chat de l'Avatar L1","성녀의 고양이1","圣女的猫L1","聖女的貓 L1","Avatar Cat L1","แมวจำแลง L1"
4202,"聖女の猫Lv2",0,1125,0,0,"22/22/22/23/23/23",10,"Avatar Cat L2","Chat de l'Avatar L2","성녀의 고양이2","圣女的猫L2","聖女的貓 L2","Avatar Cat L2","แมวจำแลง L2"
4203,"聖女の猫Lv3",0,1126,0,0,"22/22/22/23/23/23",10,"Avatar Cat L3","Chat de l'Avatar L3","성녀의 고양이3","圣女的猫L3","聖女的貓 L3","Avatar Cat L3","แมวจำแลง L3"
4301,"夢馬Lv1",0,1127,0,0,"22/22/22/23/23/23",10,"Nightmare L1","Cheval des Enfers L1","몽마1","梦魇马L1","夢魘馬 L1","Ghostmare L1","อาชาแห่งฝัน L1"
4302,"夢馬Lv2",0,1128,0,0,"22/22/22/23/23/23",10,"Nightmare L2","Cheval des Enfers L2","몽마2","梦魇马L2","夢魘馬 L2","Ghostmare L2","อาชาแห่งฝัน L2"
4303,"夢馬Lv3",0,1129,0,0,"22/22/22/23/23/23",10,"Nightmare L3","Cheval des Enfers L3","몽마3","梦魇马L3","夢魘馬 L3","Ghostmare L3","อาชาแห่งฝัน L3"
4401,"リリスLv1",0,1130,0,0,"22/22/22/23/23/23",10,"Lilith L1","Lilith L1","릴리스1","莉莉丝L1","莉莉絲 L1","Lilith L1","ลิลิธ L1"
4402,"リリスLv2",0,1131,0,0,"22/22/22/23/23/23",10,"Lilith L2","Lilith L2","릴리스2","莉莉丝L2","莉莉絲 L2","Lilith L2","ลิลิธ L2"
4403,"リリスLv3",0,1132,0,0,"22/22/22/23/23/23",10,"Lilith L3","Lilith L3","릴리스3","莉莉丝L3","莉莉絲 L3","Lilith L3","ลิลิธ L3"
