"id","name","monstar_no","treasure_no","event_no","stage","caption","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
45,"宝玉の里",0,0,0,5,"獣人が住むとされる平和な里","Peaceful Village","Village paisible","보석의 마을","宝玉之乡","寶玉的村落","Peaceful Village","หมู่บ้านอัญมณี","A peaceful village of therianthropes.","Village paisible où bête humaine vivant.","수인이 산다는 조용하고 평온한 마을","兽人居住的和平之村","獸人所居住的和平村莊","Desa tempat manusia hewan hidup dengan damai.","หมู่บ้านสงบสุขที่มนุษย์ครึ่งอสูรอาศัยอยู่"
46,"宝玉の里",0,50004,0,5,"獣人が住むとされる平和な里","Peaceful Village","Village paisible","보석의 마을","宝玉之乡","寶玉的村落","Peaceful Village","หมู่บ้านอัญมณี","A peaceful village of therianthropes.","Village paisible où bête humaine vivant.","수인이 산다는 조용하고 평온한 마을","兽人居住的和平之村","獸人所居住的和平村莊","Desa tempat manusia hewan hidup dengan damai.","หมู่บ้านสงบสุขที่มนุษย์ครึ่งอสูรอาศัยอยู่"
47,"☆宝玉の里",0,20020,0,5,"獣人が住むとされる平和な里","☆Peaceful Village","☆Village paisible","☆보석의 마을","☆宝玉之乡","☆寶玉的村落","☆Peaceful Village","☆หมู่บ้านอัญมณี","A peaceful village of therianthropes.","Village paisible où bête humaine vivant.","수인이 산다는 조용하고 평온한 마을","兽人居住的和平之村","獸人所居住的和平村莊","Desa tempat manusia hewan hidup dengan damai.","หมู่บ้านสงบสุขที่มนุษย์ครึ่งอสูรอาศัยอยู่"
48,"★宝玉の里",0,111,0,5,"獣人が住むとされる平和な里","★Peaceful Village","★Village paisible","★보석의 마을","★宝玉之乡","★寶玉的村落","★Peaceful Village","★หมู่บ้านอัญมณี","A peaceful village of therianthropes.","Village paisible où bête humaine vivant.","수인이 산다는 조용하고 평온한 마을","兽人居住的和平之村","獸人所居住的和平村莊","Desa tempat manusia hewan hidup dengan damai.","หมู่บ้านสงบสุขที่มนุษย์ครึ่งอสูรอาศัยอยู่"
49,"混沌の道",0,0,0,4,"混沌世界へと繋がる道","Road to Chaos","Route au Chaos","혼돈의 길","混沌之路","混沌之路","Road to Chaos","ถนนแห่งความยุ่งเหยิง","A road linking this world to that of Chaos.","La route relie à monde Chaotique","혼돈 세계로 이어지는 길","连接混沌世界的道路","通往混沌世界的道路","Jalan yang terhubung ke dunia Chaos.","ถนนที่นำไปสู่โลกแห่งความยุ่งเหยิง"
50,"混沌の道",0,50004,0,4,"混沌世界へと繋がる道","Road to Chaos","Route au Chaos","혼돈의 길","混沌之路","混沌之路","Road to Chaos","ถนนแห่งความยุ่งเหยิง","A road linking this world to that of Chaos.","La route relie à monde Chaotique","혼돈 세계로 이어지는 길","连接混沌世界的道路","通往混沌世界的道路","Jalan yang terhubung ke dunia Chaos.","ถนนที่นำไปสู่โลกแห่งความยุ่งเหยิง"
51,"☆混沌の道",0,20022,0,4,"混沌世界へと繋がる道","☆Road to Chaos","Route au Chaos","☆혼돈의 길","☆混沌之路","☆混沌之路","☆Road to Chaos","☆ถนนแห่งความยุ่งเหยิง","A road linking this world to that of Chaos.","La route relie à monde Chaotique","혼돈 세계로 이어지는 길","连接混沌世界的道路","通往混沌世界的道路","Jalan yang terhubung ke dunia Chaos.","ถนนที่นำไปสู่โลกแห่งความยุ่งเหยิง"
52,"★混沌の道",0,121,0,4,"混沌世界へと繋がる道","★Road to Chaos","Route au Chaos","★혼돈의 길","★混沌之路","★混沌之路","★Road to Chaos","★ถนนแห่งความยุ่งเหยิง","A road linking this world to that of Chaos.","La route relie à monde Chaotique","혼돈 세계로 이어지는 길","连接混沌世界的道路","通往混沌世界的道路","Jalan yang terhubung ke dunia Chaos.","ถนนที่นำไปสู่โลกแห่งความยุ่งเหยิง"
53,"集結の地",0,0,0,1,"かつてレジメントが集結した地","Staging Ground","Rassemblant Terre","집결지","聚集地","集結之地","Gathering Land","พื้นที่ชุมนุม","A place where the Regiment gathered long ago.","La place où les Régiments ont rassemblé il y a longtemps","과거에 레지멘트가 모였던 장소","过去联队的聚集地","過去連隊集結的地方","Tempat berkumpulnya anggota Regiment di masa lalu.","พื้นที่ที่เคยเป็นจุดรวมพลของกองทัพ"
54,"集結の地",0,50004,0,1,"かつてレジメントが集結した地","Staging Ground","Rassemblant Terre","집결지","聚集地","集結之地","Gathering Land","พื้นที่ชุมนุม","A place where the Regiment gathered long ago.","La place où les Régiments ont rassemblé il y a longtemps","과거에 레지멘트가 모였던 장소","过去联队的聚集地","過去連隊集結的地方","Tempat berkumpulnya anggota Regiment di masa lalu.","พื้นที่ที่เคยเป็นจุดรวมพลของกองทัพ"
55,"☆集結の地",0,20004,0,1,"かつてレジメントが集結した地","☆Staging Ground","☆Rassemblant Terre","☆집결지","☆聚集地","☆集結之地","☆Gathering Land","☆พื้นที่ชุมนุม","A place where the Regiment gathered long ago.","La place où les Régiments ont rassemblé il y a longtemps","과거에 레지멘트가 모였던 장소","过去联队的聚集地","過去連隊集結的地方","Tempat berkumpulnya anggota Regiment di masa lalu.","พื้นที่ที่เคยเป็นจุดรวมพลของกองทัพ"
56,"★集結の地",0,131,0,1,"かつてレジメントが集結した地","★Staging Ground","★Rassemblant Terre","★집결지","★聚集地","★集結之地","★Gathering Land","★พื้นที่ชุมนุม","A place where the Regiment gathered long ago.","La place où les Régiments ont rassemblé il y a longtemps","과거에 레지멘트가 모였던 장소","过去联队的聚集地","過去連隊集結的地方","Tempat berkumpulnya anggota Regiment di masa lalu.","พื้นที่ที่เคยเป็นจุดรวมพลของกองทัพ"
57,"深遠の実験場",0,0,0,1,"人体実験が行われていたという無人の実験場","Unfathomable Test Site","Poste de l'expérience dans profond en bas","심원의 실험장","深远的试验场","深遠的實驗場","Underground Lab","ห้องทดลองใต้ดิน","A place where human experimentation is said to have taken place.","Poste de l'expérience où l'expérimentation humaine a pu avoir lieu.","인체실험이 행해졌던 사람이 살지 않는 실험장","曾经做过人体试验的无人试验场","傳說中進行過人體實驗的無人實驗場","Laboratorium tempat eksperimen manusia dilakukan.","ห้องทดลองที่ว่ากันว่าเคยทำการทดลองกับมนุษย์"
58,"深遠の実験場",0,50004,0,1,"人体実験が行われていたという無人の実験場","Unfathomable Test Site","Poste de l'expérience dans profond en bas","심원의 실험장","深远的试验场","深遠的實驗場","Underground Lab","ห้องทดลองใต้ดิน","A place where human experimentation is said to have taken place.","Poste de l'expérience où l'expérimentation humaine a pu avoir lieu.","인체실험이 행해졌던 사람이 살지 않는 실험장","曾经做过人体试验的无人试验场","傳說中進行過人體實驗的無人實驗場","Laboratorium tempat eksperimen manusia dilakukan.","ห้องทดลองที่ว่ากันว่าเคยทำการทดลองกับมนุษย์"
59,"☆深遠の実験場",0,20042,0,1,"人体実験が行われていたという無人の実験場","☆Unfathomable Test Site","☆Poste de l'expérience dans profond en bas","☆심원의 실험장","☆深远的试验场","☆深遠的實驗場","☆Underground Lab","☆ห้องทดลองใต้ดิน","A place where human experimentation is said to have taken place.","Poste de l'expérience où l'expérimentation humaine a pu avoir lieu.","인체실험이 행해졌던 사람이 살지 않는 실험장","曾经做过人体试验的无人试验场","傳說中進行過人體實驗的無人實驗場","Laboratorium tempat eksperimen manusia dilakukan.","ห้องทดลองที่ว่ากันว่าเคยทำการทดลองกับมนุษย์"
60,"★深遠の実験場",0,141,0,1,"人体実験が行われていたという無人の実験場","★Unfathomable Test Site","★Poste de l'expérience dans profond en bas","★심원의 실험장","★深远的试验场","★深遠的實驗場","★Underground Lab","★ห้องทดลองใต้ดิน","A place where human experimentation is said to have taken place.","Poste de l'expérience où l'expérimentation humaine a pu avoir lieu.","인체실험이 행해졌던 사람이 살지 않는 실험장","曾经做过人体试验的无人试验场","傳說中進行過人體實驗的無人實驗場","Laboratorium tempat eksperimen manusia dilakukan.","ห้องทดลองที่ว่ากันว่าเคยทำการทดลองกับมนุษย์"
61,"血濡れの街",0,0,0,4,"数々の呪いを内包する魔都","Blood Soaked Town","Ville obscure","피로 물든 거리","染血街道","淌血的街道","Murky Town","เมืองโลหิต","A wicked town which contains many dark magicks.","La ville mauvaise contient beaucoup de malédictions","수많은 저주를 가진 악령의 도시","到处充满诅咒的魔都","包含著大量詛咒的魔都","Kota iblis berisi banyak kutukan.","เมืองปิศาจที่แฝงคำสาปจำนวนมากเอาไว้"
62,"血濡れの街",0,50004,0,4,"数々の呪いを内包する魔都","Blood Soaked Town","Ville obscure","피로 물든 거리","染血街道","淌血的街道","Murky Town","เมืองโลหิต","A wicked town which contains many dark magicks.","La ville mauvaise contient beaucoup de malédictions","수많은 저주를 가진 악령의 도시","到处充满诅咒的魔都","包含著大量詛咒的魔都","Kota iblis berisi banyak kutukan.","เมืองปิศาจที่แฝงคำสาปจำนวนมากเอาไว้"
63,"☆血濡れの街",0,20040,0,4,"数々の呪いを内包する魔都","☆Blood Soaked Town","☆Ville obscure","☆피로 물든 거리","☆染血街道","☆淌血的街道","☆Murky Town","☆เมืองโลหิต","A wicked town which contains many dark magicks.","La ville mauvaise contient beaucoup de malédictions","수많은 저주를 가진 악령의 도시","到处充满诅咒的魔都","包含著大量詛咒的魔都","Kota iblis berisi banyak kutukan.","เมืองปิศาจที่แฝงคำสาปจำนวนมากเอาไว้"
