"id","prf_type","name","caption","rarity","level","ttl","core_monster_id","quest_map_id","group_id","treasure_level","stage","finder_start_point","member_limit"
37,1,"W.M.王后","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：無",1,1,24,40040,8,9999,3064,4,0,9999
38,1,"W.M.王后","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：無",1,1,24,40040,10,9999,3065,4,0,9999
39,1,"可可果的大精靈","古老巨人頭像。朋友以外的參戰人數上限：無",1,1,24,40128,10,9999,39,4,0,9999
40,1,"大龍鯉","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：無",1,1,3,40132,10,9999,40,4,0,9999
41,1,"大龍鯉","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：無",1,1,3,40132,10,9999,41,4,0,9999
42,1,"大龍鯉","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：無",1,1,3,40132,10,9999,42,4,0,9999
43,1,"大龍鯉","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：無",1,1,3,40132,10,9999,43,4,0,9999
44,1,"大龍鯉","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：無",1,1,3,40132,10,9999,44,4,0,9999
45,2,"翔星蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：無",1,1,3,40136,11,9999,45,5,0,9999
46,2,"翔星蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：無",1,1,3,40136,11,9999,46,5,0,9999
47,2,"翔星蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：無",1,1,3,40136,11,9999,47,5,0,9999
48,2,"翔星蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：無",1,1,3,40136,11,9999,48,5,0,9999
49,2,"翔星蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：無",1,1,3,40136,11,9999,49,5,0,9999
1000,1,"赤色咆哮1","吞食死亡的多眼巨獸",1,1,6,40021,5,100,1000,2,9000,9999
1001,1,"黑色咆哮1","吞食死亡的多眼巨獸",1,1,6,40022,5,100,1001,2,9000,9999
1002,1,"孤獨的女王1","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,6,100,1002,2,1500,9999
1003,1,"孤獨的女王2","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,6,100,1003,2,1500,9999
1004,1,"孤獨的女王3","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,6,100,1004,2,1500,9999
1005,1,"赤色咆哮","吞食死亡的多眼巨獸",1,1,6,40021,5,100,1005,2,9000,9999
1006,1,"黑色咆哮","吞食死亡的多眼巨獸",1,1,6,40022,5,100,1006,2,9000,9999
1007,1,"藍色咆哮","吞食死亡的多眼巨獸",1,1,6,40023,5,100,1007,2,9000,9999
1008,1,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,6,100,1008,2,1500,9999
1009,1,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,6,100,1009,2,1500,9999
1010,1,"赤色咆哮","吞食死亡的多眼巨獸",1,1,3,40024,5,100,1010,2,1500,9999
1011,1,"黑色咆哮","吞食死亡的多眼巨獸",1,1,3,40025,5,100,1011,2,1500,9999
1012,1,"赤色咆哮","吞食死亡的多眼巨獸",1,1,3,40024,5,100,1012,2,1500,9999
1013,1,"黑色咆哮","吞食死亡的多眼巨獸",1,1,3,40025,5,100,1013,2,1500,9999
1014,1,"赤色咆哮","吞食死亡的多眼巨獸",1,1,3,40024,5,100,1014,2,1500,9999
1015,1,"黑色咆哮","吞食死亡的多眼巨獸",1,1,3,40025,5,100,1015,2,1500,9999
1016,2,"赤色咆哮","吞食死亡的多眼巨獸",1,1,6,40021,5,100,1016,2,9000,9999
1017,2,"黑色咆哮","吞食死亡的多眼巨獸",1,1,6,40022,6,100,1017,2,9000,9999
1018,2,"藍色咆哮","吞食死亡的多眼巨獸",1,1,6,40023,7,100,1018,2,9000,9999
1019,2,"赤色咆哮","吞食死亡的多眼巨獸",1,1,6,40021,8,100,1019,2,9000,9999
1020,2,"黑色咆哮","吞食死亡的多眼巨獸",1,1,6,40022,9,100,1020,2,9000,9999
1021,2,"赤色咆哮","吞食死亡的多眼巨獸",1,1,3,40024,10,100,1021,2,1500,9999
1022,2,"黑色咆哮","吞食死亡的多眼巨獸",1,1,3,40025,11,100,1022,2,1500,9999
1023,2,"藍色咆哮","吞食死亡的多眼巨獸",1,1,3,40026,5,100,1023,2,1500,9999
1024,2,"赤色咆哮","吞食死亡的多眼巨獸",1,1,3,40024,6,100,1024,2,1500,9999
1025,2,"黑色咆哮","吞食死亡的多眼巨獸",1,1,3,40025,7,100,1025,2,1500,9999
1026,2,"藍色咆哮","吞食死亡的多眼巨獸",1,1,3,40026,8,100,1026,2,1500,9999
1027,2,"赤色咆哮","吞食死亡的多眼巨獸",1,1,3,40024,9,100,1027,2,1500,9999
1028,2,"黑色咆哮","吞食死亡的多眼巨獸",1,1,3,40025,10,100,1028,2,1500,9999
1029,2,"藍色咆哮","吞食死亡的多眼巨獸",1,1,3,40026,11,100,1029,2,1500,9999
1030,2,"赤色咆哮","吞食死亡的多眼巨獸",1,1,3,40024,5,100,1030,2,1500,9999
1031,2,"孤獨的女王1","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,7,100,1031,2,1500,9999
1032,2,"孤獨的女王2","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,8,100,1032,2,1500,9999
1033,2,"孤獨的女王3","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,9,100,1033,2,1500,9999
1034,2,"孤獨的女王1","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,10,100,1034,2,1500,9999
1035,2,"孤獨的女王2","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,11,100,1035,2,1500,9999
1036,1,"啃食者","啃食世界的大妖蛆。",1,1,3,40029,1,101,1036,6,1500,9999
1037,1,"啃食者","啃食世界的大妖蛆。",1,1,3,40029,2,101,1037,6,1500,9999
1038,1,"啃食者","啃食世界的大妖蛆。",1,1,3,40029,3,101,1038,6,1500,9999
1039,1,"啃食者","啃食世界的大妖蛆。",1,1,3,40029,4,101,1039,6,1500,9999
1040,1,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,6,101,1040,2,1500,9999
1041,1,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,6,101,1041,2,1500,9999
1042,1,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,6,101,1042,2,1500,9999
1043,1,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,6,101,1043,2,1500,9999
1044,2,"啃食者","啃食世界的大妖蛆。",1,1,3,40029,10,100,1044,2,1500,9999
1045,2,"啃食者","啃食世界的大妖蛆。",1,1,3,40029,11,100,1045,2,1500,9999
1046,2,"啃食者","啃食世界的大妖蛆。",1,1,3,40029,5,100,1046,2,1500,9999
1047,2,"啃食者","啃食世界的大妖蛆。",1,1,3,40029,6,100,1047,2,1500,9999
1048,2,"啃食者","啃食世界的大妖蛆。",1,1,3,40029,7,100,1048,2,1500,9999
1049,1,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。可以取得白珍珠",1,1,3,40033,0,102,1049,2,1350,9999
1050,1,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。可以取得黑珍珠",1,1,3,40033,0,102,1050,2,1350,9999
1051,2,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。",1,1,3,40033,10,100,1051,2,1500,9999
1052,2,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。",1,1,3,40033,11,100,1052,2,1500,9999
1053,2,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。",1,1,3,40033,5,100,1053,2,1500,9999
1054,2,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。",1,1,3,40033,6,100,1054,2,1500,9999
1055,2,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。",1,1,3,40033,7,100,1055,2,1500,9999
1056,1,"南瓜帝王","不合常理的巨大南瓜妖怪",1,1,6,40035,10,103,1056,5,3000,9999
1057,1,"南瓜帝王","不合常理的巨大南瓜妖怪",1,1,6,40035,9,103,1057,6,3000,9999
1058,1,"南瓜帝王","不合常理的巨大南瓜妖怪",1,1,6,40035,8,103,1058,7,3000,9999
1059,1,"南瓜帝王","不合常理的巨大南瓜妖怪",1,1,6,40035,7,103,1059,8,3000,9999
1060,1,"南瓜帝王","不合常理的巨大南瓜妖怪",1,1,6,40035,6,103,1060,9,3000,9999
1061,1,"贔屭","背負著雪山的巨大烏龜",1,1,6,40038,1,101,1061,2,3000,9999
1062,1,"贔屭","背負著雪山的巨大烏龜",1,1,6,40038,2,101,1062,2,3000,9999
1063,1,"贔屭","背負著雪山的巨大烏龜",1,1,6,40038,3,101,1063,2,3000,9999
1064,1,"贔屭","背負著雪山的巨大烏龜",1,1,6,40038,4,101,1064,2,3000,9999
1065,1,"贔屭","背負著雪山的巨大烏龜",1,1,6,40038,5,101,1065,2,3000,9999
1066,2,"贔屭","背負著雪山的巨大烏龜",1,1,6,40038,1,100,1066,2,3000,9999
1067,2,"贔屭","背負著雪山的巨大烏龜",1,1,6,40038,2,100,1067,2,3000,9999
1068,2,"贔屭","背負著雪山的巨大烏龜",1,1,6,40038,3,100,1068,2,3000,9999
1069,2,"贔屭","背負著雪山的巨大烏龜",1,1,6,40038,4,100,1069,2,3000,9999
1070,2,"贔屭","背負著雪山的巨大烏龜",1,1,6,40038,5,100,1070,2,3000,9999
1071,1,"W.M.貴族","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：10人",1,1,6,40042,1,104,1071,2,2250,10
1072,1,"W.M.貴族","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：10人",1,1,6,40042,2,104,1072,2,2250,10
1073,1,"W.M.貴族","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：10人",1,1,6,40042,3,104,1073,2,2250,10
1074,1,"W.M.貴族","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：10人",1,1,6,40042,4,104,1074,2,2250,10
1075,1,"W.M.貴族","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：10人",1,1,6,40042,5,104,1075,2,2250,10
1076,2,"赤死獸","吞食死亡的多眼巨獸。朋友以外的參戰人數上限：10人",1,1,3,40110,1,105,1076,1,1650,10
1077,2,"赤死獸","吞食死亡的多眼巨獸。朋友以外的參戰人數上限：10人",1,1,3,40110,2,105,1077,2,1650,10
1078,2,"赤死獸","吞食死亡的多眼巨獸。朋友以外的參戰人數上限：10人",1,1,3,40110,3,105,1078,3,1650,10
1079,2,"赤死獸","吞食死亡的多眼巨獸。朋友以外的參戰人數上限：10人",1,1,3,40110,4,105,1079,4,1650,10
1080,2,"赤死獸","吞食死亡的多眼巨獸。朋友以外的參戰人數上限：10人",1,1,3,40110,5,105,1080,5,1650,10
1081,2,"啃食者","啃食世界的大妖蛆。朋友以外的參戰人數上限：10人",1,1,3,40115,6,105,1081,1,1650,10
1082,2,"啃食者","啃食世界的大妖蛆。朋友以外的參戰人數上限：10人",1,1,3,40115,7,105,1082,2,1650,10
1083,2,"啃食者","啃食世界的大妖蛆。朋友以外的參戰人數上限：10人",1,1,3,40115,8,105,1083,3,1650,10
1084,2,"啃食者","啃食世界的大妖蛆。朋友以外的參戰人數上限：10人",1,1,3,40115,9,105,1084,4,1650,10
1085,2,"啃食者","啃食世界的大妖蛆。朋友以外的參戰人數上限：10人",1,1,3,40115,10,105,1085,5,1650,10
1086,2,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。朋友以外的參戰人數上限：10人",1,1,3,40118,11,105,1086,1,1500,10
1087,2,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。朋友以外的參戰人數上限：10人",1,1,3,40118,1,105,1087,2,1500,10
1088,2,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。朋友以外的參戰人數上限：10人",1,1,3,40118,2,105,1088,3,1500,10
1089,2,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。朋友以外的參戰人數上限：10人",1,1,3,40118,3,105,1089,4,1500,10
1090,2,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。朋友以外的參戰人數上限：10人",1,1,3,40118,4,105,1090,5,1500,10
1091,2,"贔屭","背負著雪山的巨大烏龜。朋友以外的參戰人數上限：10人",1,1,3,40121,5,105,1091,1,3600,10
1092,2,"贔屭","背負著雪山的巨大烏龜。朋友以外的參戰人數上限：10人",1,1,3,40121,6,105,1092,2,3600,10
1093,2,"贔屭","背負著雪山的巨大烏龜。朋友以外的參戰人數上限：10人",1,1,3,40121,7,105,1093,3,3600,10
1094,2,"贔屭","背負著雪山的巨大烏龜。朋友以外的參戰人數上限：10人",1,1,3,40121,8,105,1094,4,3600,10
1095,2,"贔屭","背負著雪山的巨大烏龜。朋友以外的參戰人數上限：10人",1,1,3,40121,9,105,1095,5,3600,10
1096,2,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,7,105,1096,2,1500,10
1097,2,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,8,105,1097,2,1500,10
1098,2,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,9,105,1098,2,1500,10
1099,2,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,10,105,1099,2,1500,10
1100,2,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",1,1,3,40018,11,105,1100,2,1500,10
1101,1,"惡魔之角","守護帝國浮遊戰艦的防禦兵器。朋友以外的參戰人數上限：10人",1,1,3,40124,1,106,1101,1,2400,10
1102,1,"惡魔之角","守護帝國浮遊戰艦的防禦兵器。朋友以外的參戰人數上限：10人",1,1,3,40124,2,106,1102,2,2400,10
1103,1,"惡魔之角","守護帝國浮遊戰艦的防禦兵器。朋友以外的參戰人數上限：10人",1,1,3,40124,3,106,1103,3,2400,10
1104,1,"惡魔之角","守護帝國浮遊戰艦的防禦兵器。朋友以外的參戰人數上限：10人",1,1,3,40124,4,106,1104,4,2400,10
1105,1,"惡魔之角","守護帝國浮遊戰艦的防禦兵器。朋友以外的參戰人數上限：10人",1,1,3,40124,5,106,1105,5,2400,10
1106,1,"惡魔之角","守護帝國浮遊戰艦的防禦兵器。朋友以外的參戰人數上限：10人",6,1,3,40124,6,106,1106,1,2400,10
1107,1,"惡魔之角","守護帝國浮遊戰艦的防禦兵器。朋友以外的參戰人數上限：10人",6,1,3,40124,7,106,1107,2,2400,10
1108,1,"惡魔之角","守護帝國浮遊戰艦的防禦兵器。朋友以外的參戰人數上限：10人",6,1,3,40124,8,106,1108,3,2400,10
1109,1,"惡魔之角","守護帝國浮遊戰艦的防禦兵器。朋友以外的參戰人數上限：10人",6,1,3,40124,9,106,1109,4,2400,10
1110,1,"惡魔之角","守護帝國浮遊戰艦的防禦兵器。朋友以外的參戰人數上限：10人",6,1,3,40124,10,106,1110,5,2400,10
1111,1,"可可果的惡靈","古老巨人頭像。朋友以外的參戰人數上限：10人",1,1,3,40125,1,106,1111,1,1500,10
1112,1,"可可果的惡靈","古老巨人頭像。朋友以外的參戰人數上限：10人",1,1,3,40125,2,106,1112,2,1500,10
1113,1,"可可果的惡靈","古老巨人頭像。朋友以外的參戰人數上限：10人",1,1,3,40125,3,106,1113,3,1500,10
1114,1,"可可果的惡靈","古老巨人頭像。朋友以外的參戰人數上限：10人",1,1,3,40125,4,106,1114,4,1500,10
1115,1,"可可果的惡靈","古老巨人頭像。朋友以外的參戰人數上限：10人",1,1,3,40125,5,106,1115,5,1500,10
1116,1,"可可果的惡靈","古老巨人頭像。朋友以外的參戰人數上限：10人",3,1,3,40125,6,106,1116,1,1500,10
1117,1,"可可果的惡靈","古老巨人頭像。朋友以外的參戰人數上限：10人",3,1,3,40125,7,106,1117,2,1500,10
1118,1,"可可果的惡靈","古老巨人頭像。朋友以外的參戰人數上限：10人",3,1,3,40125,8,106,1118,3,1500,10
1119,1,"可可果的惡靈","古老巨人頭像。朋友以外的參戰人數上限：10人",3,1,3,40125,9,106,1119,4,1500,10
1120,1,"可可果的惡靈","古老巨人頭像。朋友以外的參戰人數上限：10人",3,1,3,40125,10,106,1120,5,1500,10
1121,1,"龍魚","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,1,106,1121,1,1500,10
1122,1,"龍魚","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,2,106,1122,2,1500,10
1123,1,"龍魚","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,3,106,1123,3,1500,10
1124,1,"龍魚","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,4,106,1124,4,1500,10
1125,1,"龍魚","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,5,106,1125,5,1500,10
1126,2,"龍魚","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,5,105,1126,1,1500,10
1127,2,"龍魚","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,6,105,1127,2,1500,10
1128,2,"龍魚","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,7,105,1128,3,1500,10
1129,2,"龍魚","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,8,105,1129,4,1500,10
1130,2,"龍魚","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,9,105,1130,5,1500,10
1131,1,"翔空蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：10人",1,1,3,40135,5,106,1131,1,2100,10
1132,1,"翔空蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：10人",1,1,3,40135,5,106,1132,2,2100,10
1133,1,"翔空蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：10人",1,1,3,40135,6,106,1133,3,2100,10
1134,1,"翔空蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：10人",1,1,3,40135,6,106,1134,4,2100,10
1135,1,"翔空蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：10人",1,1,3,40135,6,106,1135,5,2100,10
1136,1,"翔空蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：10人",1,1,3,40135,7,105,1136,1,2100,10
1137,1,"翔空蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：10人",1,1,3,40135,8,105,1137,2,2100,10
1138,1,"翔空蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：10人",1,1,3,40135,9,105,1138,3,2100,10
1139,1,"翔空蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：10人",1,1,3,40135,10,105,1139,4,2100,10
1140,1,"翔空蟲","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：10人",1,1,3,40135,11,105,1140,5,2100,10
1141,1,"啃食者的鐘聲","啃食世界的大妖蛆。好友以外的討伐人數上限：10人",1,1,3,40115,6,106,1141,1,2750,10
1142,1,"啃食者的鐘聲","啃食世界的大妖蛆。好友以外的討伐人數上限：10人",1,1,3,40115,7,106,1142,2,2750,10
1143,1,"啃食者的鐘聲","啃食世界的大妖蛆。好友以外的討伐人數上限：10人",1,1,3,40115,8,106,1143,3,2750,10
1144,1,"啃食者的鐘聲","啃食世界的大妖蛆。好友以外的討伐人數上限：10人",1,1,3,40115,9,106,1144,4,2750,10
1145,1,"啃食者的鐘聲","啃食世界的大妖蛆。好友以外的討伐人數上限：10人",1,1,3,40115,10,106,1145,5,2750,10
1146,1,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。朋友以外的參戰人數上限：10人",1,1,3,40118,11,106,1141,1,2500,10
1147,1,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。朋友以外的參戰人數上限：10人",1,1,3,40118,1,106,1142,2,2500,10
1148,1,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。朋友以外的參戰人數上限：10人",1,1,3,40118,2,106,1143,3,2500,10
1149,1,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。朋友以外的參戰人數上限：10人",1,1,3,40118,3,106,1144,4,2500,10
1150,1,"深沉之者","統帥海魔之者。與遮蔽月光的深霧一起侵蝕著魔都。朋友以外的參戰人數上限：10人",1,1,3,40118,4,106,1145,5,2500,10
1151,1,"龍魚的鐘聲","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,1,106,1141,1,2750,10
1152,1,"龍魚的鐘聲","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,2,106,1142,2,2750,10
1153,1,"龍魚的鐘聲","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,3,106,1143,3,2750,10
1154,1,"龍魚的鐘聲","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,4,106,1144,4,2750,10
1155,1,"龍魚的鐘聲","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：10人",1,1,3,40131,5,106,1145,5,2750,10
2000,1,"赤色咆哮2","吞食死亡的多眼巨獸",1,1,12,40013,5,200,2000,2,15000,9999
2001,1,"赤色咆哮3","吞食死亡的多眼巨獸",1,1,12,40013,6,200,2001,2,15000,9999
2002,1,"黑色咆哮2","吞食死亡的多眼巨獸",1,1,12,40014,7,200,2002,2,15000,9999
2003,1,"黑色咆哮3","吞食死亡的多眼巨獸",1,1,12,40014,8,200,2003,2,15000,9999
2004,1,"赤色咆哮","吞食死亡的多眼巨獸",1,1,6,40013,9,200,2004,2,15000,9999
2005,1,"黑色咆哮","吞食死亡的多眼巨獸",1,1,6,40014,10,200,2005,2,15000,9999
2006,1,"藍色咆哮","吞食死亡的多眼巨獸",1,1,6,40015,11,200,2006,2,15000,9999
2007,1,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",2,1,3,40018,5,200,2007,2,3000,9999
2008,1,"孤獨的女王","傳言已經滅亡的吸血鬼末裔",2,1,3,40018,6,200,2008,2,3000,9999
2009,2,"魔性的鱗粉","擁有蝴蝶般羽翼的美麗妖精",6,1,"0.5",40017,7,200,2009,3,1000,9999
2010,2,"魔性的鱗粉","擁有蝴蝶般羽翼的美麗妖精",6,1,"0.5",40017,8,200,2010,3,1000,9999
2011,2,"魔性的鱗粉","擁有蝴蝶般羽翼的美麗妖精",6,1,"0.5",40017,9,200,2011,3,1000,9999
2012,2,"魔性的鱗粉","擁有蝴蝶般羽翼的美麗妖精",6,1,"0.5",40017,10,200,2012,3,1000,9999
2013,2,"魔性的鱗粉","擁有蝴蝶般羽翼的美麗妖精",6,1,"0.5",40017,11,200,2013,3,1000,9999
2014,2,"赤色咆哮","吞食死亡的多眼巨獸",1,1,12,40013,5,200,2014,2,15000,9999
2015,2,"黑色咆哮","吞食死亡的多眼巨獸",1,1,12,40014,6,200,2015,2,15000,9999
2016,2,"藍色咆哮","吞食死亡的多眼巨獸",1,1,12,40015,7,200,2016,2,15000,9999
2017,2,"赤色咆哮","吞食死亡的多眼巨獸",1,1,12,40013,8,200,2017,2,15000,9999
2018,2,"黑色咆哮","吞食死亡的多眼巨獸",1,1,12,40014,9,200,2018,2,15000,9999
2019,2,"藍色咆哮","吞食死亡的多眼巨獸",1,1,12,40015,10,200,2019,2,15000,9999
2020,2,"赤色咆哮","吞食死亡的多眼巨獸",1,1,12,40013,11,200,2020,2,15000,9999
