"id","prf_type","name","caption","rarity","level","ttl","core_monster_id","quest_map_id","group_id","treasure_level","stage","finder_start_point","member_limit","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
41,1,"大龍鯉","人の肉を喰らって成長するといわれる邪悪な龍の幼体。フレンドを除く参戦上限人数：無し",1,1,3,40132,10,9999,41,4,0,9999,,,,"大龙鲤","大龍鯉",,,,,,"据说是吃人肉成长的邪恶龙之幼子。朋友以外的参战人数上限：无","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：無",,
42,1,"大龍鯉","人の肉を喰らって成長するといわれる邪悪な龍の幼体。フレンドを除く参戦上限人数：無し",1,1,3,40132,10,9999,42,4,0,9999,,,,"大龙鲤","大龍鯉",,,,,,"据说是吃人肉成长的邪恶龙之幼子。朋友以外的参战人数上限：无","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：無",,
43,1,"大龍鯉","人の肉を喰らって成長するといわれる邪悪な龍の幼体。フレンドを除く参戦上限人数：無し",1,1,3,40132,10,9999,43,4,0,9999,,,,"大龙鲤","大龍鯉",,,,,,"据说是吃人肉成长的邪恶龙之幼子。朋友以外的参战人数上限：无","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：無",,
44,1,"大龍鯉","人の肉を喰らって成長するといわれる邪悪な龍の幼体。フレンドを除く参戦上限人数：無し",1,1,3,40132,10,9999,44,4,0,9999,,,,"大龙鲤","大龍鯉",,,,,,"据说是吃人肉成长的邪恶龙之幼子。朋友以外的参战人数上限：无","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：無",,
45,2,"星駆けるもの ","磁気を操ることで空を飛び回る巨大な昆虫型の魔物。フレンドを除く参戦上限人数：無し",1,1,3,40136,11,9999,45,5,0,9999,,,,"翔星虫","翔星蟲",,,,,,"藉由操控磁气在空中盘旋，巨大的昆虫型魔物。凭借这个能力扰乱天空。好友以外的讨伐人数上限：无","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：無",,
46,2,"星駆けるもの ","磁気を操ることで空を飛び回る巨大な昆虫型の魔物。フレンドを除く参戦上限人数：無し",1,1,3,40136,11,9999,46,5,0,9999,,,,"翔星虫","翔星蟲",,,,,,"藉由操控磁气在空中盘旋，巨大的昆虫型魔物。凭借这个能力扰乱天空。好友以外的讨伐人数上限：无","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：無",,
47,2,"星駆けるもの ","磁気を操ることで空を飛び回る巨大な昆虫型の魔物。フレンドを除く参戦上限人数：無し",1,1,3,40136,11,9999,47,5,0,9999,,,,"翔星虫","翔星蟲",,,,,,"藉由操控磁气在空中盘旋，巨大的昆虫型魔物。凭借这个能力扰乱天空。好友以外的讨伐人数上限：无","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：無",,
48,2,"星駆けるもの ","磁気を操ることで空を飛び回る巨大な昆虫型の魔物。フレンドを除く参戦上限人数：無し",1,1,3,40136,11,9999,48,5,0,9999,,,,"翔星虫","翔星蟲",,,,,,"藉由操控磁气在空中盘旋，巨大的昆虫型魔物。凭借这个能力扰乱天空。好友以外的讨伐人数上限：无","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：無",,
49,2,"星駆けるもの ","磁気を操ることで空を飛び回る巨大な昆虫型の魔物。フレンドを除く参戦上限人数：無し",1,1,3,40136,11,9999,49,5,0,9999,,,,"翔星虫","翔星蟲",,,,,,"藉由操控磁气在空中盘旋，巨大的昆虫型魔物。凭借这个能力扰乱天空。好友以外的讨伐人数上限：无","藉由操控磁氣在空中盤旋，巨大的昆蟲型魔物。憑藉這個能力擾亂天空。好友以外的討伐人數上限：無",,
1000,1,"赤き咆哮1","死を喰らう多眼の巨獣",1,1,6,40021,5,100,1000,2,9000,9999,"The Red Death's Roar 1","Hurlement Rouge 1",,"赤色咆哮1","赤色咆哮1",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1001,1,"黒き咆哮1","死を喰らう多眼の巨獣",1,1,6,40022,5,100,1001,2,9000,9999,"The Black Death's Roar 1","Hurlement Noir 1",,"黑色咆哮1","黑色咆哮1",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞食死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1002,1,"孤独な女王1","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,6,100,1002,2,1500,9999,"The Solitary Queen 1","Reine Isolée 1",,"孤独的女王1","孤獨的女王1",,,"A vampire descendant who was said to have become extinct legendarily.","Survivant des vampires que l'on disait disparus.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1003,1,"孤独な女王2","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,6,100,1003,2,1500,9999,"The Solitary Queen 2","Reine Isolée 2",,"孤独的女王2","孤獨的女王2",,,"A vampire descendant who was said to have become extinct legendarily.","Survivant des vampires que l'on disait disparus.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1004,1,"孤独な女王3","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,6,100,1004,2,1500,9999,"The Solitary Queen 3","Reine Isolée 3",,"孤独的女王3","孤獨的女王3",,,"A vampire descendant who was said to have become extinct legendarily.","Survivant des vampires que l'on disait disparus.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1005,1,"赤き咆哮","死を喰らう多眼の巨獣",1,1,6,40021,5,100,1005,2,9000,9999,"The Red Death's Roar","Hurlement Rouge",,"赤色咆哮","赤色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1006,1,"黒き咆哮","死を喰らう多眼の巨獣",1,1,6,40022,5,100,1006,2,9000,9999,"The Black Death's Roar","Hurlement Noir ",,"黑色咆哮","黑色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞食死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1007,1,"青き咆哮","死を喰らう多眼の巨獣",1,1,6,40023,5,100,1007,2,9000,9999,"The Blue Death's Roar","Hurlement Bleu",,"蓝色咆哮","藍色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1008,1,"孤独な女王","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,6,100,1008,2,1500,9999,"The Solitary Queen","Reine Isolée",,"孤独的女王","孤獨的女王",,,"A vampire descendant who was said to have become extinct legendarily.","Survivant des vampires que l'on disait disparus.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1009,1,"孤独な女王","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,6,100,1009,2,1500,9999,"The Solitary Queen","Reine Isolée",,"孤独的女王","孤獨的女王",,,"A vampire descendant who was said to have become extinct legendarily.","Survivant des vampires que l'on disait disparus.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1010,1,"赤き咆哮","死を喰らう多眼の巨獣",1,1,3,40024,5,100,1010,2,1500,9999,"The Red Death's Roar","Hurlement Rouge",,"赤色咆哮","赤色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1011,1,"黒き咆哮","死を喰らう多眼の巨獣",1,1,3,40025,5,100,1011,2,1500,9999,"The Black Death's Roar","Hurlement Noir ",,"黑色咆哮","黑色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞食死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1012,1,"赤き咆哮","死を喰らう多眼の巨獣",1,1,3,40024,5,100,1012,2,1500,9999,"The Red Death's Roar","Hurlement Rouge",,"赤色咆哮","赤色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1013,1,"黒き咆哮","死を喰らう多眼の巨獣",1,1,3,40025,5,100,1013,2,1500,9999,"The Black Death's Roar","Hurlement Noir ",,"黑色咆哮","黑色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞食死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1014,1,"赤き咆哮","死を喰らう多眼の巨獣",1,1,3,40024,5,100,1014,2,1500,9999,"The Red Death's Roar","Hurlement Rouge",,"赤色咆哮","赤色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1015,1,"黒き咆哮","死を喰らう多眼の巨獣",1,1,3,40025,5,100,1015,2,1500,9999,"The Black Death's Roar","Hurlement Noir ",,"黑色咆哮","黑色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞食死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1016,2,"赤き咆哮","死を喰らう多眼の巨獣",1,1,6,40021,5,100,1016,2,9000,9999,"The Red Death's Roar","Hurlement Rouge",,"赤色咆哮","赤色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1017,2,"黒き咆哮","死を喰らう多眼の巨獣",1,1,6,40022,6,100,1017,2,9000,9999,"The Black Death's Roar","Hurlement Noir ",,"黑色咆哮","黑色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞食死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1018,2,"青き咆哮","死を喰らう多眼の巨獣",1,1,6,40023,7,100,1018,2,9000,9999,"The Blue Death's Roar","Hurlement Bleu",,"蓝色咆哮","藍色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1019,2,"赤き咆哮","死を喰らう多眼の巨獣",1,1,6,40021,8,100,1019,2,9000,9999,"The Red Death's Roar","Hurlement Rouge",,"赤色咆哮","赤色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1020,2,"黒き咆哮","死を喰らう多眼の巨獣",1,1,6,40022,9,100,1020,2,9000,9999,"The Black Death's Roar","Hurlement Noir ",,"黑色咆哮","黑色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞食死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1021,2,"赤き咆哮","死を喰らう多眼の巨獣",1,1,3,40024,10,100,1021,2,1500,9999,"The Red Death's Roar","Hurlement Rouge",,"赤色咆哮","赤色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1022,2,"黒き咆哮","死を喰らう多眼の巨獣",1,1,3,40025,11,100,1022,2,1500,9999,"The Black Death's Roar","Hurlement Noir ",,"黑色咆哮","黑色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞食死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1023,2,"青き咆哮","死を喰らう多眼の巨獣",1,1,3,40026,5,100,1023,2,1500,9999,"The Blue Death's Roar","Hurlement Rouge",,"蓝色咆哮","藍色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1024,2,"赤き咆哮","死を喰らう多眼の巨獣",1,1,3,40024,6,100,1024,2,1500,9999,"The Red Death's Roar","Hurlement Rouge",,"赤色咆哮","赤色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1025,2,"黒き咆哮","死を喰らう多眼の巨獣",1,1,3,40025,7,100,1025,2,1500,9999,"The Black Death's Roar","Hurlement Noir ",,"黑色咆哮","黑色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞食死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1026,2,"青き咆哮","死を喰らう多眼の巨獣",1,1,3,40026,8,100,1026,2,1500,9999,"The Blue Death's Roar","Hurlement Rouge",,"蓝色咆哮","藍色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1027,2,"赤き咆哮","死を喰らう多眼の巨獣",1,1,3,40024,9,100,1027,2,1500,9999,"The Red Death's Roar","Hurlement Rouge",,"赤色咆哮","赤色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1028,2,"黒き咆哮","死を喰らう多眼の巨獣",1,1,3,40025,10,100,1028,2,1500,9999,"The Black Death's Roar","Hurlement Noir ",,"黑色咆哮","黑色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞食死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1029,2,"青き咆哮","死を喰らう多眼の巨獣",1,1,3,40026,11,100,1029,2,1500,9999,"The Blue Death's Roar","Hurlement Rouge",,"蓝色咆哮","藍色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1030,2,"赤き咆哮","死を喰らう多眼の巨獣",1,1,3,40024,5,100,1030,2,1500,9999,"The Red Death's Roar","Hurlement Rouge",,"赤色咆哮","赤色咆哮",,,"A many-eyed beast devours death.","Énorme monstre qui dévore les esprits.",,"吞噬死亡的多眼巨兽","吞食死亡的多眼巨獸",,
1031,2,"孤独な女王","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,7,100,1031,2,1500,9999,"The Solitary Queen","Reine Isolée 1",,"孤独的女王","孤獨的女王1",,,"A vampire descendant who was said to have become extinct legendarily.","Survivant des vampires que l'on disait disparus.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1032,2,"孤独な女王","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,8,100,1032,2,1500,9999,"The Solitary Queen","Reine Isolée 2",,"孤独的女王","孤獨的女王2",,,"A vampire descendant who was said to have become extinct legendarily.","Survivant des vampires que l'on disait disparus.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1033,2,"孤独な女王","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,9,100,1033,2,1500,9999,"The Solitary Queen","Reine Isolée 3",,"孤独的女王","孤獨的女王3",,,"A vampire descendant who was said to have become extinct legendarily.","Survivant des vampires que l'on disait disparus.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1034,2,"孤独な女王","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,10,100,1034,2,1500,9999,"The Solitary Queen","Reine Isolée 1",,"孤独的女王","孤獨的女王1",,,"A vampire descendant who was said to have become extinct legendarily.","Survivant des vampires que l'on disait disparus.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1035,2,"孤独な女王","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,11,100,1035,2,1500,9999,"The Solitary Queen","Reine Isolée 2",,"孤独的女王","孤獨的女王2",,,"A vampire descendant who was said to have become extinct legendarily.","Survivant des vampires que l'on disait disparus.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1036,1,"喰らうもの","世界を喰らう大妖蛆。",1,1,3,40029,1,101,1036,6,1500,9999,"The Chewer","Celui qui dévore",,"啃食者","啃食者",,,"A giant maggot which eats the world.","Ver Géant qui dévore le Monde.",,"吞噬世界的大妖蛆","啃食世界的大妖蛆。",,
1037,1,"喰らうもの","世界を喰らう大妖蛆。",1,1,3,40029,2,101,1037,6,1500,9999,"The Chewer","Celui qui dévore",,"啃食者","啃食者",,,"A giant maggot which eats the world.","Ver Géant qui dévore le Monde.",,"吞噬世界的大妖蛆","啃食世界的大妖蛆。",,
1038,1,"喰らうもの","世界を喰らう大妖蛆。",1,1,3,40029,3,101,1038,6,1500,9999,"The Chewer","Celui qui dévore",,"啃食者","啃食者",,,"A giant maggot which eats the world.","Ver Géant qui dévore le Monde.",,"吞噬世界的大妖蛆","啃食世界的大妖蛆。",,
1039,1,"喰らうもの","世界を喰らう大妖蛆。",1,1,3,40029,4,101,1039,6,1500,9999,"The Chewer","Celui qui dévore",,"啃食者","啃食者",,,"A giant maggot which eats the world.","Ver Géant qui dévore le Monde.",,"吞噬世界的大妖蛆","啃食世界的大妖蛆。",,
1040,1,"孤独な女王","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,6,101,1040,2,1500,9999,"The Solitary Queen","Reine Isolée",,"孤独的女王","孤獨的女王",,,"A vampire descendant who was said to have become extinct legendarily.","La survie des vampires qui ont été dites pour être éteint.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1041,1,"孤独な女王","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,6,101,1041,2,1500,9999,"The Solitary Queen","Reine Isolée",,"孤独的女王","孤獨的女王",,,"A vampire descendant who was said to have become extinct legendarily.","La survie des vampires qui ont été dites pour être éteint.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1042,1,"孤独な女王","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,6,101,1042,2,1500,9999,"The Solitary Queen","Reine Isolée",,"孤独的女王","孤獨的女王",,,"A vampire descendant who was said to have become extinct legendarily.","La survie des vampires qui ont été dites pour être éteint.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1043,1,"孤独な女王","絶滅したといわれた吸血鬼の生き残り。",1,1,3,40018,6,101,1043,2,1500,9999,"The Solitary Queen","Reine Isolée",,"孤独的女王","孤獨的女王",,,"A vampire descendant who was said to have become extinct legendarily.","La survie des vampires qui ont été dites pour être éteint.",,"传言已经灭亡的吸血鬼末裔","傳言已經滅亡的吸血鬼末裔",,
1044,2,"喰らうもの","世界を喰らう大妖蛆。",1,1,3,40029,10,100,1044,2,1500,9999,"The Chewer","Celui qui dévore",,"啃食者","啃食者",,,"A giant maggot which eats the world.","Ver Géant qui dévore le Monde.",,"吞噬世界的大妖蛆","啃食世界的大妖蛆。",,
1045,2,"喰らうもの","世界を喰らう大妖蛆。",1,1,3,40029,11,100,1045,2,1500,9999,"The Chewer","Celui qui dévore",,"啃食者","啃食者",,,"A giant maggot which eats the world.","Ver Géant qui dévore le Monde.",,"吞噬世界的大妖蛆","啃食世界的大妖蛆。",,
