"id","name","caption","region","level","ap","difficulty","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
15,"ロマール人の砦","誇り高い民族は他者に支配されるのを拒み、最後には皆自決した。",2,36,4,40,"Romarlian Fort","Fort Romarlian","로마르인의 바위","罗玛尔人的要塞","羅瑪爾人的要塞","Romarlian Fort","ป้อมชาวโรมาร์ล","Romarlian, a race with high pride, choose to suicide in this fort at the end of their glory days.","Alors que leur Gloire commença à s'effriter, le fier peuple de Romarlian décida de mettre fin à ses jours en ce Fort.","자긍심 높은 민족은 다른 민족에게 지배되는 것을 수치스럽게 생각하여 모두 자결을 했다고 한다.","高傲的民族因拒绝他人的支配，最后集体自裁了。","高傲的民族因拒絕他人的支配，最後集體自決了。","Romarlian, bangsa yang bermartabat tinggi, memilih untuk bunuh diri dalam benteng ini pada akhir masa kejayaannya.","เหล่าประชาชนผู้ภาคภูมิที่ไม่ยอมรับการเข้ายึดครองของศัตรู ได้จบชีวิตตัวเองในท้ายที่สุด"
16,"牧神の絶峰","牧神は羊を率いていた。ただしその羊の姿は人の想像を超えていた。",2,38,5,45,"The Headland of The Pan","Cap du Faune","목신의 절봉","牧神的绝峰","牧神的絕峰","Pan's Hill","สันเขาเทพเลี้ยงแกะ","Pan, god of sheep raising, had a sheep human would never imagined of.","Le Faune berger garde un mouton qu'aucun humain ne pourrait imaginer.","목신은 양을 끌고 나타났다. 하지만 그 양의 모습은 사람이 상상하는 이상의 모습이었다.","牧神率领着羊群。只是那些羊的姿态却远超过人类的想像。","牧神率領著羊群。只是那些羊的姿態卻遠超過人類的想像。","Pan, dewa penggembala domba, memiliki seekor domba yang tak terbayangkan oleh manusia.","สถานที่เทพเจ้าเลี้ยงแกะไว้ ทว่าแกะที่เลี้ยงนั้นมีรูปร่างพิสดารจนเกินจินตนาการของมนุษย์"
17,"瑪瑙採掘所","欲に駆られた人間が掘り出したモノは美しい石以外のものだった。",2,40,5,50,"Agate Mine","Mine d'Agate","마노 채굴소","玛瑙采掘场","瑪瑙採掘場","Agate Mine","เหมืองหินโมรา","Greedy people mined beautiful agate, and something else.","D'avides personnes creusèrent la montagne à la recherche d'agate, mais pas seulement...","욕심에 가득 찬 인간이 파낸 것은 아름다운 보석이 아니었다.","利欲薰心的人们所采掘出的尽是美丽石头以外的东西。","利慾薰心的人們所採掘出的盡是美麗石頭以外的東西。","Manusia tamak menambang Agate dan barang lainnya di sini.","สิ่งที่มนุษย์ผู้ถูกขับเคลื่อนด้วยกิเลสขุดออกมาได้นั้น หาใช่อัญมณีแสนงามไม่"
18,"忘れ去られし島","忌まわしい殺戮の記憶が残る島にはもう人はだれも近づかない。",2,42,5,55,"A Neglected Island","Île Négligée","잊혀져가는 섬","忘却之岛","忘卻之島","Abandoned Island","เกาะที่ถูกลืม","A island with memory of massacre had been neglected.","Île au passé sanglant et oublié.","저주받은 살육의 기억이 맴도는 섬에는 그 누구도 다가가지 않는다.","残存着可恨杀戮记忆的岛已经不会有任何人靠近了。","殘存著可恨殺戮記憶的島已經不會有任何人靠近了。","Sebuah pulau tempat pembantaian yang telah ditinggalkan.","เกาะที่มีความทรงจำของการสังการหมู่ที่ไม่น่าปรารถนาอยู่ ไม่มีมนุษย์ใดอยากเข้าใกล้"
19,"幻影城","月夜見の国を支配するのは満月の夜にしか現れないという幻影城だった。",2,45,6,60,"The Castle of Phantom","Château du Fantôme","환영성","幻影城","幻影城","Phantom Castle","ปราสาทเงาลวง","The Castle of Phantom will only appear under night of full moon.","N'apparaît que les nuits de pleine Lune.","달의 나라를 지배하는 것은 만월의 밤에만 나타난다는 환영성이었다.","支配着月夜见之国的是只有满月之夜才会出现的幻影城。","支配著月夜見之國的是只有滿月之夜才會出現的幻影城。","Kastil bayangan yang hanya muncul dibawah sinar bulan purnama.","ปราสาทลวงตาที่ถูกนครจันทรายึดครอง จะปรากฎขึ้นในคืนพระจันทร์เต็มดวงเท่านั้น"
20,"妖蛆の巣窟","地中をうごめく巨大な蛆どもはただ貪ることだけを想う。",3,47,4,35,"A Cave of Evil Moss","Caverne des Asticots Maléfiques","요저의 소굴","妖蛆的巢穴","妖蛆的巢穴","Moss Cave","รังหนอนปิศาจ","Huge devouring moss wiggles under ground.","Masse grouillante qui dévore tout ce qui tombe au sol.","땅속을 꿈틀거리는 거대한 구더기들은 단지 탐내는 것만을 생각한다.","潜伏在地中的巨大蛆虫们只想着要吞食一切。","潛伏在地中的巨大蛆蟲們只想著要吞食一切。","Lumut raksasa pemangsa menggeliat dibawah permukaan tanah.","เหล่าหนอนยักษ์บนบก คิดเพียงแต่จะเติมเต็มความอยากของตนเท่านั้น"
21,"死人図書館","死者が管理する隠されたライブラリ。その秘密を知ったものは皆、狂人となる。",3,49,4,40,"The Library of Dead Man","Bibliothèque du Cadavre","사자의 도서관","死者图书馆","死者圖書館","Library of The Dead","หอสมุดคนตาย","Anyone who exposed its secret will go insane.","Toute personne découvrant son secret en perd la tête.","죽은 자가 관리하는 숨겨진 도서관. 그 비밀을 알게 된 자는 모두 광인이 된다.","由死者所管理的隐藏图书馆。知道这个秘密的人，都化为狂人。","由死者所管理的隱藏圖書館。知道這個秘密的人，都化為狂人。","Barangsiapa yang membuka rahasianya akan menjadi gila.","หอสมุดที่ถูกซ่อนไว้โดยมีคนตายคอยดูแล มนุษย์คนใดที่รู้ความลับของมันจะกลายเป็นคนคุ้มคลั่ง"
22,"鉄夢の要塞","機械を操る者たちはいつしか機械に操られるようになっていた。",3,51,4,45,"Fortress of Iron Dream","Forteresse des Rêves d'Acier","철몽의 요새","铁梦的要塞","鐵夢的要塞","Fortress of Iron Dream","ป้อมฝันโลหะ","Machine controls mechanics unnoticeably.","Contrôle secrètement les machines.","기계를 조종하던 자들은 어느덧 기계에 의해 조종당하고 있었다.","操控机械的人不知何时开始变成了被机械操控着。","操控機械的人不知何時開始變成了被機械操控著。","Mesin mengendalikan semua mekanisme tempat ini tanpa ada yang menyadari.","ผู้ควบคุมจักรกล แต่กลับถูกจักรกลเข้าควบคุมเสียเอง"
23,"ウボスの黒い湖","底の見えぬ真っ暗な水底には、時折巨大な光る眼が見えることがある。",3,53,5,50,"Darkness lake of Ubos","Lac Obscur d'Ubos","우보스의 검은 호수","乌波斯的黑湖","烏波斯的黑湖","Ubos Darkness Lake","ทะลสาปสีนิลของอูโบส","Huge glittering eyes can be recognized under the dark water.","On peut voir des yeux globuleux briller dans ses eaux profondes.","바닥이 보이지 않는 검은 물밑은 때때로 거대한 빛나는 눈이 보인다.","深不见底的黑暗水底，不时能看见巨大发光的眼睛。","深不見底的黑暗水底，不時能看見巨大發光的眼睛。","Mata-mata besar dan bersinar dapat dilihat di dalam permukaan air yang keruh.","บางครั้งก็มีผู้เห็นดวงตาเปล่งประกายที่ทะเลสาบลึกมองไม่เห็นก้นนั้น"
24,"植物見張り塔","誰も近づかない森に建てられた塔。誰が何を監視するために建てたのか。",3,55,5,55,"A Mysterious Watchtower","Tour de Garde Mystérieuse","식물 파수탑","植物了望塔","植物瞭望塔","Obscure Watchtower","หอสังเกตการณ์พันธุ์ไม้","A watchtower built in abandon forest. No one knows why it's been there.","Tour de Garde construite dans une forêt abandonnée. Personne ne sait pourquoi elle a été construite là. ","아무도 접근하지 않는 숲에 세워진 탑. 누가 무엇을 감시하기 위해 세운 것인가?","建造于无人森林中的塔。不知是谁为了监视甚么而建的。","建造於無人森林中的塔。不知是誰為了監視甚麼而建的。","Menara pengintai yang dibangun di dalam hutan terpencil. Tidak ada yang mengetahui alasan pembangunannya.","หอคอยที่สร้างขึ้นในป่าที่ไม่มีใครเข้าใกล้ อาจะถูกสร้างขึ้นเพื่อสังเกตการณ์ก็เป็นได้"
25,"白魔の円環列石","白魔と呼ばれる怪物達は人間とは相容れぬある物を信奉していた。",3,57,5,60,"Circled Line Stone of White Demon","Cerle de Pierre des Mages Blancs","백마의 원환열석","白魔的圆环石赈","白魔的圓環石陣","White Stone Circle","วงล้อมหินของปิศาจขาว","Monster called as White Demon believed in something unacceptable for human race.","Les [Mages Blancs] croyaient en d'inacceptables préceptes.","백마라는 괴물들은 인간과는 상성할 수 없는 것을 신봉하고 있었다.","被称作白魔的怪物们信奉着与人类不相容的事物。","被稱作白魔的怪物們信奉著與人類不相容的事物。","Monster yang disebut [Iblis Putih] dipercaya melakukan sesuatu yang tidak dapat diterima oleh manusia.","เหล่าอสูรกายที่ถูกเรียกว่าปิศาจขาวเกิดขัดแย้งกับมนุษย์ จึงสร้างสถานบูชาขึ้น"
26,"死都ヘルドン","かつての美しい都は龍たちとの戦場となった。今、都に残っているのは、とうに人であるのをやめた者達だけだった。",3,59,6,65,"Helldon -The Dead City- ","Helldon - Cité Morte- ","사도 헤루돈","死都黑尔顿","死都黑爾頓","Helldon -The Dead City- ","เฮลดอน นครแห่งความตาย","It was a beautiful city before the war against dragon. Now only monsters, used be human, remains in this city.","Fut jadis une magnifique ville. Depuis la guerre contre les dragons, elle est peuplée d'humains transformés en monstres.","과거의 아름다운 도시는 용들과의 전쟁터가 되었다. 지금 도시에 남아있는 것은 이미 사람임을 버린 자들뿐이었다.","过去美丽的都市成了与龙之间的战场。现在还留在这都市里的，都只剩些非人者而已了。","過去美麗的都市成了與龍之間的戰場。現在還留在這都市裡的，都只剩些非人者而已了。","Sebuah kota yang indah sebelum terjadi peperangan melawan naga. Sekarang hanya monster yang dulunya manusia yang bertahan di dalam kota ini.","เมืองที่สวยงามแห่งหนึ่งต้องตกเป็นสนามรบระหว่างมังกรและมนุษย์ ที่เหลืออยู่ในเมืองตอนนี้ก็คือสิ่งที่ไม่ใช่มนุษย์อีกต่อไปแล้ว"
27,"翼竜の宝物庫","強欲な龍はその翼の下にあらゆる財宝をあつめた。その貪婪のために犠牲なった魂は今も財宝の周りを漂い続ける",3,62,6,70,"Treasury of Wyvern","Coffre de Wyvern","익룡의 보물창고","翼龙的藏宝库","翼龍的藏寶庫","Wyvern Treasury","คลังสมบัติมังกรบิน","Sacrificed soul still drifting around treasure.","Une âme en peine erre toujours autour du trésor.","탐욕스러운 용은 그 날개 밑에 온갖 보물들을 숨겨놓았다. 그 탐욕을 위해 희생된 자들의 영혼은 지금도 보물 주위를 맴돈다.","贪心的龙将其翅膀下所有财宝聚集在此。因它的贪婪而牺牲的灵魂们现在也仍在财宝周围飘荡。","貪心的龍將其翅膀下所有財寶聚集在此。因牠的貪婪而犧牲的靈魂們現在也仍在財寶周圍飄盪。","Jiwa yang dikorbankan melayang-layang mengitari harta karun.","มังกรโลภได้สะสมสมบัติไว้ใต้ปีก ดวงวิญญาณที่ตกเป็นเครื่องสังเวยความโลภนั้นยังคงล่องลอยอยู่รอบๆ คลังสมบัติ"
28,"忘却の辺獄","苦しみも喜びもすべて忘れ去られた場所。静謐な光景は白痴美をたたえていた。",4,64,5,45,,"Limbes de l'oubli","망각의 감옥","忘却的地狱边缘","忘卻的地獄邊緣","Oblivion Limbo","คุกหลงลืม",,"Limbes desquelles ont disparu bonheur et souffrances. Contrée sereine à la beauté indiscible.","고통도 기쁨도 모두 잊힌 장소. 평온한 광경은 백치미를 뛰고 있었다.","可以忘掉所有苦痛及喜乐的场所。静谧的光景呈现着一种无生气之美。","可以忘掉所有苦痛及喜樂的場所。靜謐的光景呈現著一種無生氣之美。","Tempat di mana seluruh suka dan duka terlupakan. Pemandangan yang damai memenuhi keindahan yang semu ini.","สถานที่ที่ทำให้หลงลืมกระทั่งความเจ็บปวดและความสุข ฉากที่สงบสุขนั้นฉายให้เห็นถึงความงดงามอันโง่เขลา"
29,"魔境の胎蔵","赤黒い樹木の生い茂る秘境。この場所に狂気と正気の境はない。",4,66,5,50,,"Frontières maléfiques","마경의 태장","魔境的胎藏","魔境的胎藏","Evil Borderland","ครรภ์แห่งมาร",,"Frontière secrète où poussent des arbres rouges et noirs. Ici n'existe aucune différence entre folie et raison.","검붉은 나무가 우거진 비경. 여기에는 광기와 정신의 경계는 없다.","丛生着暗红色树木的秘境。在这个地方中，正常跟疯狂没有区别。","叢生著暗紅色樹木的秘境。在這個地方中，正常跟瘋狂沒有區別。","Daerah tak terjelajah yang dipenuhi pepohonan lebat berwarna hitam-merah. Tidak ada batas antara kewarasan dan kegilaan di tempat ini.","แดนลับแลที่มีพืชสีแดงคล้ำขึ้นอย่างหนาแน่น เป็นสถานที่ซึ่งไม่มีเส้นแบ่งระหว่างสติและความคุ้มคลั่ง"
30,"暗黒塔","魔道の絶頂を極めた者が住む塔。その狂った呪詛は遙か彼方まで響く。",4,68,5,55,,"Tour des Ténèbres","암흑의 탑","暗黑塔","暗黑塔","Tower of Darkness","หอคอยนิลกาฬ",,"Tour dans laquelle vit le gardien de la Cime du Chemin Enchanté. Ses malédictions résonnent au loin.","마도의 절정을 규명한 남자가 사는 탑. 그 미친 저주는 먼 곳까지 울려 퍼진다.","追求魔道极致之人所居住的塔。那发狂般的诅咒响彻遥远的彼方。","到達魔道頂端的男子所居住的塔。遙遠的彼岸都能聽到他發狂的詛咒。","Menara tempat tinggal manusia yang telah menguasai ilmu kegelapan. Memiliki kutukan yang tak kenal batas.","หอคอยที่ผู้พิชิตถนนปิศาจอาศัยอยู่ คำสาปที่บ้าคลั่งนั้นยังคงดังกังวาลไปถึงพวกเขา"
31,"妖婦の魔道","怨嗟の声が渦巻くこの道には、夢破れた亡者達の頭骨が敷き詰められている。",4,70,6,60,,"Chemin de Dalila","요부의 마도","妖妇的魔道","妖婦的魔道","Dalila Path","ถนนแม่มด",,"Sur ce chemin des Lamentations roulent les crânes de rêveurs désabusés.","원망의 목소리가 소용돌이치는 이 길에 꿈을 잃어버린 망자들의 두개골이 쌓여있다.","在这个道路上回绕着哀怨的声音，路上尽是遍满梦想破灭的亡者们头骨。","在這個道路上迴繞著哀怨的聲音，路上盡是遍滿夢想破滅的亡者們頭骨。","Ratapan terdengar disepanjang jalan yang terbuat dari timbunan tengkorak manusia yang terenggut mimpinya.","ถนนที่ยังคงมีเสียงแค้นใจหมุนวรเวียนเส้นนี้ เต็มไปด้วยกะโหลกของเหล่าคนตายที่ฝันสลาย"
32,"三界の絶頂","あらゆるものを超える山の頂にある巨大な目。その目は今も愚者たちを罰するため睥睨している。",4,72,6,65,,"Cime des Trois Mondes","삼계의 절정","三界的绝顶","三界的絕頂","Three Worlds Pinnacle","ยอดเขาไตรโลก",,"Oeil monstreux qui se trouve à la cime de ce Mont et qui cherche sans fin les fous qu'il lui faut punir.","모든 것을 볼 수 있는 거대한 눈. 그 눈은 지금도 어리석은 자들을 처벌하기 위해 비예하고 있다.","在超越万物山顶上的巨大之眼。这眼至今仍为了处罚愚者们而睥睨着。","在超越萬物山頂上的巨大之眼。這眼至今仍為了處罰愚者們而睥睨著。","Mata-mata mengerikan di puncak gunung yang selalu mengamati dan siap menghukum orang-orang bodoh.","นัยน์ตายักษ์ที่อยู่บนยอดเขาสุดขอบโลก นัยน์ตานั้นยังคงเฝ้ามองอยู่เพื่อมอบโทษให้เหล่าคนเขลา"
33,"異端者の墓碑","断罪された異端者の怨念は天空を赤く染め、地上に血の雨を降らせた。その雨は自らの墓碑は血の湖沈めめるまで降り続いた。",4,74,6,70,,"Tombe des Hérétiques","이단자의 묘비","异端者的墓碑","異端者的墓碑","Heretic Tomb","สุสานคนนอกรีต",,"Ce tombeau des hérétiques teint le ciel en pourpre et fait pleuvoir une pluie de sang. Cette pluie tombe jusqu') ce que le tombeau soit plein de sang.","참수형 당한 이교도의 원한은 하늘을 붉게 물들이며 지상에 피 비를 내리게 했다. 그 비는 자신의 묘를 피의 호수로 만들기에 충분한 양이었다.","被定罪的异端者怨念，将天空染红，降下血之雨。这场雨一直下到他们的墓碑被血之湖淹没为止。","被定罪的異端者怨念，將天空染紅，降下血之雨。這場雨一直下到他們的墓碑被血之湖淹沒為止。","Makam para pembelot terkutuk yang mengubah langit menjadi merah. Hujan yang menetes memenuhi makam ini dengan darah.","ความโกรธแค้นของคนนอกรีตที่ถูกสำเร็จโทษย้อมสีท้องฟ้าให้แดงฉานและหลั่งฝนเลือดอย่างต่อเนื่องจนท่วมสุสานของพวกตนกลายเป็นทะเลสาบโลหิต"
34,"幻視された冥府","古の時代に夢見られた極彩色の世界。しかし、そこを生者が歩くことはない。",4,76,7,75,,"Enfers Imaginaires","환시의 명부","幻觉的冥府","幻覺的冥府","Imaginary Hell","นรกจินตนาการ",,"Monde au mille couleurs dont on rêvait il y a fort longtemps. Cependant, aucun vivant ne peut y accéder.","고대 시대에 꿈에서 봤던 극채색의 세계. 하지만 산자가 걸을 수 없는 세계이다.","在古老时代梦见的极彩色世界。但是，那里生人止步。","在古老時代夢見的極彩色世界。但是，那裡生人止步。","Dunia penuh warna yang diimpikan pada jaman lampau. Namun, menyusurinya tidak segampang yang dipikirkan.","โลกหลากสีสันที่เป็นโลกแห่งความฝันในสมัยโบราณ ทว่า ไม่มีสิ่งมีชีวิตใดในที่แห่งนั้นเลย"
35,"玉座への回廊","無限に続く果てなき回廊。凱旋門は主の帰還を待ち続ける。",4,79,7,80,,"Galerie pour Trône","옥좌로 이어진 회랑","通往玉座的回廊","通往玉座的回廊","Throne Corridor","ระเบียงสู่บัลลังก์",,"Arc de Triomphe continue d'attendre le retour du Seigneur.galerie continue infiniment.","끝없이 계속 어지는 회랑. 개선문은 주인의 귀환을 계속 기다린다.","持续没有尽头的回廊。仍然在等待主人归来的凯旋门。","持續沒有盡頭的回廊。仍然在等待主人歸來的凱旋門。","Koridor tanpa ujung menuju keabadian. Koridor ini menunggu kepulangan Rajanya.","ระเบียงที่ไม่มีจุดสิ้นสุด ประตูชัยนั้นยังคงรอคอยการกลับมาของผู้เป็นนายอยู่"
