"id","name","monstar_no","treasure_no","event_no","stage","caption","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
26,"古代樹",0,50003,0,1,"古くから存在しているとされる大樹","Ancient Tree","Arbre ancien","고대나무","古代树","古代樹","Ancient Tree","ต้นไม้โบราณ","A huge tree said to have existed from ancient times","Un arbre énorme a dit pour avoir existé de temps anciens","먼 옛날부터 존재했다는 큰 나무","自古以来就存在的大树","自古以來就存在的大樹","Pohon raksasa yang konon berasal dari jaman purba.","ต้นไม้ใหญ่ที่มีชีวิตมาแต่สมัยโบราณ"
27,"☆古代樹",0,20028,0,1,"古くから存在しているとされる大樹","☆Ancient Tree","☆Arbre ancien","☆고대나무","☆古代树","☆古代樹","☆Ancient Tree","☆ต้นไม้โบราณ","A huge tree said to have existed from ancient times","Un arbre énorme a dit pour avoir existé de temps anciens","먼 옛날부터 존재했다는 큰 나무","自古以来就存在的大树","自古以來就存在的大樹","Pohon raksasa yang konon berasal dari jaman purba.","ต้นไม้ใหญ่ที่มีชีวิตมาแต่สมัยโบราณ"
28,"★古代樹",0,61,0,1,"古くから存在しているとされる大樹","★Ancient Tree","★Arbre ancien","★고대나무","★古代树","★古代樹","★Ancient Tree","★ต้นไม้โบราณ","A huge tree said to have existed from ancient times","Un arbre énorme a dit pour avoir existé de temps anciens","먼 옛날부터 존재했다는 큰 나무","自古以来就存在的大树","自古以來就存在的大樹","Pohon raksasa yang konon berasal dari jaman purba.","ต้นไม้ใหญ่ที่มีชีวิตมาแต่สมัยโบราณ"
29,"街の郊外",0,0,0,5,"スラム街の郊外にある静かな場所","Suburbs","Faubourgs","마을 교외","街道郊区","街道郊區","Suburbs","ชานเมือง","Quiet place outside of the slum.","Place tranquille en dehors du quartier pauvre.","빈민가의 교외에 있는 조용한 장소","在贫民街郊外的宁静场所","在貧民街郊外的寧靜場所","Tempat sunyi diluar kawasan kumuh.","สถานที่เงียบสงบชานเมืองสลัม"
30,"街の郊外",0,50003,0,5,"スラム街の郊外にある静かな場所","Suburbs","Faubourgs","마을 교외","街道郊区","街道郊區","Suburbs","ชานเมือง","Quiet place outside of the slum.","Place tranquille en dehors du quartier pauvre.","빈민가의 교외에 있는 조용한 장소","在贫民街郊外的宁静场所","在貧民街郊外的寧靜場所","Tempat sunyi diluar kawasan kumuh.","สถานที่เงียบสงบชานเมืองสลัม"
31,"☆街の郊外",0,20012,0,5,"スラム街の郊外にある静かな場所","☆Suburbs","☆Faubourgs","☆마을 교외","☆街道郊区","☆街道郊區","☆Suburbs","☆ชานเมือง","Quiet place outside of the slum.","Place tranquille en dehors du quartier pauvre.","빈민가의 교외에 있는 조용한 장소","在贫民街郊外的宁静场所","在貧民街郊外的寧靜場所","Tempat sunyi diluar kawasan kumuh.","สถานที่เงียบสงบชานเมืองสลัม"
32,"★街の郊外",0,71,0,5,"スラム街の郊外にある静かな場所","★Suburbs","★Faubourgs","★마을 교외","★街道郊区","★街道郊區","★Suburbs","★ชานเมือง","Quiet place outside of the slum.","Place tranquille en dehors du quartier pauvre.","빈민가의 교외에 있는 조용한 장소","在贫民街郊外的宁静场所","在貧民街郊外的寧靜場所","Tempat sunyi diluar kawasan kumuh.","สถานที่เงียบสงบชานเมืองสลัม"
33,"教会",0,0,0,7,"閑散とした場所に佇む教会","Church","Église","교회","教会","教會","Church","โบสถ์","A Church in the quiet place.","Une Église dans la place tranquille.","한적한 장소에 우두커니 서 있는 교회","伫立在安静场所的教会","佇立在安靜場所的教會","Sebuah gereja di tempat yang sunyi.","โบสถ์ร้างที่เงียบเหงา"
34,"教会",0,50003,0,7,"閑散とした場所に佇む教会","Church","Église","교회","教会","教會","Church","โบสถ์","A Church in the quiet place.","Une Église dans la place tranquille.","한적한 장소에 우두커니 서 있는 교회","伫立在安静场所的教会","佇立在安靜場所的教會","Sebuah gereja di tempat yang sunyi.","โบสถ์ร้างที่เงียบเหงา"
35,"☆教会",0,20004,0,7,"閑散とした場所に佇む教会","☆Church","☆Église","☆교회","☆教会","☆教會","☆Church","☆โบสถ์","A Church in the quiet place.","Une Église dans la place tranquille.","한적한 장소에 우두커니 서 있는 교회","伫立在安静场所的教会","佇立在安靜場所的教會","Sebuah gereja di tempat yang sunyi.","โบสถ์ร้างที่เงียบเหงา"
36,"★教会",0,81,0,7,"閑散とした場所に佇む教会","★Church","★Église","★교회","★教会","★教會","★Church","★โบสถ์","A Church in the quiet place.","Une Église dans la place tranquille.","한적한 장소에 우두커니 서 있는 교회","伫立在安静场所的教会","佇立在安靜場所的教會","Sebuah gereja di tempat yang sunyi.","โบสถ์ร้างที่เงียบเหงา"
37,"審判の丘",0,0,0,6,"レジメントが処刑されたとされる丘","Judgment Hill","Colline du jugement","심판의 언덕","审判之丘","審判之丘","Judgment Hill","เนินพิพากษา","The hill where Regiment executed","La colline où le Régiment a exécuté","레지멘트가 처형되었다는 언덕","连队成员被处刑的山丘","連隊成員被處刑的山丘","Bukit tempat Regiment dieksekusi.","เนินเขาที่ถูกใช้เป็นลานประหารของกองทัพ"
38,"審判の丘",0,50003,0,6,"レジメントが処刑されたとされる丘","Judgment Hill","Colline du jugement","심판의 언덕","审判之丘","審判之丘","Judgment Hill","เนินพิพากษา","The hill where Regiment executed","La colline où le Régiment a exécuté","레지멘트가 처형되었다는 언덕","连队成员被处刑的山丘","連隊成員被處刑的山丘","Bukit tempat Regiment dieksekusi.","เนินเขาที่ถูกใช้เป็นลานประหารของกองทัพ"
39,"☆審判の丘",0,20028,0,6,"レジメントが処刑されたとされる丘","☆Judgment Hill","☆Colline du jugement","☆심판의 언덕","☆审判之丘","☆審判之丘","☆Judgment Hill","☆เนินพิพากษา","The hill where Regiment executed","La colline où le Régiment a exécuté","레지멘트가 처형되었다는 언덕","连队成员被处刑的山丘","連隊成員被處刑的山丘","Bukit tempat Regiment dieksekusi.","เนินเขาที่ถูกใช้เป็นลานประหารของกองทัพ"
40,"★審判の丘",0,91,0,6,"レジメントが処刑されたとされる丘","★Judgment Hill","★Colline du jugement","★심판의 언덕","★审判之丘","★審判之丘","★Judgment Hill","★เนินพิพากษา","The hill where Regiment executed","La colline où le Régiment a exécuté","레지멘트가 처형되었다는 언덕","连队成员被处刑的山丘","連隊成員被處刑的山丘","Bukit tempat Regiment dieksekusi.","เนินเขาที่ถูกใช้เป็นลานประหารของกองทัพ"
41,"血塗れの湖",0,0,0,3,"妖魔の血液で濁った湖","Murky lake","Lac obscur","피로 물든 호수","染血之湖","染血之湖","Murky Lake","ทะเลสาบโลหิต","The bloody lake.","Le lac sanglant.","요마의 피로 물든 호수","被妖魔的血污浊了的湖","被妖魔的血汙濁了的湖","Danau berdarah.","ทะเลสาบที่แปดเปื้อนเลือดของปิศาจ"
42,"血塗れの湖",0,50004,0,3,"妖魔の血液で濁った湖","Murky lake","Lac obscur","피로 물든 호수","染血之湖","染血之湖","Murky Lake","ทะเลสาบโลหิต","The bloody lake.","Le lac sanglant.","요마의 피로 물든 호수","被妖魔的血污浊了的湖","被妖魔的血汙濁了的湖","Danau berdarah.","ทะเลสาบที่แปดเปื้อนเลือดของปิศาจ"
43,"☆血塗れの湖",0,20028,0,3,"妖魔の血液で濁った湖","☆Murky lake","☆Lac obscur","☆피로 물든 호수","☆染血之湖","☆染血之湖","☆Murky Lake","☆ทะเลสาบโลหิต","The bloody lake.","Le lac sanglant.","요마의 피로 물든 호수","被妖魔的血污浊了的湖","被妖魔的血汙濁了的湖","Danau berdarah.","ทะเลสาบที่แปดเปื้อนเลือดของปิศาจ"
44,"★血塗れの湖",0,101,0,3,"妖魔の血液で濁った湖","★Murky lake","★Lac obscur","★피로 물든 호수","★染血之湖","★染血之湖","★Murky Lake","★ทะเลสาบโลหิต","The bloody lake.","Le lac sanglant.","요마의 피로 물든 호수","被妖魔的血污浊了的湖","被妖魔的血汙濁了的湖","Danau berdarah.","ทะเลสาบที่แปดเปื้อนเลือดของปิศาจ"
45,"宝玉の里",0,0,0,5,"獣人が住むとされる平和な里","Peaceful village","Village paisible","보석의 마을","宝玉的村落","寶玉的村落","Peaceful Village","หมู่บ้านอัญมณี","Peaceful village where human beast live.","Village paisible où bête humaine vivant.","수인이 산다는 조용하고 평온한 마을","兽人所居住的和平村庄","獸人所居住的和平村莊","Desa tempat manusia hewan hidup dengan damai.","หมู่บ้านสงบสุขที่มนุษย์ครึ่งอสูรอาศัยอยู่"
46,"宝玉の里",0,50004,0,5,"獣人が住むとされる平和な里","Peaceful village","Village paisible","보석의 마을","宝玉的村落","寶玉的村落","Peaceful Village","หมู่บ้านอัญมณี","Peaceful village where human beast live.","Village paisible où bête humaine vivant.","수인이 산다는 조용하고 평온한 마을","兽人所居住的和平村庄","獸人所居住的和平村莊","Desa tempat manusia hewan hidup dengan damai.","หมู่บ้านสงบสุขที่มนุษย์ครึ่งอสูรอาศัยอยู่"
47,"☆宝玉の里",0,20020,0,5,"獣人が住むとされる平和な里","☆Peaceful village","☆Village paisible","☆보석의 마을","☆宝玉的村落","☆寶玉的村落","☆Peaceful Village","☆หมู่บ้านอัญมณี","Peaceful village where human beast live.","Village paisible où bête humaine vivant.","수인이 산다는 조용하고 평온한 마을","兽人所居住的和平村庄","獸人所居住的和平村莊","Desa tempat manusia hewan hidup dengan damai.","หมู่บ้านสงบสุขที่มนุษย์ครึ่งอสูรอาศัยอยู่"
48,"★宝玉の里",0,111,0,5,"獣人が住むとされる平和な里","★Peaceful village","★Village paisible","★보석의 마을","★宝玉的村落","★寶玉的村落","★Peaceful Village","★หมู่บ้านอัญมณี","Peaceful village where human beast live.","Village paisible où bête humaine vivant.","수인이 산다는 조용하고 평온한 마을","兽人所居住的和平村庄","獸人所居住的和平村莊","Desa tempat manusia hewan hidup dengan damai.","หมู่บ้านสงบสุขที่มนุษย์ครึ่งอสูรอาศัยอยู่"
49,"混沌の道",0,0,0,4,"混沌世界へと繋がる道","Road to Chaos","Route au Chaos","혼돈의 길","混沌之路","混沌之路","Road to Chaos","ถนนความยุ่งยาก","The road connects to Chaotic world","La route relie à monde Chaotique","혼돈 세계로 이어지는 길","通往混沌世界的道路","通往混沌世界的道路","Jalan yang terhubung ke dunia Chaos.","ถนนที่นำไปสู่โลกแห่งความยุ่งเหยิง"
50,"混沌の道",0,50004,0,4,"混沌世界へと繋がる道","Road to Chaos","Route au Chaos","혼돈의 길","混沌之路","混沌之路","Road to Chaos","ถนนความยุ่งยาก","The road connects to Chaotic world","La route relie à monde Chaotique","혼돈 세계로 이어지는 길","通往混沌世界的道路","通往混沌世界的道路","Jalan yang terhubung ke dunia Chaos.","ถนนที่นำไปสู่โลกแห่งความยุ่งเหยิง"
51,"☆混沌の道",0,20022,0,4,"混沌世界へと繋がる道","Road to Chaos","Route au Chaos","☆혼돈의 길","☆混沌之路","☆混沌之路","☆Road to Chaos","☆ถนนความยุ่งยาก","The road connects to Chaotic world","La route relie à monde Chaotique","혼돈 세계로 이어지는 길","通往混沌世界的道路","通往混沌世界的道路","Jalan yang terhubung ke dunia Chaos.","ถนนที่นำไปสู่โลกแห่งความยุ่งเหยิง"
52,"★混沌の道",0,121,0,4,"混沌世界へと繋がる道","Road to Chaos","Route au Chaos","★혼돈의 길","★混沌之路","★混沌之路","★Road to Chaos","★ถนนความยุ่งยาก","The road connects to Chaotic world","La route relie à monde Chaotique","혼돈 세계로 이어지는 길","通往混沌世界的道路","通往混沌世界的道路","Jalan yang terhubung ke dunia Chaos.","ถนนที่นำไปสู่โลกแห่งความยุ่งเหยิง"
53,"集結の地",0,0,0,1,"かつてレジメントが集結した地","Gathering Land","Rassemblant Terre","집결지","集结之地","集結之地","Gathering Land","พื้นที่ชุมนุม","The place where Regiments gathered long ago","La place où les Régiments ont rassemblé il y a longtemps","과거에 레지멘트가 모였던 장소","过去连队集结的地方","過去連隊集結的地方","Tempat berkumpulnya anggota Regiment di masa lalu.","พื้นที่ที่เคยเป็นจุดรวมพลของกองทัพ"
54,"集結の地",0,50004,0,1,"かつてレジメントが集結した地","Gathering Land","Rassemblant Terre","집결지","集结之地","集結之地","Gathering Land","พื้นที่ชุมนุม","The place where Regiments gathered long ago","La place où les Régiments ont rassemblé il y a longtemps","과거에 레지멘트가 모였던 장소","过去连队集结的地方","過去連隊集結的地方","Tempat berkumpulnya anggota Regiment di masa lalu.","พื้นที่ที่เคยเป็นจุดรวมพลของกองทัพ"
55,"☆集結の地",0,20004,0,1,"かつてレジメントが集結した地","☆Gathering Land","☆Rassemblant Terre","☆집결지","☆集结之地","☆集結之地","☆Gathering Land","☆พื้นที่ชุมนุม","The place where Regiments gathered long ago","La place où les Régiments ont rassemblé il y a longtemps","과거에 레지멘트가 모였던 장소","过去连队集结的地方","過去連隊集結的地方","Tempat berkumpulnya anggota Regiment di masa lalu.","พื้นที่ที่เคยเป็นจุดรวมพลของกองทัพ"
56,"★集結の地",0,131,0,1,"かつてレジメントが集結した地","★Gathering Land","★Rassemblant Terre","★집결지","★集结之地","★集結之地","★Gathering Land","★พื้นที่ชุมนุม","The place where Regiments gathered long ago","La place où les Régiments ont rassemblé il y a longtemps","과거에 레지멘트가 모였던 장소","过去连队集结的地方","過去連隊集結的地方","Tempat berkumpulnya anggota Regiment di masa lalu.","พื้นที่ที่เคยเป็นจุดรวมพลของกองทัพ"
57,"深遠の実験場",0,0,0,1,"人体実験が行われていたという無人の実験場","Experiment station in deep down","Poste de l'expérience dans profond en bas","심원의 실험장","深远的实验场","深遠的實驗場","Underground Lab","ห้องทดลองใต้ดิน","Experiment station where human experimentation might have taken place.","Poste de l'expérience où l'expérimentation humaine a pu avoir lieu.","인체실험이 행해졌던 사람이 살지 않는 실험장","传说中进行过人体实验的无人实验场","傳說中進行過人體實驗的無人實驗場","Laboratorium tempat eksperimen manusia dilakukan.","ห้องทดลองที่ว่ากันว่าเคยทำการทดลองกับมนุษย์"
58,"深遠の実験場",0,50004,0,1,"人体実験が行われていたという無人の実験場","Experiment station in deep down","Poste de l'expérience dans profond en bas","심원의 실험장","深远的实验场","深遠的實驗場","Underground Lab","ห้องทดลองใต้ดิน","Experiment station where human experimentation might have taken place.","Poste de l'expérience où l'expérimentation humaine a pu avoir lieu.","인체실험이 행해졌던 사람이 살지 않는 실험장","传说中进行过人体实验的无人实验场","傳說中進行過人體實驗的無人實驗場","Laboratorium tempat eksperimen manusia dilakukan.","ห้องทดลองที่ว่ากันว่าเคยทำการทดลองกับมนุษย์"
59,"☆深遠の実験場",0,20042,0,1,"人体実験が行われていたという無人の実験場","☆Experiment station in deep down","☆Poste de l'expérience dans profond en bas","☆심원의 실험장","☆深远的实验场","☆深遠的實驗場","☆Underground Lab","☆ห้องทดลองใต้ดิน","Experiment station where human experimentation might have taken place.","Poste de l'expérience où l'expérimentation humaine a pu avoir lieu.","인체실험이 행해졌던 사람이 살지 않는 실험장","传说中进行过人体实验的无人实验场","傳說中進行過人體實驗的無人實驗場","Laboratorium tempat eksperimen manusia dilakukan.","ห้องทดลองที่ว่ากันว่าเคยทำการทดลองกับมนุษย์"
60,"★深遠の実験場",0,141,0,1,"人体実験が行われていたという無人の実験場","★Experiment station in deep down","★Poste de l'expérience dans profond en bas","★심원의 실험장","★深远的实验场","★深遠的實驗場","★Underground Lab","★ห้องทดลองใต้ดิน","Experiment station where human experimentation might have taken place.","Poste de l'expérience où l'expérimentation humaine a pu avoir lieu.","인체실험이 행해졌던 사람이 살지 않는 실험장","传说中进行过人体实验的无人实验场","傳說中進行過人體實驗的無人實驗場","Laboratorium tempat eksperimen manusia dilakukan.","ห้องทดลองที่ว่ากันว่าเคยทำการทดลองกับมนุษย์"
61,"血濡れの街",0,0,0,4,"数々の呪いを内包する魔都","Murky Town","Ville obscure","피로 물든 거리","淌血的街道","淌血的街道","Murky Town","เมืองโลหิต","Evil town contains many curses","La ville mauvaise contient beaucoup de malédictions","수많은 저주를 가진 악령의 도시","包含着大量诅咒的魔都","包含著大量詛咒的魔都","Kota iblis berisi banyak kutukan.","เมืองปิศาจที่แฝงคำสาปจำนวนมากเอาไว้"
62,"血濡れの街",0,50004,0,4,"数々の呪いを内包する魔都","Murky Town","Ville obscure","피로 물든 거리","淌血的街道","淌血的街道","Murky Town","เมืองโลหิต","Evil town contains many curses","La ville mauvaise contient beaucoup de malédictions","수많은 저주를 가진 악령의 도시","包含着大量诅咒的魔都","包含著大量詛咒的魔都","Kota iblis berisi banyak kutukan.","เมืองปิศาจที่แฝงคำสาปจำนวนมากเอาไว้"
63,"☆血濡れの街",0,20040,0,4,"数々の呪いを内包する魔都","☆Murky Town","☆Ville obscure","☆피로 물든 거리","☆淌血的街道","☆淌血的街道","☆Murky Town","☆เมืองโลหิต","Evil town contains many curses","La ville mauvaise contient beaucoup de malédictions","수많은 저주를 가진 악령의 도시","包含着大量诅咒的魔都","包含著大量詛咒的魔都","Kota iblis berisi banyak kutukan.","เมืองปิศาจที่แฝงคำสาปจำนวนมากเอาไว้"
64,"★血濡れの街",0,151,0,4,"数々の呪いを内包する魔都","★Murky Town","★Ville obscure","★피로 물든 거리","★淌血的街道","★淌血的街道","★Murky Town","★เมืองโลหิต","Evil town contains many curses","La ville mauvaise contient beaucoup de malédictions","수많은 저주를 가진 악령의 도시","包含着大量诅咒的魔都","包含著大量詛咒的魔都","Kota iblis berisi banyak kutukan.","เมืองปิศาจที่แฝงคำสาปจำนวนมากเอาไว้"
