"id","u_type","u_value","b_type","b_value","event_no","caption","image","created_at","caption_kr"
150,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
151,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검3의 효과가 있습니다."
152,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검3의 효과가 있습니다."
153,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
154,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
155,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
156,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
157,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
158,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
159,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
160,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
161,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검3의 효과가 있습니다."
162,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검3의 효과가 있습니다."
163,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
164,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
165,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
166,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
167,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
168,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
169,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
170,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
171,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
172,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
173,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
174,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
175,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
176,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
177,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
178,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
179,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
180,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
181,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
182,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
183,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
184,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
185,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
186,1,4,1,4,0,"このカードは剣4として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검4의 효과가 있습니다."
187,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
188,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
189,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
190,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
191,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
192,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
193,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
194,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
195,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
196,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
197,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
198,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
199,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
200,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
201,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
202,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
203,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
204,1,5,1,5,0,"このカードは剣5として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검5의 효과가 있습니다."
205,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
206,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
207,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
208,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
209,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
210,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
211,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
212,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
213,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
214,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
215,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
216,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
217,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
218,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
219,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
220,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
221,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
222,1,6,1,6,0,"このカードは剣6として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검6의 효과가 있습니다."
223,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검7의 효과가 있습니다."
224,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검7의 효과가 있습니다."
225,1,7,1,7,0,"このカードは剣7として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검7의 효과가 있습니다."
