"id","name","price","description","rm_item_type","item_id","num","order","state","image_url","tab","extra_id","view_frame","sale_type","deck_image_url","usd"
34,"Tiara of Mystery I",2,"Time required to find quests is reduced by 30%. Effective for 30 days.",1,57,1,100,0,"chara_id1003.png",11,0,0,0,,2
35,"Tiara of Mystery II",3.5,"Time required to find quests is reduced by 50%. Effective for 30 days.",1,58,1,101,0,"chara_id1004.png",11,0,0,0,,3.5
36,"Tiara of Mystery III",4.5,"Time required to find quests is reduced by 75%. Effective for 30 days.",1,59,1,102,0,"chara_id1005.png",11,0,0,0,,4.5
37,"Fairy Familiar I",2,"Allows you to search for 1 additional quest simultaneously. Effective for 30 days.",1,60,1,103,0,"chara_id1006.png",11,0,0,0,,2
38,"Fairy Familiar II",3.5,"Allows you to search for 2 additional quests simultaneously. Effective for 30 days.",1,61,1,104,0,"chara_id1007.png",11,0,0,0,,3.5
39,"Fairy Familiar III",4.5,"Allows you to search for 3 additional quests simultaneously. Effective for 30 days.",1,62,1,105,0,"chara_id1008.png",11,0,0,0,,4.5
40,"Witch Earings I",2,"AP recovery time is reduced by 10 minutes. Effective for 30 days.",1,63,1,106,0,"chara_id1009.png",11,0,0,0,,2
41,"Witch Earings II",3.5,"AP recovery time is reduced by 15 minutes. Effective for 30 days.",1,64,1,107,0,"chara_id1010.png",11,0,0,0,,3.5
42,"Witch Earings III",4.5,"AP recovery time is reduced by 20 minutes. Effective for 30 days.",1,65,1,108,0,"chara_id1011.png",11,0,0,0,,4.5
43,"Lucky Wand I",2,"GEM received after battles is increased by 50%. Effective for 30 days.",1,66,1,109,0,"chara_id1012.png",11,0,0,0,,2
44,"Lucky Wand II",3.5,"GEM received after battles is increased by 100%. Effective for 30 days.",1,67,1,110,0,"chara_id1013.png",11,0,0,0,,3.5
45,"Lucky Wand III",4.5,"GEM received after battles is increased by 200%. Effective for 30 days.",1,68,1,111,0,"chara_id1014.png",11,0,0,0,,4.5
46,"Eyepatch (White)",2,"This eyepatch can also be used as a wound dressing.",1,79,1,200,0,"chara_id1015.png",11,0,0,0,,2
47,"Medium-Length Hair (Brown)",2,"A sensible hairstyle.",1,72,1,201,0,"chara_id1021.png",11,0,0,0,,2
48,"Medium-Length Hair (White)",2,"A sensible hairstyle.",1,73,1,202,0,"chara_id1023.png",11,0,0,0,,2
49,"Pigtails (Blonde)",2,"A dignified hairstyle.",1,75,1,203,0,"chara_id1030.png",11,0,0,0,,2
50,"Pigtails (Brown)",2,"A dignified hairstyle.",1,76,1,204,0,"chara_id1031.png",11,0,0,0,,2
51,"Ticket (1)",0,"Administrative Use",0,9,1,0,0,"item_id003.png",11,0,0,0,,0
52,"Heath 3 (1)",0,"Administrative Use",0,6,1,0,0,"item_id003.png",11,0,0,0,,0
53,"Heath 1 (1)",0,"Administrative Use",0,5,1,0,0,"item_id003.png",11,0,0,0,,0
54,"Long Hair (Blonde)",2,"A mature hair style.",1,89,1,205,0,"chara_id1040.png",11,0,0,0,,2
55,"Long Hair (White)",2,"A mature hair style.",1,90,1,206,0,"chara_id1043.png",11,0,0,0,,2
56,"Long Hair (Black)",2,"A mature hair style.",1,91,1,207,0,"chara_id1047.png",11,0,0,0,,2
57,"Glasses (Blue)",1.5,"Normal spectacles that improve your eyesight.",1,92,1,208,0,"chara_id1017.png",11,0,0,0,,1.5
58,"Glasses (Red)",1.5,"Normal spectacles that improve your eyesight.",1,93,1,209,0,"chara_id1018.png",11,0,0,0,,1.5
59,"Mysterious Closet",3.5,"Allows you to keep 5 more items of avatar clothing.",0,37,1,30,0,"item_id037.png",11,0,0,0,,3.5
60,"Casual Short Hair (Blonde)",2,"A silky hair style.",1,103,1,210,0,"chara_id1050.png",11,0,0,0,,2
61,"Casual Short Hair (Blue)",2,"A silky hair style.",1,104,1,211,0,"chara_id1052.png",11,0,0,0,,2
62,"Casual Short Hair (Red)",2,"A silky hair style.",1,105,1,212,0,"chara_id1056.png",11,0,0,0,,2
63,"Blue Flames of Purification",10,"Reset an avatar's win/loss counters.",0,40,1,32,0,"item_id040.png",11,0,0,0,,10
64,"Red Flames of Purification",10,"Reset an avatar's BP.",0,41,1,33,0,"item_id041.png",11,0,0,0,,10
65,"Witch Closet",5,"Allows you to keep 10 more items of avatar clothing.",0,42,1,31,0,"item_id042.png",11,0,0,0,,5
66,"Long Hair with Straight Fringe (Blue)",2,"Sensible straight hair.",1,115,1,213,0,"chara_id1062.png",11,0,0,0,,2
67,"Long Hair with Straight Fringe (Peach)",2,"Sensible straight hair.",1,116,1,214,0,"chara_id1063.png",11,0,0,0,,2
68,"Long Hair with Straight Fringe (Black)",2,"Sensible straight hair.",1,117,1,215,0,"chara_id1067.png",11,0,0,0,,2
69,"Casual Long Hair (Blonde)",2,"Simple long hair.",1,118,1,216,0,"chara_id1070.png",11,0,0,0,,2
70,"Casual Long Hair (Red)",2,"Simple long hair.",1,119,1,217,0,"chara_id1076.png",11,0,0,0,,2
71,"Casual Long Hair (Brown)",2,"Simple long hair.",1,120,1,218,0,"chara_id1078.png",11,0,0,0,,2
72,"New Year Dress (Green)",2,"A special dress to commemorate the new year.",1,122,1,219,0,"chara_id2000.png",11,0,0,0,,2
73,"New Year Dress (Purple)",2,"A special dress to commemorate the new year.",1,123,1,220,0,"chara_id2001.png",11,0,0,0,,2
74,"Milian",18,"One-armed former member of the regiment, acts with Rosso.",4,241,1,4,0,"chara_id241.png",11,0,0,0,,18
75,"ExAnemonea Pass 1 (5)",3.5,"Find Anemonea hidden area. (0 minutes)",0,47,5,27,0,"item_id047_5.png",11,0,0,0,,3.5
76,"ExAnemonea Pass 2 (5)",4.5,"Find Anemonea hidden area. (2 hours)",0,48,5,28,0,"item_id048_5.png",11,0,0,0,,4.5
77,"ExAnemonea Pass 3 (5)",6.5,"Find Anemonea hidden area. (3 days)",0,49,5,29,0,"item_id049_5.png",11,0,0,0,,6.5
78,"Seal of Hades",99999,"Bonus item.",4,10011,1,99,0,"item_id003.png",11,0,0,0,,99999
79,"Seal of Hades (2)",99999,"Bonus item.",4,10011,2,99,0,"item_id003.png",11,0,0,0,,99999
80,"Quest Set A",3.5,"A special quest set: Witch's Secret Potion (2), Greater Sands of Time (3), Elixir (2).",0,3,2,80,1,"item_set_b000.png",11,81,0,0,,3.5
81,"Greater Sands of Time (3)",99999,"Not sold separately.",0,12,3,99,0,"item_id012.png",11,82,0,0,,99999
82,"Witch's Secret Potion (10)",99999,"A mysterious concoction which restores full AP.",0,17,2,99,0,"item_id013.png",11,0,0,0,,99999
83,"Quest Set B",6.5,"A special quest set: Witch's Secret Potion (2), Greater Sands of Time (3), Elixir (2), Ghost Compass (2), Special Mushroom Extract, Avatar Parts.",0,3,2,81,1,"item_set_b001.png",11,155,0,0,,6.5
84,"Special Mushroom Extract",99999,"Not sold separately.",0,12,3,99,0,"item_id012.png",11,86,0,0,,99999
85,"Small Hat (White)",99999,"Not sold separately.",1,199,1,99,0,"item_id003.png",11,0,0,0,,99999
86,"Ghost Compass (2)",99999,"Not sold separately.",0,24,2,99,0,"item_id023.png",11,87,0,0,,99999
87,"Greater Sands of Time (3)",99999,"Not sold separately.",0,38,1,99,0,"item_id023.png",11,88,0,0,,99999
88,"Elixir",99999,"Fully recover a mid-quest character's HP.",0,17,2,99,0,"item_id013.png",11,0,0,0,,99999
89,"Duel Set A",3.5,"A special duel set: Witch's Secret Potion, Lucky Four-Leaf Clover (3), White Heath 5 (3).",0,3,1,90,1,"item_set_a000.png",11,90,0,0,,3.5
90,"Lucky Four-Leaf Clover (3)",99999,"Not sold separately.",0,4,3,99,0,"item_id004.png",11,91,0,0,,99999
91,"White Heath 5 (3)",99999,"Not sold separately.",0,7,3,99,0,"item_id007.png",11,0,0,0,,99999
92,"Duel Set B",6.5,"A special duel set: Special Mushroom Extract, Lucky Four-Leaf Clover (5), White Heath 5 (3), Skip Star (3), Small Hat (Black) (first time purchase only).",0,4,5,91,1,"item_set_a001.png",11,154,0,0,,6.5
93,"Small Hat (Black)",99999,"Not sold separately.",1,198,1,31,0,"item_id004.png",11,0,0,0,,99999
94,"White Heath 5 (3)",99999,"Not sold separately.",0,7,3,99,0,"item_id007.png",11,95,0,0,,99999
95,"Skip Star (3)",99999,"Not sold separately.",0,8,3,99,0,"item_id008.png",11,96,0,0,,99999
96,"Special Mushroom Extract",99999,"Not sold separately.",0,38,1,99,0,"item_id023.png",11,0,0,0,,99999
97,"ExAngelLand Pass 1 (5)",4,"Find Angel Land's hidden area. (0 minutes)",0,66,5,5,1,"item_id066_5.png",11,0,0,0,,4
98,"ExAngelLand Pass 2 (5)",5,"Find Angel Land's hidden area. (2 hours)",0,67,5,6,1,"item_id067_5.png",11,0,0,0,,5
99,"ExAngelLand Pass 3 (5)",7,"Find Angel Land's hidden area. (3 days)",0,68,5,7,1,"item_id068_5.png",11,0,0,0,,7
100,"Deck Set 1",10,"You can buy these cards with a level 21 deck: Evarist (Level 4), Grunwald (Level 4), Abel (Level 4).",5,114060,1,0,1,"item_deck_a000.png",11,101,1,0,"item_c_k000.swf",10
101,"Evarist (Level 4)",99999,"Not sold separately.",4,4,1,0,0,"chara_id241.png",11,102,0,0,,99999
102,"Grunwald (Level 4)",99999,"Not sold separately.",4,24,1,0,0,"item_id003.png",11,103,0,0,,99999
103,"Abel (Level 4)",99999,"Not sold separately.",4,34,1,0,0,"item_id003.png",11,0,0,0,,99999
104,"Deck Set 2",30,"You can buy these cards with a level 21 deck: Jead (Level 3), Kronig (Level 3), Redgrave (Level 3), Chance Card 3 (2), Special 3 (2), Special 2 (6), Special 1/Shield 1 (6), Protection 3 (2).",5,114060,1,0,1,"item_deck_a001.png",11,105,2,0,"item_c_k000.swf",30
105,"Kronig (Level 3)",99999,"Not sold separately.",4,53,1,0,0,"chara_id241.png",11,106,0,0,,99999
106,"Special 2",99999,"Not sold separately.",2,28,1,0,0,"item_id003.png",11,107,0,0,,99999
107,"Special 2",99999,"Not sold separately.",2,28,1,0,0,"item_id003.png",11,108,0,0,,99999
108,"Special 2",99999,"Not sold separately.",2,28,1,0,0,"item_id003.png",11,109,0,0,,99999
109,"Special 2",99999,"Not sold separately.",2,28,1,0,0,"item_id003.png",11,110,0,0,,99999
110,"Special 2",99999,"Not sold separately.",2,28,1,0,0,"item_id003.png",11,111,0,0,,99999
111,"Special 2",99999,"Not sold separately.",2,28,1,0,0,"item_id003.png",11,112,0,0,,99999
112,"Jead (Level 3)",99999,"Not sold separately.",4,63,1,0,0,"chara_id241.png",11,113,0,0,,99999
113,"Chance Card 4",99999,"Not sold separately.",2,34,1,0,0,"item_id003.png",11,114,0,0,,99999
114,"Special 3",99999,"Not sold separately.",2,29,1,0,0,"item_id003.png",11,115,0,0,,99999
115,"Protection 3",99999,"Not sold separately.",2,19,1,0,0,"item_id003.png",11,116,0,0,,99999
116,"Special 1/Shield 1",99999,"Not sold separately.",2,56,1,0,0,"item_id003.png",11,117,0,0,,99999
117,"Special 1/Shield 1",99999,"Not sold separately.",2,56,1,0,0,"item_id003.png",11,118,0,0,,99999
118,"Special 1/Shield 1",99999,"Not sold separately.",2,56,1,0,0,"item_id003.png",11,119,0,0,,99999
119,"Redgrave (Level 3)",99999,"Not sold separately.",4,223,1,0,0,"chara_id241.png",11,120,0,0,,99999
120,"Chance Card 4",99999,"Not sold separately.",2,34,1,0,0,"item_id003.png",11,121,0,0,,99999
121,"Special 3",99999,"Not sold separately.",2,29,1,0,0,"item_id003.png",11,122,0,0,,99999
122,"Protection 3",99999,"Not sold separately.",2,19,1,0,0,"item_id003.png",11,123,0,0,,99999
123,"Special 1/Shield 1",99999,"Not sold separately.",2,56,1,0,0,"item_id003.png",11,124,0,0,,99999
124,"Special 1/Shield 1",99999,"Not sold separately.",2,56,1,0,0,"item_id003.png",11,125,0,0,,99999
125,"Special 1/Shield 1",99999,"Not sold separately.",2,56,1,0,0,"item_id003.png",11,0,0,0,,99999
126,"Desk Set 3",60,"You can buy these cards with a level 31 deck: Jead (Level 5), Kronig (Level 5), Redgrave (Level 5), Chance Card 4, Chance Card 3, Special 3 (4), Special 2 (6), Special 1/Shield 1 (5).",5,551060,1,0,1,"item_deck_a002.png",11,127,3,0,"item_c_k000.swf",60
127,"Kronig (Level 5)",99999,"Not sold separately.",4,55,1,0,0,"chara_id241.png",11,128,0,0,,99999
128,"Special 2",99999,"Not sold separately.",2,28,1,0,0,"item_id003.png",11,129,0,0,,99999
129,"Special 2",99999,"Not sold separately.",2,28,1,0,0,"item_id003.png",11,130,0,0,,99999
130,"Special 3",99999,"Not sold separately.",2,29,1,0,0,"item_id003.png",11,131,0,0,,99999
131,"Special 2",99999,"Not sold separately.",2,28,1,0,0,"item_id003.png",11,132,0,0,,99999
132,"Special 2",99999,"Not sold separately.",2,28,1,0,0,"item_id003.png",11,133,0,0,,99999
133,"Special 2",99999,"Not sold separately.",2,28,1,0,0,"item_id003.png",11,134,0,0,,99999
134,"Jead (Level 5)",99999,"Not sold separately.",4,65,1,0,0,"chara_id241.png",11,135,0,0,,99999
135,"Chance Card 4",99999,"Not sold separately.",2,35,1,0,0,"item_id003.png",11,136,0,0,,99999
136,"Special 3",99999,"Not sold separately.",2,29,1,0,0,"item_id003.png",11,137,0,0,,99999
137,"Move 3",99999,"Not sold separately.",2,24,1,0,0,"item_id003.png",11,138,0,0,,99999
138,"Special 2",99999,"Not sold separately.",2,28,1,0,0,"item_id003.png",11,139,0,0,,99999
139,"Special 1/Shield 1",99999,"Not sold separately.",2,56,1,0,0,"item_id003.png",11,140,0,0,,99999
140,"Special 1/Shield 1",99999,"Not sold separately.",2,56,1,0,0,"item_id003.png",11,141,0,0,,99999
141,"Redgrave (Level 5)",99999,"Not sold separately.",4,225,1,0,0,"chara_id241.png",11,142,0,0,,99999
142,"Chance Card 3",99999,"Not sold separately.",2,34,1,0,0,"item_id003.png",11,143,0,0,,99999
143,"Special 3",99999,"Not sold separately.",2,29,1,0,0,"item_id003.png",11,144,0,0,,99999
144,"Special 3",99999,"Not sold separately.",2,29,1,0,0,"item_id003.png",11,145,0,0,,99999
145,"Special 1/Shield 1",99999,"Not sold separately.",2,56,1,0,0,"item_id003.png",11,146,0,0,,99999
146,"Special 1/Shield 1",99999,"Not sold separately.",2,56,1,0,0,"item_id003.png",11,147,0,0,,99999
147,"Special 1/Shield 1",99999,"Not sold separately.",2,56,1,0,0,"item_id003.png",11,0,0,0,,99999
148,"Peony Hair Ornament (Blue)",99999,"Not sold separately.",1,202,1,99,0,"item_id013.png",11,0,0,0,,99999
149,"Peony Hair Ornament (White)",99999,"Not sold separately.",1,203,1,31,0,"item_id004.png",11,0,0,0,,99999
150,"Long Silk Dress (Blue)",2,"A slitted dress.",1,205,1,221,0,"chara_id2002.png",11,0,0,0,,2
151,"Long Silk Dress (Black)",2,"A slitted dress.",1,206,1,222,0,"chara_id2003.png",11,0,0,0,,2
152,"Silk Pumps (Blue)",2,"Shoes that go well with a dress.",1,208,1,223,0,"chara_id6000.png",11,0,0,0,,2
153,"Silk Pumps (Black)",2,"Shoes that go well with a dress.",1,209,1,224,0,"chara_id6001.png",11,0,0,0,,2
154,"Small Crown (Blue)",99999,,1,257,1,99,0,"item_id013.png",11,94,0,0,,99999
155,"Small Crown (Green)",99999,,1,258,1,99,0,"item_id004.png",11,84,0,0,,99999
156,"Small Crown (Red)",2,,1,256,1,225,0,"chara_id3005.png",11,0,0,0,,2
157,"Prince' Outfit (Red)",2,,1,259,1,226,0,"chara_id4000.png",11,0,0,0,,2
158,"Prince' Outfit (Blue)",2,,1,260,1,227,0,"chara_id4001.png",11,0,0,0,,2
159,"Prince' Pants (Red)",2,"Fine, dignified pants.",1,262,1,228,0,"chara_id5000.png",11,0,0,0,,2
160,"Prince' Pants (Blue)",2,"Fine, dignified pants.",1,263,1,229,0,"chara_id5001.png",11,0,0,0,,2
161,"Frog Prince' Sword (Blue)",2,"A well made but ordinary sword, only wearable by one who is noble.",1,267,1,230,1,"chara_id1700.png",11,0,0,0,,2
162,"Frog Prince' Sword (Red)",2,"A well made but ordinary sword, only wearable by one who is noble.",1,268,1,231,1,"chara_id1702.png",11,0,0,0,,2
163,"ExEventLand Pass 1 (1)",0.7,"Find Event Land's hidden area. (0 minutes)",0,73,1,0,1,"item_id073_1.png",11,0,0,0,,0.7
164,"ExEventLand Pass 1 (5)",3.5,"Find Event Land's hidden area. (0 minutes)",0,73,5,1,1,"item_id073_5.png",11,0,0,0,,3.5
165,"ExEventLand Pass 1 (12)",7,"Find Event Land's hidden area. (0 minutes)",0,73,12,2,1,"item_id073_12.png",11,0,0,0,,7
166,"ExEventLand Pass 2 (1)",0.9,"Find Event Land's hidden area. (2 hours)",0,74,1,3,1,"item_id074_1.png",11,0,0,0,,0.9
167,"ExEventLand Pass 5 (5)",4.5,"Find Event Land's hidden area. (2 hours)",0,74,5,4,1,"item_id074_5.png",11,0,0,0,,4.5
168,"ExEventLand Pass 2 (12)",9,"Find Event Land's hidden area. (2 hours)",0,74,12,5,1,"item_id074_12.png",11,0,0,0,,9
169,"ExEventLand Pass 3 (1)",1.3,"Find Event Land's hidden area. (3 days)",0,75,1,6,1,"item_id075_1.png",11,0,0,0,,1.3
170,"ExEventLand Pass 3 (5)",6.5,"Find Event Land's hidden area. (3 days)",0,75,5,7,1,"item_id075_5.png",11,0,0,0,,6.5
171,"ExEventLand Pass 3 (12)",13,"Find Event Land's hidden area. (3 days)",0,75,12,8,1,"item_id075_12.png",11,0,0,0,,13
172,"First Aid 5 (2)",99999,"Recover 5 HP In Quest",0,15,2,99,0,"item_id003.png",11,0,0,0,,99999
173,"Gothic dress",99999,,3,164,1,99,0,"item_id003.png",11,0,0,0,,99999
174,"Small Crown (Black)",2,,1,276,1,232,1,"chara_id3008.png",11,0,0,0,,2
175,"Fragment of Life (1)",1.5,"A fragment of a life brimming with hope.",4,10009,1,6,0,"chara_id10009.png",11,0,0,0,,1.5
176,"Fragment of Life (12)",15,"A fragment of a life brimming with hope.",4,10009,12,7,0,"chara_id10009_12.png",11,0,0,0,,15
177,"Fragment of Death (1)",2,"A fragment of death overflowing with despair.",4,10010,1,8,0,"chara_id10010.png",11,0,0,0,,2
178,"Fragment of Death (12)",20,"A fragment of death overflowing with despair.",4,10010,12,9,0,"chara_id10010_12.png",11,0,0,0,,20
179,"Halloween Pumpkin",2,,1,100,1,0,1,"chara_id1079.png",11,0,0,0,,2
180,"Halloween Hat",2,,1,101,1,1,1,"chara_id3009.png",11,0,0,0,,2
181,"Halloween Mantle",2,,1,102,1,2,1,"chara_id7000.png",11,0,0,0,,2
182,"Teary-Eyed Expression",2,"Teary-Eyed Expression",1,184,1,3,1,"chara_id1500.png",11,0,0,0,,2
183,"Speechless Expression",2,"Speechless Expression",1,185,1,4,1,"chara_id1600.png",11,0,0,0,,2
184,"Devil Horns",2,,1,186,1,5,1,"chara_id3010.png",11,0,0,0,,2
185,"Pumking's Tunic",2,,1,187,1,6,1,"chara_id4002.png",11,0,0,0,,2
186,"Pumking's Boots",2,,1,188,1,7,1,"chara_id6002.png",11,0,0,0,,2
187,"Leon's Bandana",2,"Leon's Bandana",1,189,1,0,1,"chara_id3012.png",11,0,0,0,,2
188,"Archibald's Fedora",2,"Archibald's Fedora",1,190,1,1,1,"chara_id3011.png",11,0,0,0,,2
189,"Wataboshi (Brown)",2,"Wataboshi (Brown)",1,318,1,0,1,"chara_id1080.png",11,0,0,0,,2
190,"Wataboshi (Blue & Green)",2,"Wataboshi (Blue & Green)",1,319,1,1,1,"chara_id1081.png",11,0,0,0,,2
191,"Melen's Silk Hat",2,"Melen's Silk Hat",1,150,1,0,1,"chara_id3013.png",11,0,0,0,,2
192,"Mysterious Closet",99999,"Allows you to keep 5 more items of avatar clothing.",0,37,1,0,0,"item_id003.png",11,193,0,0,,99999
193,"Bag of Precious Stones (Blue) (1)",99999,,0,55,1,0,0,"item_id003.png",11,194,0,0,,99999
194,"ExAngelLand Pass 1 (1)",99999,"Find Angel Land's hidden area. (0 minutes)",0,66,1,0,0,"item_id003.png",11,195,0,0,,99999
195,"Lucky Four-Leaf Clover (1)",99999,"Reroll the dice in the bonus game.",0,4,1,0,0,"item_id003.png",11,196,0,0,,99999
196,"First Aid 5 (1)",99999,"Recover 5 HP In Quest",0,15,1,0,0,"item_id003.png",11,0,0,0,,99999
197,"Type α Vortex Finder II",3.5,"Use this item during a raid to discover a vortex.Discover a vortex being capable of fighting against a powerful RAID BOSS (MAX HP5,000).",0,80,1,10,1,"item_id076_1.png",11,0,0,0,,3.5
198,"Type α Vortex Finder IIx12",30,"Use this item during a raid to discover a vortex.Discover a vortex being capable of fighting against a powerful RAID BOSS (MAX HP5,000).",0,80,12,11,1,"item_id076_10.png",11,0,0,0,,30
199,"Type α Vortex Finder III",30,"Use this item during a raid to discover a vortex.Discover a vortex being capable of fighting against an extremely powerful RAID BOSS (MAX HP50,000).",0,81,1,12,1,"item_id077_1.png",11,79,0,0,,30
200,"Rosso's Glasses",2,"Rosso's Glasses",1,168,1,0,1,"chara_id3300.png",11,0,0,0,,2
201,"Super electromagnetic balls",2,"Super electromagnetic balls",1,364,1,1,1,"chara_id8006.png",11,0,0,0,,2
202,"Drone",2,"Drone",1,365,1,2,1,"chara_id8004.png",11,0,0,0,,2
203,"Type α Vortex Finder IV",30,"Discover a vortex being capable of fighting against The Red Death (HP50,000).",0,83,1,2,1,"item_id079_1.png",11,79,0,0,,30
204,"Type α Vortex Finder V",30,"Discover a vortex being capable of fighting against The Black Death (HP50,000).",0,84,1,2,1,"item_id078_1.png",11,79,0,0,,30
205,"Short (Silver)",2,"Short (Silver)",1,371,1,233,1,"chara_id1115.png",11,0,0,0,,2
206,"Short (Black)",2,"Short (Black)",1,372,1,234,1,"chara_id1117.png",11,0,0,0,,2
207,"Short (Chocolate)",2,"Short (Chocolate)",1,373,1,235,1,"chara_id1118.png",11,0,0,0,,2
208,"Very Short (White)",2,"Very Short (White)",1,374,1,236,1,"chara_id1133.png",11,0,0,0,,2
209,"Very Short (Black)",2,"Very Short (Black)",1,376,1,237,1,"chara_id1137.png",11,0,0,0,,2
210,"Very Short (Deep Blue)",2,"Very Short (Deep Blue)",1,377,1,238,1,"chara_id1142.png",11,0,0,0,,2
211,"Pigtails(Blonde)",2,"Pigtails(Blonde)",1,378,1,239,1,"chara_id1170.png",11,0,0,0,,2
212,"Pigtails(White)",2,"Pigtails(White)",1,380,1,240,1,"chara_id1173.png",11,0,0,0,,2
213,"Pigtails(Black)",2,"Pigtails(Black)",1,381,1,241,1,"chara_id1177.png",11,0,0,0,,2
214,"Pigtails(Deep Blue)",2,"Pigtails(Deep Blue)",1,382,1,242,1,"chara_id1178.png",11,0,0,0,,2
215,"Two Ponytails(Blonde)",2,"Two Ponytails(Blonde)",1,383,1,243,1,"chara_id1190.png",11,0,0,0,,2
216,"Two Ponytails(White)",2,"Two Ponytails(White)",1,384,1,244,1,"chara_id1193.png",11,0,0,0,,2
