"id","lot_kind","article_kind","article_id","order","rarity","visible","image_url","description","num"
58,0,4,231,405,4,0,,"231 Riesz L1",1
59,0,4,251,404,4,0,,"251 Walken L1",1
60,0,4,261,403,4,0,,"261 Florence L1",1
61,0,4,271,402,4,0,,"271 Palmo L1",1
62,0,4,281,401,4,0,,"281 Asura L1",1
63,0,4,291,400,4,0,,"291 Browning L1",1
64,0,0,27,319,3,0,,"27 Diary of a Doll",1
65,0,0,50,318,3,0,,"50 Small Closet",1
66,0,0,53,317,3,0,,"53 Bag of Precious Stones (Yellow)",1
67,0,0,54,316,3,0,,"54 Bag of Precious Stones (Green)",1
68,0,3,11,315,3,0,,"11 Enchanted Knife",1
69,0,3,12,314,3,0,,"12 Enchanted Clip",1
70,0,3,13,313,3,0,,"13 Enchanted Ring",1
71,0,4,601,312,3,0,,"601 Alicetaria L1",1
72,0,4,611,311,3,0,,"611 Hugo L1",1
73,0,4,621,310,3,0,,"621 Ariane L1",1
74,0,4,631,309,3,0,,"631 Gregor L1",1
75,0,4,641,308,3,0,,"641 Leta L1",1
76,0,4,651,307,3,0,,"651 Epsilon L1",1
77,0,4,661,306,3,0,,"661 Paulette L1",1
78,0,4,671,305,3,0,,"671 Juhani L1",1
79,0,4,681,304,3,0,,"681 Noella L1",1
80,0,4,691,303,3,0,,"691 Raul L1",1
81,0,4,701,302,3,0,,"701 Jamie L1",1
82,0,4,711,301,3,0,,"711 Servaas L1",1
83,0,4,721,300,3,0,,"721 Veronica L1",1
84,0,2,5,201,2,0,,"5 Sword 5",1
85,0,2,13,200,2,0,,"13 Gun 5",1
86,0,3,17,102,1,0,,"17 Black Bayonet",1
87,0,3,19,101,1,0,,"19 Black Melee",1
88,0,3,21,100,1,0,,"21 Black Ammunition",1
89,2,0,55,505,5,0,,"55 Bag of Precious Stones (Blue)",1
90,2,0,56,504,5,0,,"56 Bag of Precious Stones (Red)",1
91,2,0,10,503,5,0,,"10 Copy Ticket",1
92,2,0,3,502,5,0,,"3 Witches' Potion *5",5
93,2,0,8,501,5,0,,"8 Skip Star *5",5
94,2,0,12,500,5,0,,"12 Greater Sands of Time *7",7
95,2,3,71,419,4,0,,"71 Crystal Scythe",1
96,2,3,74,418,4,0,,"74 Ghost Claw",1
97,2,3,77,417,4,0,,"77 Death's Pennant",1
98,2,3,80,416,4,0,,"80 Key of Wisdom",1
99,2,3,83,415,4,0,,"83 Assault Rifle",1
100,2,3,149,414,4,0,,"149 Surrounded and Forsaken",1
101,2,3,152,413,4,0,,"152 Chaos Charm",1
102,2,3,155,412,4,0,,"155 Old Dragon Horn",1
103,2,3,158,411,4,0,,"158 Pure Magic Ring",1
104,2,3,161,410,4,0,,"161 Plasma Wall",1
105,2,4,156,409,4,0,,"156 Donita R1",1
106,2,4,166,408,4,0,,"166 Sprout R1",1
107,2,4,176,407,4,0,,"176 Belinda R1",1
108,2,4,186,406,4,0,,"186 Rosso R1",1
109,2,4,196,405,4,0,,"196 Ada R1",1
110,2,4,416,404,4,0,,"416 Konrad R1",1
111,2,4,426,403,4,0,,"426 Birgit R1",1
112,2,4,436,402,4,0,,"436 Kuhn R1",1
113,2,4,446,401,4,0,,"446 Shalott R1",1
114,2,4,456,400,4,0,,"456 Tyrrell R1",1
115,2,2,53,314,3,0,,"53 Shield 3/Move 1",1
116,2,2,54,313,3,0,,"54 Shield 4/Move 1",1
117,2,2,55,312,3,0,,"55 Shield 5/Move 1",1
118,2,2,66,311,3,0,,"66 Sword 3/Shield 1",1
119,2,2,67,310,3,0,,"67 Sword 4/Shield 2",1
120,2,2,68,309,3,0,,"68 Sword 5/Shield 3",1
121,2,2,69,308,3,0,,"69 Sword 3/Special 1",1
122,2,2,70,307,3,0,,"70 Sword 4/Special 2",1
123,2,2,71,306,3,0,,"71 Sword 5/Special 3",1
124,2,2,75,305,3,0,,"75 Gun 3/Shield 1",1
125,2,2,76,304,3,0,,"76 Gun 4/Shield 2",1
126,2,2,77,303,3,0,,"77 Gun 5/Shield 3",1
127,2,2,78,302,3,0,,"78 Gun 3/Special 1",1
128,2,2,79,301,3,0,,"79 Gun 4/Special 2",1
129,2,2,80,300,3,0,,"80 Gun 5/Special 3",1
130,2,4,715,201,2,0,,"715 Servaas L5",1
131,2,4,725,200,2,0,,"725 Veronica L5",1
132,2,2,7,104,1,0,,"7 Sword 7",1
133,2,2,15,103,1,0,,"15 Gun 7",1
134,2,4,468,102,1,0,,"468 Rudia R3",1
135,2,4,218,101,1,0,,"218 Salgado R3",1
136,2,4,229,100,1,0,,"229 Redgrave R4",1
