"id","name","price","description","rm_item_type","item_id","num","order","state","image_url","tab","extra_id","view_frame","sale_type","deck_image_url","twd","hkd","usd"
22,"ExMoonLand Pass 1 x5",75,"Mencari daerah tersembunyi di ExMoonLand (0 Menit).",0,34,5,24,0,"item_id034_5.png ",9,0,0,0,,75,19.59,2.5
23,"ExMoonLand Pass 2 x5",120,"Mencari daerah tersembunyi di ExMoonLand (2 Jam).",0,35,5,25,0,"item_id035_5.png",9,0,0,0,,120,31.34,4
24,"ExMoonLand Pass 3 x5",165,"Mencari daerah tersembunyi di ExMoonLand (3 Hari).",0,36,5,26,0,"item_id036_5.png",9,0,0,0,,165,43.09,5.5
25,"Memory Fragment",45,"Kepingan memori dari kehidupan sebelumnya.",4,10006,1,0,0,"chara_id10006.png",8,0,0,0,,45,11.75,1.5
26,"Memory Fragment x12",450,"Kepingan memori dari kehidupan sebelumnya.",4,10006,12,1,0,"chara_id10006_12.png",8,0,0,0,,450,117.51,15
27,"Time Fragment",60,"Kepingan waktu yang dapat digunakan untuk mengarungi waktu.",4,10007,1,2,0,"chara_id10007.png",8,0,0,0,,60,15.67,2
28,"Time Fragment x12",600,"Kepingan waktu yang dapat digunakan untuk mengarungi waktu.",4,10007,12,3,0,"chara_id10007_12.png",8,0,0,0,,600,156.68,20
29,"Soul Fragment",75,"Kepingan jiwa yang hilang.",4,10008,1,4,0,"chara_id10008.png",8,0,0,0,,75,19.59,2.5
30,"Soul Fragment x12",750,"Kepingan jiwa yang hilang.",4,10008,12,5,0,"chara_id10008_12.png",8,0,0,0,,750,195.85,25
31,"Pioneer Bracelet I",60,"Menambah 1 slot pencarian (berlaku selama 30 hari).",0,9,1,3,0,"item_id013.png",10,0,0,0,,60,15.67,2
32,"Pioneer Bracelet II",105,"Menambah 2 slot pencarian (berlaku selama 30 hari).",0,9,1,4,0,"item_id013.png",10,0,0,0,,105,27.42,3.5
33,"Pioneer Bracelet III",135,"Menambah 3 slot pencarian (berlaku selama 30 hari).",0,9,1,5,0,"item_id013.png",10,0,0,0,,135,35.25,4.5
34,"Mystery Tiara I",60,"Mengurangi waktu pencarian Quest sebanyak 30% (berlaku selama 30 hari).",1,57,1,100,0,"chara_id1003.png",9,0,0,0,,60,15.67,2
35,"Mystery Tiara II",105,"Mengurangi waktu pencarian Quest sebanyak 50% (berlaku selama 30 hari).",1,58,1,101,0,"chara_id1004.png",9,0,0,0,,105,27.42,3.5
36,"Mystery Tiara III",135,"Mengurangi waktu pencarian Quest sebanyak 75% (berlaku selama 30 hari).",1,59,1,102,0,"chara_id1005.png",9,0,0,0,,135,35.25,4.5
37,"Fairy Familiar I",60,"Menambah 1 slot pencarian (berlaku selama 30 hari).",1,60,1,103,0,"chara_id1006.png",9,0,0,0,,60,15.67,2
38,"Fairy Familiar II",105,"Menambah 2 slot pencarian (berlaku selama 30 hari).",1,61,1,104,0,"chara_id1007.png",9,0,0,0,,105,27.42,3.5
39,"Fairy Familiar III",135,"Menambah 3 slot pencarian (berlaku selama 30 hari).",1,62,1,105,0,"chara_id1008.png",9,0,0,0,,135,35.25,4.5
40,"Witch Earrings I",60,"Mempercepat pemulihan AP 10 menit (berlaku selama 30 hari).",1,63,1,106,0,"chara_id1009.png",9,0,0,0,,60,15.67,2
41,"Witch Earrings II",105,"Mempercepat pemulihan AP 15 menit (berlaku selama 30 hari).",1,64,1,107,0,"chara_id1010.png",9,0,0,0,,105,27.42,3.5
42,"Witch Earrings III",135,"Mempercepat pemulihan AP 20 menit (berlaku selama 30 hari).",1,65,1,108,0,"chara_id1011.png",9,0,0,0,,135,35.25,4.5
43,"Fortune Wand I",60,"Memberi bonus 50% GEM (berlaku selama 30 hari).",1,66,1,109,0,"chara_id1012.png",9,0,0,0,,60,15.67,2
44,"Fortune Wand II",105,"Memberi bonus 100% GEM (berlaku selama 30 hari).",1,67,1,110,0,"chara_id1013.png",9,0,0,0,,105,27.42,3.5
45,"Fortune Wand III",135,"Memberi bonus 200% GEM (berlaku selama 30 hari).",1,68,1,111,0,"chara_id1014.png",9,0,0,0,,135,35.25,4.5
46,"Eye Patch (White)",60,"Dapat digunakan sebagai perban.",1,79,1,200,0,"chara_id1015.png",9,0,0,0,,60,15.67,2
47,"Mush (Brown)",60,"Gaya rambut anak-anak.",1,72,1,201,0,"chara_id1021.png",9,0,0,0,,60,15.67,2
48,"Mush (White)",60,"Gaya rambut anak-anak.",1,73,1,202,0,"chara_id1023.png",9,0,0,0,,60,15.67,2
49,"Twin Tail (Blond)",60,"Gaya rambut bangsawan.",1,75,1,203,0,"chara_id1030.png",9,0,0,0,,60,15.67,2
50,"Twin Tail (Brown)",60,"Gaya rambut bangsawan.",1,76,1,204,0,"chara_id1031.png",9,0,0,0,,60,15.67,2
51,"Ticket",0,"Untuk Administrator.",0,9,1,0,0,"item_id003.png",10,0,0,0,,0,0,0
52,"White Heath 3",0,"Untuk Administrator.",0,6,1,0,0,"item_id003.png",10,0,0,0,,0,0,0
53,"White Heath 1",0,"Untuk Administrator.",0,5,1,0,0,"item_id003.png",10,0,0,0,,0,0,0
54,"Long Hair (Blond)",60,"Gaya rambut dewasa.",1,89,1,205,0,"chara_id1040.png",9,0,0,0,,60,15.67,2
55,"Long Hair (White)",60,"Gaya rambut dewasa.",1,90,1,206,0,"chara_id1043.png",9,0,0,0,,60,15.67,2
56,"Long Hair (Black)",60,"Gaya rambut dewasa.",1,91,1,207,0,"chara_id1047.png",9,0,0,0,,60,15.67,2
57,"Blue Glasses",45,"Kacamata pembantu penglihatan.",1,92,1,208,0,"chara_id1017.png",9,0,0,0,,45,11.75,1.5
58,"Red Glasses",45,"Kacamata pembantu penglihatan.",1,93,1,209,0,"chara_id1018.png",9,0,0,0,,45,11.75,1.5
59,"Mystery Closet",105,"Menambah 5 slot perlengkapan Avatar.",0,37,1,30,0,"item_id037.png",9,0,0,0,,105,27.42,3.5
60,"Casual Short (Blond)",60,"Gaya rambut halus.",1,103,1,210,0,"chara_id1050.png",9,0,0,0,,60,15.67,2
61,"Casual Short (Blue)",60,"Gaya rambut halus.",1,104,1,211,0,"chara_id1052.png",9,0,0,0,,60,15.67,2
62,"Casual Short (Red)",60,"Gaya rambut halus.",1,105,1,212,0,"chara_id1056.png",9,0,0,0,,60,15.67,2
63,"Blue Purification Flame",300,"Mereset catatan duel Avatar.",0,40,1,32,0,"item_id040.png",9,0,0,0,,300,78.34,10
64,"Red Purification Flame",300,"Mereset BP dari Avatar.",0,41,1,33,0,"item_id041.png",9,0,0,0,,300,78.34,10
65,"Witch Closet",150,"Menambah 10 slot perlengkapan Avatar.",0,42,1,31,0,"item_id042.png",9,0,0,0,,150,39.17,5
66,"Noble Long (Blue)",60,"Rambut lurus.",1,115,1,213,0,"chara_id1062.png",9,0,0,0,,60,15.67,2
67,"Noble Long (Red)",60,"Rambut lurus.",1,116,1,214,0,"chara_id1063.png",9,0,0,0,,60,15.67,2
68,"Noble Long (Black)",60,"Rambut lurus.",1,117,1,215,0,"chara_id1067.png",9,0,0,0,,60,15.67,2
69,"Long (Blond)",60,"Rambut panjang lurus.",1,118,1,216,0,"chara_id1070.png",9,0,0,0,,60,15.67,2
70,"Long (Red)",60,"Rambut panjang lurus.",1,119,1,217,0,"chara_id1076.png",9,0,0,0,,60,15.67,2
71,"Long (Brown)",60,"Rambut panjang lurus.",1,120,1,218,0,"chara_id1078.png",9,0,0,0,,60,15.67,2
72,"New Year's Dress (Green)",60,"Baju khusus Tahun Baru.",1,122,1,219,0,"chara_id2000.png",9,0,0,0,,60,15.67,2
73,"New Year's Dress (Purple)",60,"Baju khusus Tahun Baru.",1,123,1,220,0,"chara_id2001.png",9,0,0,0,,60,15.67,2
74,"Milian",540,"Mantan prajurit Regiment bertangan satu yang pernah bekerja bersama Rosso.",4,241,1,4,0,"chara_id241.png",10,0,0,0,,540,141.01,18
75,"ExAnemonea Pass 1 x5",105,"Mencari area tersembunyi di ExAnemonea.",0,47,5,27,0,"item_id047_5.png",6,0,0,0,,105,27.42,3.5
76,"ExAnemonea Pass 2 x5",135,"Mencari area tersembunyi di ExAnemonea (2 Jam).",0,48,5,28,0,"item_id048_5.png",6,0,0,0,,135,35.25,4.5
77,"ExAnemonea Pass 3 x5",195,"Mencari area tersembunyi di ExAnemonea (3 Hari).",0,49,5,29,0,"item_id049_5.png",6,0,0,0,,195,50.92,6.5
78,"Hades Seal",99999,"Item Khusus Bonus.",4,10011,1,99,0,"item_id003.png",10,0,0,0,,99999,99999,99999
79,"Hades Seal x2",99999,"Item Khusus Bonus.",4,10011,2,99,0,"item_id003.png",10,0,0,0,,99999,99999,99999
80,"Quest Set A",105,"Set Quest. Magic Potion x2. Hourglass x3. Elixir x2.",0,3,2,80,1,"item_set_b000.png",1,81,0,0,,105,27.42,3.5
81,"Hourglass x3",99999,"Set diskon.",0,12,3,99,0,"item_id012.png",10,82,0,0,,99999,99999,99999
82,"Elixir x2",99999,"Set diskon.",0,17,2,99,0,"item_id013.png",10,0,0,0,,99999,99999,99999
83,"Quest Set B",195,"Set Quest. Magic Potion x2. Hourglass x3. Elixir x2. Demon Compass x2. Special Mushroom Extract. Avatar Parts.",0,3,2,81,1,"item_set_b001.png",1,155,0,0,,195,50.92,6.5
84,"Hourglass x3",99999,"Set diskon.",0,12,3,99,0,"item_id012.png",10,86,0,0,,99999,99999,99999
85,"Elixir x2",99999,"Set diskon.",1,199,1,99,0,"item_id003.png",10,0,0,0,,99999,99999,99999
86,"Demon Compass",99999,"Set diskon.",0,24,2,99,0,"item_id023.png",10,87,0,0,,99999,99999,99999
87,"Mushroom Extract",99999,"Set diskon.",0,38,1,99,0,"item_id023.png",10,88,0,0,,99999,99999,99999
88,"Long (Blond)",99999,"Rambut panjang.",0,17,2,99,0,"item_id013.png",10,0,0,0,,99999,99999,99999
89,"Duel Set A",105,"Set Duel. Magic Potion. Lucky Clover x3. White Heath 5 x3.",0,3,1,90,1,"item_set_a000.png",2,90,0,0,,105,27.42,3.5
90,"Lucky Clover x3",99999,"Set diskon.",0,4,3,99,0,"item_id004.png",10,91,0,0,,99999,99999,99999
91,"White Heath 5 x3",99999,"Set diskon.",0,7,3,99,0,"item_id007.png",10,0,0,0,,99999,99999,99999
92,"Duel Set B",195,"Set Duel. Special Mushroom Extract. Lucky Clover x5. White Heath 5 x3. Skip Star x3. Black Mini Hat (pada pembelian pertama).",0,4,5,91,1,"item_set_a001.png",2,154,0,0,,195,50.92,6.5
93,"Mini Hat (Black)",99999,"Set diskon.",1,198,1,31,0,"item_id004.png",10,0,0,0,,99999,99999,99999
94,"White Heath 5 x3",99999,"Set diskon.",0,7,3,99,0,"item_id007.png",10,95,0,0,,99999,99999,99999
95,"Skip Star x3",99999,"Set diskon.",0,8,3,99,0,"item_id008.png",10,96,0,0,,99999,99999,99999
96,"Mushroom Extract",99999,"Set diskon.",0,38,1,99,0,"item_id023.png",10,0,0,0,,99999,99999,99999
97,"ExAngelLand Pass 1 x5",120,"Mencari area tersembunyi di ExAngelLand.",0,66,5,5,1,"item_id066_5.png",6,0,0,0,,120,31.34,4
98,"ExAngelLand Pass 2 x5",150,"Mencari area tersembunyi di ExAngelLand (2 Jam).",0,67,5,6,1,"item_id067_5.png",6,0,0,0,,150,39.17,5
99,"ExAngelLand Pass 3 x5",210,"Mencari area tersembunyi di ExAngelLand (3 Hari).",0,68,5,7,1,"item_id068_5.png",6,0,0,0,,210,54.84,7
100,"Deck Set 1",300,"Mendapatkan kartu berikut dalam Deck LV21. Evarist LV4. Grunwald LV4. Abel LV4.",5,114060,1,0,1,"item_deck_a000.png",10,101,1,0,"item_c_k000.swf",300,78.34,10
101,"Evarist Lv4",99999,"Set diskon.",4,4,1,0,0,"chara_id241.png",10,102,0,0,,99999,99999,99999
102,"Grunwald Lv4",99999,"Set diskon.",4,24,1,0,0,"item_id003.png",10,103,0,0,,99999,99999,99999
103,"Abel Lv4",99999,"Set diskon.",4,34,1,0,0,"item_id003.png",10,0,0,0,,99999,99999,99999
104,"Deck Set 2",900,"Mendapatkan kartu berikut dalam Deck LV21. Jead LV3. Kronig LV3. Redgrave LV3. CHANCE3 x2. SPECIAL3 x2. SPECIAL2 x6. SPECIAL1/SHIELD1 x6. SHIELD3 x2.",5,114060,1,0,1,"item_deck_a001.png",10,105,2,0,"item_c_k000.swf",900,235.02,30
105,"Kronig Lv3",99999,"Set diskon.",4,53,1,0,0,"chara_id241.png",10,106,0,0,,99999,99999,99999
106,"Special 2",99999,"Set diskon.",2,28,1,0,0,"item_id003.png",10,107,0,0,,99999,99999,99999
107,"Special 2",99999,"Set diskon.",2,28,1,0,0,"item_id003.png",10,108,0,0,,99999,99999,99999
108,"Special 2",99999,"Set diskon.",2,28,1,0,0,"item_id003.png",10,109,0,0,,99999,99999,99999
109,"Special 2",99999,"Set diskon.",2,28,1,0,0,"item_id003.png",10,110,0,0,,99999,99999,99999
110,"Special 2",99999,"Set diskon.",2,28,1,0,0,"item_id003.png",10,111,0,0,,99999,99999,99999
111,"Special 2",99999,"Set diskon.",2,28,1,0,0,"item_id003.png",10,112,0,0,,99999,99999,99999
112,"Jead Lv3",99999,"Set diskon.",4,63,1,0,0,"chara_id241.png",10,113,0,0,,99999,99999,99999
113,"Chance Card 4",99999,"Set diskon.",2,34,1,0,0,"item_id003.png",10,114,0,0,,99999,99999,99999
114,"Special 3",99999,"Set diskon.",2,29,1,0,0,"item_id003.png",10,115,0,0,,99999,99999,99999
115,"Shield 3",99999,"Set diskon.",2,19,1,0,0,"item_id003.png",10,116,0,0,,99999,99999,99999
116,"Shield 1/Special 1",99999,"Set diskon.",2,56,1,0,0,"item_id003.png",10,117,0,0,,99999,99999,99999
117,"Shield 1/Special 1",99999,"Set diskon.",2,56,1,0,0,"item_id003.png",10,118,0,0,,99999,99999,99999
118,"Shield 1/Special 1",99999,"Set diskon.",2,56,1,0,0,"item_id003.png",10,119,0,0,,99999,99999,99999
119,"Redgrave Lv5",99999,"Set diskon.",4,223,1,0,0,"chara_id241.png",10,120,0,0,,99999,99999,99999
120,"Chance Card 4",99999,"Set diskon.",2,34,1,0,0,"item_id003.png",10,121,0,0,,99999,99999,99999
121,"Special 3",99999,"Set diskon.",2,29,1,0,0,"item_id003.png",10,122,0,0,,99999,99999,99999
122,"Shield 3",99999,"Set diskon.",2,19,1,0,0,"item_id003.png",10,123,0,0,,99999,99999,99999
123,"Shield 1/Special 1",99999,"Set diskon.",2,56,1,0,0,"item_id003.png",10,124,0,0,,99999,99999,99999
124,"Shield 1/Special 1",99999,"Set diskon.",2,56,1,0,0,"item_id003.png",10,125,0,0,,99999,99999,99999
125,"Shield 1/Special 1",99999,"Set diskon.",2,56,1,0,0,"item_id003.png",10,0,0,0,,99999,99999,99999
126,"Deck Set 3",1800,"Mendapatkan kartu berikut dalam Deck LV31. Jead LV5. Kronig LV5. Redgrave LV5. CHANCE4. CHANCE3. SPECIAL3 x4. SPECIAL2 x6. SPECIAL1/SHIELD1 x5.",5,551060,1,0,1,"item_deck_a002.png",10,127,3,0,"item_c_k000.swf",1800,470.04,60
127,"Kronig Lv5",99999,"Set diskon.",4,55,1,0,0,"chara_id241.png",10,128,0,0,,99999,99999,99999
128,"Special 2",99999,"Set diskon.",2,28,1,0,0,"item_id003.png",10,129,0,0,,99999,99999,99999
129,"Special 2",99999,"Set diskon.",2,28,1,0,0,"item_id003.png",10,130,0,0,,99999,99999,99999
130,"Special 2",99999,"Set diskon.",2,29,1,0,0,"item_id003.png",10,131,0,0,,99999,99999,99999
131,"Special 2",99999,"Set diskon.",2,28,1,0,0,"item_id003.png",10,132,0,0,,99999,99999,99999
132,"Special 2",99999,"Set diskon.",2,28,1,0,0,"item_id003.png",10,133,0,0,,99999,99999,99999
133,"Special 2",99999,"Set diskon.",2,28,1,0,0,"item_id003.png",10,134,0,0,,99999,99999,99999
134,"Jead Lv5",99999,"Set diskon.",4,65,1,0,0,"chara_id241.png",10,135,0,0,,99999,99999,99999
135,"Chance Card 4",99999,"Set diskon.",2,35,1,0,0,"item_id003.png",10,136,0,0,,99999,99999,99999
136,"Special 3",99999,"Set diskon.",2,29,1,0,0,"item_id003.png",10,137,0,0,,99999,99999,99999
137,"Move 3",99999,"Set diskon.",2,24,1,0,0,"item_id003.png",10,138,0,0,,99999,99999,99999
138,"Special 2",99999,"Set diskon.",2,28,1,0,0,"item_id003.png",10,139,0,0,,99999,99999,99999
139,"Shield 1/Special 1",99999,"Set diskon.",2,56,1,0,0,"item_id003.png",10,140,0,0,,99999,99999,99999
140,"Shield 1/Special 1",99999,"Set diskon.",2,56,1,0,0,"item_id003.png",10,141,0,0,,99999,99999,99999
141,"Redgrave Lv5",99999,"Set diskon.",4,225,1,0,0,"chara_id241.png",10,142,0,0,,99999,99999,99999
142,"Chance Card 3",99999,"Set diskon.",2,34,1,0,0,"item_id003.png",10,143,0,0,,99999,99999,99999
143,"Special 3",99999,"Set diskon.",2,29,1,0,0,"item_id003.png",10,144,0,0,,99999,99999,99999
144,"Special 3",99999,"Set diskon.",2,29,1,0,0,"item_id003.png",10,145,0,0,,99999,99999,99999
145,"Shield 1/Special 1",99999,"Set diskon.",2,56,1,0,0,"item_id003.png",10,146,0,0,,99999,99999,99999
146,"Shield 1/Special 1",99999,"Set diskon.",2,56,1,0,0,"item_id003.png",10,147,0,0,,99999,99999,99999
147,"Shield 1/Special 1",99999,"Set diskon.",2,56,1,0,0,"item_id003.png",10,0,0,0,,99999,99999,99999
148,"Peony Hair Ornament (Blue)",99999,"Set diskon.",1,202,1,99,0,"item_id013.png",10,0,0,0,,99999,99999,99999
149,"Peony Hair Ornament (White)",99999,"Set diskon.",1,203,1,31,0,"item_id004.png",10,0,0,0,,99999,99999,99999
150,"Silk Dress (Blue)",60,"Dress berpotongan rendah.",1,205,1,221,0,"chara_id2002.png",9,0,0,0,,60,15.67,2
151,"Silk Dress (Black)",60,"Dress berpotongan rendah.",1,206,1,222,0,"chara_id2003.png",9,0,0,0,,60,15.67,2
152,"Silk Pumps (Blue)",60,"Sepatu yang cocok dengan gaun.",1,208,1,223,0,"chara_id6000.png",9,0,0,0,,60,15.67,2
153,"Silk Pumps (Black)",60,"Sepatu yang cocok dengan gaun.",1,209,1,224,0,"chara_id6001.png",9,0,0,0,,60,15.67,2
154,"ミニクラウン（青）",99999,"セット販売用",1,257,1,99,0,"item_id013.png",10,94,0,0,,99999,99999,99999
155,"ミニクラウン（緑）",99999,"セット販売用",1,258,1,99,0,"item_id004.png",10,84,0,0,,99999,99999,99999
156,"ミニクラウン（赤）",60,"高貴な者だけが身につける事を許された王冠",1,256,1,225,0,"chara_id3005.png",9,0,0,0,,60,15.67,2
157,"王子の服（赤）",60,"気品漂う服",1,259,1,226,0,"chara_id4000.png",9,0,0,0,,60,15.67,2
158,"王子の服（青）",60,"気品漂う服",1,260,1,227,0,"chara_id4001.png",9,0,0,0,,60,15.67,2
159,"王子のパンツ（赤）",60,"気品漂うパンツ",1,262,1,228,0,"chara_id5000.png",9,0,0,0,,60,15.67,2
160,"王子のパンツ（青）",60,"気品漂うパンツ",1,263,1,229,0,"chara_id5001.png",9,0,0,0,,60,15.67,2
161,"カエル王子の剣（青）",60,"高貴な者だけが身につける事を許された剣。特殊な効果は無い",1,267,1,0,1,"chara_id1700.png",9,0,0,0,,60,15.67,2
162,"カエル王子の剣（緑）",60,"高貴な者だけが身につける事を許された剣。特殊な効果は無い",1,268,1,1,1,"chara_id1702.png",9,0,0,0,,60,15.67,2
163,"ExEventLand通行証1",21,"開催中のイベントに応じた専用クエストを取得します（0分）　個数1　現在取得するクエスト：青碧の魔物イベント",0,73,1,0,1,"item_id073_1.png",10,0,0,0,,21,5.48,0.7
164,"ExEventLand通行証1x5",105,"開催中のイベントに応じた専用クエストを取得します（0分）　個数5　現在取得するクエスト：青碧の魔物イベント",0,73,5,1,1,"item_id073_5.png",10,0,0,0,,105,27.42,3.5
165,"ExEventLand通行証1x12",210,"開催中のイベントに応じた専用クエストを取得します（0分）　個数12　現在取得するクエスト：青碧の魔物イベント",0,73,12,2,1,"item_id073_12.png",10,0,0,0,,210,54.84,7
166,"ExEventLand通行証2",27,"開催中のイベントに応じた専用クエストを取得します（2時間）　個数1　現在取得するクエスト：青碧の魔物イベント",0,74,1,3,1,"item_id074_1.png",10,0,0,0,,27,7.05,0.9
167,"ExEventLand通行証2x5",135,"開催中のイベントに応じた専用クエストを取得します（2時間）　個数5　現在取得するクエスト：青碧の魔物イベント",0,74,5,4,1,"item_id074_5.png",10,0,0,0,,135,35.25,4.5
168,"ExEventLand通行証2x12",270,"開催中のイベントに応じた専用クエストを取得します（2時間）　個数12　現在取得するクエスト：青碧の魔物イベント",0,74,12,5,1,"item_id074_12.png",10,0,0,0,,270,70.51,9
169,"ExEventLand通行証3",39,"開催中のイベントに応じた専用クエストを取得します（3日）　個数1　現在取得するクエスト：青碧の魔物イベント",0,75,1,6,1,"item_id075_1.png",10,0,0,0,,39,10.18,1.3
170,"ExEventLand通行証3x5",195,"開催中のイベントに応じた専用クエストを取得します（3日）　個数5　現在取得するクエスト：青碧の魔物イベント",0,75,5,7,1,"item_id075_5.png",10,0,0,0,,195,50.92,6.5
171,"ExEventLand通行証3x12",390,"開催中のイベントに応じた専用クエストを取得します（3日）　個数12　現在取得するクエスト：青碧の魔物イベント",0,75,12,8,1,"item_id075_12.png",10,0,0,0,,390,101.84,13
172,"ファーストエイド5x2",99999,"管理者用",0,15,2,99,0,"item_id003.png",10,0,0,0,,99999,99999,99999
173,"ゴシックドレス",99999,"管理者用",3,164,1,99,0,"item_id003.png",10,0,0,0,,99999,99999,99999
174,"ミニクラウン（黒）",60,"高貴な者だけが身につける事を許された王冠",1,276,1,2,1,"chara_id3008.png",9,0,0,0,,60,15.67,2
175,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
176,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
177,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
178,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
179,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
180,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
181,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
182,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
183,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
184,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
185,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
186,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
187,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
188,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
189,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
190,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
191,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
192,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
193,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
194,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
195,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
196,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
197,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
198,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
199,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
200,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
201,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
202,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
203,"dummy",0,"dummy",0,6,1,0,2,"item_id003.png",10,0,0,0,,0,0,0
