"id","kind","cond","items","prerequisite","exclusion","loop","caption","success_cond","explanation","event_start_at","event_end_at"
46,4,46,"1/201/1",45,,0,"Mengumpulkan 20 kepingan Anniversary Coin.",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC"
47,4,47,"4/99/1",46,,0,"Mengumpulkan 30 kepingan Anniversary Coin.",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC"
48,4,48,"4/97/1+4/98/1",34,,0,"Mengalahkan Ubos!",0,"Menyelesaikan [Ubos Lake].","2011-09-14 05:31:00 UTC",
49,4,49,"3/30/1+4/100/1",0,,0,"Mengumpulkan Quest ☆1・☆2・☆3 secara bersamaan!",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC"
50,4,50,"3/30/1+4/101/1",0,,0,"Mengumpulkan Quest ☆4・☆5・☆6 secara bersamaan!",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC"
51,4,51,"3/30/1+4/102/1",0,,0,"Mengumpulkan Quest ☆7・☆8・☆9 secara bersamaan!",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC"
52,4,52,"3/38/1+4/109/1",0,,0,"Mendapatkan Rosso LV1.",0,,"2011-09-14 05:31:00 UTC","2011-11-30 03:00:00 UTC"
53,4,53,"3/38/1+4/110/1",52,,0,"Mendapatkan Rosso LV3.",0,,"2011-09-14 05:31:00 UTC","2011-11-30 03:00:00 UTC"
54,4,54,"3/38/1+2/59/1/2",53,,0,"Mendapatkan Rosso LV5.",0,,"2011-09-14 05:31:00 UTC","2011-11-30 03:00:00 UTC"
55,4,55,"3/38/1+4/106/1",0,,0,"Mendapatkan Evil Hare LV1.",0,,"2011-09-14 05:31:00 UTC","2011-11-30 03:00:00 UTC"
56,4,56,"3/38/1+4/108/1+4/107/1",55,,0,"Mendapatkan 3 White Great Hare LV2 & LV3, Werewolf LV2.",0,,"2011-09-14 05:31:00 UTC","2011-11-30 03:00:00 UTC"
57,4,57,"3/38/1+2/60/1/2",56,,0,"Mendapatkan 3 Evil Hare LV3, Lycanthrope LV3, & Red Cap LV3.",0,,"2011-09-14 05:31:00 UTC","2011-11-30 03:00:00 UTC"
58,4,58,"3/38/1+3/39/1",0,,0,"Menyelesaikan misi rahasia.",0,,"2011-09-14 05:31:00 UTC","2011-11-30 03:00:00 UTC"
59,4,59,"3/29/1+4/111/1",0,,0,"Membunuh Cramps.",0,,"2011-09-14 05:31:00 UTC","2011-12-28 03:00:00 UTC"
60,4,60,"3/27/1+4/112/1",59,,0,"Membunuh 3 Cramps.",0,,"2011-09-14 05:31:00 UTC","2011-12-28 03:00:00 UTC"
61,4,61,"3/28/1+4/113/1",60,,0,"Membunuh 5 Cramps.",0,,"2011-09-14 05:31:00 UTC","2011-12-28 03:00:00 UTC"
62,4,62,"1/20004/1+4/114/1",61,,0,"Membunuh 10 Cramps.",0,,"2011-09-14 05:31:00 UTC","2011-12-28 03:00:00 UTC"
63,4,63,"1/10006/5+3/43/3",0,,0,"Menyelesaikan misi rahasia.",0,,"2011-12-14 06:00:00 UTC","2011-12-28 03:00:00 UTC"
64,4,64,"1/10007/5+3/43/5",63,,0,"Menyelesaikan misi rahasia 2.",0,,"2011-12-14 06:00:00 UTC","2011-12-28 03:00:00 UTC"
65,4,65,"1/10008/5+3/43/10",64,,0,"Menyelesaikan misi rahasia 3.",0,,"2011-12-14 06:00:00 UTC","2011-12-28 03:00:00 UTC"
66,4,66,"2/99/1/0",0,,0,"Mendapatkan Milian Level 3.",243,,"2012-02-15 06:00:00 UTC","2012-02-29 03:00:00 UTC"
67,4,67,"3/27/1",0,,0,"Menjalankan 5 duel.",0,,"2012-01-18 06:00:00 UTC","2012-02-01 03:00:00 UTC"
68,4,68,"4/124/1",67,,0,"Menjalankan 10 duel.",0,,"2012-01-18 06:00:00 UTC","2012-02-01 03:00:00 UTC"
69,4,69,"4/121/1",68,,0,"Menjalankan 30 duel.",0,,"2012-01-18 06:00:00 UTC","2012-02-01 03:00:00 UTC"
70,4,70,"2/24/1/0",69,,0,"Menjalankan 60 duel.",0,,"2012-01-18 06:00:00 UTC","2012-02-01 03:00:00 UTC"
71,4,71,"3/39/1",70,,0,"Menjalankan 110 duel.",0,,"2012-01-18 06:00:00 UTC","2012-02-01 03:00:00 UTC"
72,4,72,"3/24/1",0,,0,"Menyelesaikan misi rahasia.",0,,"2012-01-18 06:00:00 UTC","2012-02-01 03:00:00 UTC"
73,1,73,"4/125/1",30,,0,"Memenangkan 3000 duel.",3000,,"2011-09-14 05:31:00 UTC",
74,4,74,"2/102/1/0",0,,0,"Mendapatkan Walken LV3.",253,,"2012-02-01 06:00:00 UTC","2012-02-15 03:00:00 UTC"
75,4,75,"4/126/1+3/26/1",0,"79+83+87",0,"Menyelesaikan [Sheri Invitation] 3x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
76,4,76,"4/127/1+3/17/1",75,,0,"Menyelesaikan [Sheri Invitation] 8x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
77,4,77,"4/128/1+3/37/1",76,,0,"Menyelesaikan [Sheri Invitation] 15x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
78,4,78,"2/57/1/0",77,,0,"Menyelesaikan [Sheri Invitation] 30x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
79,4,79,"4/129/1+3/26/1",0,"75+83+87",0,"Menyelesaikan [Ayn Invitation] 3x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
80,4,80,"4/130/1+3/17/1",79,,0,"Menyelesaikan [Ayn Invitation] 8x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
81,4,81,"4/131/1+3/37/1",80,,0,"Menyelesaikan [Ayn Invitation] 15x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
82,4,82,"2/60/1/0",81,,0,"Menyelesaikan [Ayn Invitation] 30x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
83,4,83,"4/132/1+3/26/1",0,"75+79+87",0,"Menyelesaikan [Marguerite Invitation] 3x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
84,4,84,"4/133/1+3/17/1",83,,0,"Menyelesaikan [Marguerite Invitation] 8x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
85,4,85,"4/134/1+3/37/1",84,,0,"Menyelesaikan [Marguerite Invitation] 15x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
86,4,86,"2/69/1/0",85,,0,"Menyelesaikan [Marguerite Invitation] 30x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
87,4,87,"4/135/1+3/26/1",0,"75+79+83",0,"Menyelesaikan [Donita Invitation] 3x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
88,4,88,"4/136/1+3/17/1",87,,0,"Menyelesaikan [Donita Invitation] 8x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
89,4,89,"4/137/1+3/37/1",88,,0,"Menyelesaikan [Donita Invitation] 15x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
90,4,90,"2/72/1/0",89,,0,"Menyelesaikan [Donita Invitation] 30x.",0,,"2012-02-08 06:00:00 UTC","2012-02-22 03:00:00 UTC"
91,4,91,"2/108/1/0",0,,0,"Mendapatkan Palmo LV3.",273,,"2012-02-29 06:00:00 UTC","2012-03-14 03:00:00 UTC"
92,4,92,"4/139/1+3/25/1",0,,0,"Menyelesaikan [Evarist Invitation] 3x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
93,4,93,"4/140/1+3/21/1",92,,0,"Menyelesaikan [Evarist Invitation] 8x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
94,4,94,"4/141/1+3/27/1",93,,0,"Menyelesaikan [Evarist Invitation] 15x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
95,4,95,"2/27/1/0",94,,0,"Menyelesaikan [Evarist Invitation] 30x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
96,4,96,"4/142/1+3/25/1",0,,0,"Menyelesaikan [Grunwald Invitation] 3x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
97,4,97,"4/143/1+3/21/1",96,,0,"Menyelesaikan [Grunwald Invitation] 8x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
98,4,98,"4/144/1+3/27/1",97,,0,"Menyelesaikan [Grunwald Invitation] 15x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
99,4,99,"2/33/1/0",98,,0,"Menyelesaikan [Grunwald Invitation] 30x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
100,4,100,"4/145/1+3/25/1",0,,0,"Menyelesaikan [Abel Invitation] 3x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
101,4,101,"4/146/1+3/21/1",100,,0,"Menyelesaikan [Abel Invitation] 8x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
102,4,102,"4/147/1+3/27/1",101,,0,"Menyelesaikan [Abel Invitation] 15x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
103,4,103,"2/36/1/0",102,,0,"Menyelesaikan [Abel Invitation] 30x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
104,4,104,"4/148/1+3/25/1",0,,0,"Menyelesaikan [Mysterious Invitation] 3x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
105,4,105,"4/149/1+3/21/1",104,,0,"Menyelesaikan [Mysterious Invitation] 8x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
106,4,106,"4/150/1+3/27/1",105,,0,"Menyelesaikan [Mysterious Invitation] 15x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
107,4,107,"4/151/1+3/42/1",106,,0,"Menyelesaikan [Mysterious Invitation] 30x.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
108,4,108,"3/46/1",0,,0,"Menyelesaikan semua quest Invitation.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
109,4,109,"3/45/1",0,,0,"Memenangkan 5 duel.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
110,4,110,"3/45/2",109,,0,"Memenangkan 10 duel.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
111,4,111,"3/45/3",110,,0,"Memenangkan 25 duel.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
112,4,112,"3/45/5",111,,0,"Memenangkan 50 duel.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
113,4,113,"3/45/8",112,,0,"Memenangkan 100 duel.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
114,4,114,"3/45/15",113,,0,"Memenangkan 200 duel.",0,,"2012-03-07 04:00:00 UTC","2012-03-21 03:00:00 UTC"
115,4,115,"3/9/1/0",0,,0,"Mendapatkan surat suara voting karakter terpopuler.",0,,"2012-03-28 04:00:00 UTC","2012-04-04 03:00:00 UTC"
116,4,116,"2/111/1/0",0,,0,"Mendapatkan Asura LV3.",283,,"2012-04-04 04:00:00 UTC","2012-04-18 03:00:00 UTC"
117,4,117,"4/158/1/0",0,,0,"Mengumpulkan 7 bagian Secret Documents.",0,,"2012-04-18 04:00:00 UTC","2012-05-02 03:00:00 UTC"
118,4,118,"3/157/1/0",0,,0,"Menjalankan 50 duel.",0,,"2012-04-18 04:00:00 UTC","2012-05-02 03:00:00 UTC"
119,4,119,"2/105/1/0",0,,0,"Mendapatkan Florence LV3.",263,,"2012-05-02 04:00:00 UTC","2012-05-16 03:00:00 UTC"
120,4,120,"3/9/1/0",0,,0,"Menantang quest [Spring Ogre]!",0,,"2012-05-16 04:00:00 UTC","2012-05-30 06:00:00 UTC"
121,4,121,"3/21/1/0",0,,0,"Menjalankan quest [Goblin Parade] 10x (1 poin).",0,,"2012-05-16 04:00:00 UTC","2012-05-30 03:00:00 UTC"
122,4,122,"3/38/1/0",0,,0,"Menjalankan quest [Goblin King] 10x (5 poin).",0,,"2012-05-16 04:00:00 UTC","2012-05-30 03:00:00 UTC"
123,4,123,"1/10011/1/0",0,,0,"Menjalankan quest [Goblin Banquet] 10x (10 poin).",0,,"2012-05-16 04:00:00 UTC","2012-05-30 03:00:00 UTC"
124,4,124,"2/114/1/0",0,,0,"Mendapatkan Browning LV3.",293,,"2012-05-30 04:00:00 UTC","2012-06-13 03:00:00 UTC"
125,4,125,"4/165/1+1/10006/1/0",0,130,0,"Menjalankan [Sub-Female] 3x.",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC"
126,4,126,"4/166/1+1/10007/1/0",125,,0,"Menjalankan [Engineer] 8x.",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC"
127,4,127,"4/167/1+1/10008/1/0",126,,0,"Menjalankan [Sub-Man] 15x.",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC"
128,4,128,"2/62/1/2+1/10010/1/0",127,,0,"Menjalankan [Female Engineer] 30x.",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC"
129,4,129,"2/61/1/2+3/39/1/0",128,,0,"Menjalankan [Engineer] 50x.",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC"
130,4,130,"4/162/1+1/10006/1/0",0,125,0,"Menjalankan [Female Engineer] 3x.",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC"
131,4,131,"4/163/1+1/10007/1/0",130,,0,"Menjalankan [Sub-Man] 8x.",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC"
132,4,132,"4/164/1+1/10008/1/0",131,,0,"Menjalankan [Engineer] 3x.",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC"
133,4,133,"2/61/1/2+1/10009/1/0",132,,0,"Menjalankan [Sub-Female] 30x.",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC"
134,4,134,"2/62/1/2+3/39/1/0",133,,0,"Menjalankan [Sub-Female] 50x.",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC"
135,4,135,"4/168/1+3/51/1/0",0,,0,"Menjalankan 100 duel.",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC"
136,4,136,"4/169/1+4/170/1",35,,0,"Membunuh Darkness Tower Guardian.",0,"Menyelesaikan [Tower of Darkness].","2012-06-20 04:00:00 UTC",
137,4,137,"3/39/1/0",0,,0,"Menangkap Darkness Tower Guardian",0,,"2012-06-20 04:00:00 UTC","2012-07-04 03:00:00 UTC"
138,4,138,"1/10006/1/0",0,,0,"Menjalankan 10 duel di channel [Alexander].",0,,"2012-06-27 04:00:00 UTC","2012-07-11 04:00:00 UTC"
139,4,139,"1/10007/1/0",138,,0,"Menjalankan 20 duel di channel [Alexander].",0,,"2012-06-27 04:00:00 UTC","2012-07-11 04:00:00 UTC"
140,4,140,"1/10008/1/0",139,,0,"Menjalankan 30 duel di channel [Alexander].",0,,"2012-06-27 04:00:00 UTC","2012-07-11 04:00:00 UTC"
141,4,141,"2/117/1/0",0,,0,"Mendapatkan Marseus LV3.",303,,"2012-07-04 04:00:00 UTC","2012-07-18 03:00:00 UTC"
142,4,142,"3/38/1+2/6/1/2",0,,0,"Menjalankan quest Acolyte 40x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
143,4,143,"2/120/1/0+2/14/1/2",142,,0,"Menjalankan quest Acolyte 60x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
144,4,144,"4/171/1+1/10006/1/0",0,150,0,"Menjalankan quest Blau 4x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
145,4,145,"4/172/1+1/10007/1/0",144,,0,"Menjalankan quest Blau 7x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
146,4,146,"4/173/1+1/10008/1/0",145,,0,"Menjalankan quest Blau 9x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
147,4,147,"4/174/1+1/10009/1/0",146,,0,"Menjalankan quest Executioner 15x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
148,4,148,"4/175/1+1/10010/1/0",147,,0,"Menjalankan quest Executioner 20x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
149,4,149,"4/176/1+3/39/1/0",148,,0,"Menjalankan quest Executioner 25x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
150,4,150,"4/174/1+1/10006/1/0",0,144,0,"Menjalankan quest Rood 4x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
151,4,151,"4/175/1+1/10007/1/0",150,,0,"Menjalankan quest Rood 7x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
152,4,152,"4/176/1+1/10008/1/0",151,,0,"Menjalankan quest Rood 9x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
153,4,153,"4/171/1+1/10009/1/0",152,,0,"Menjalankan quest Magician 15x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
154,4,154,"4/172/1+1/10010/1/0",153,,0,"Menjalankan quest Visitor 20x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
155,4,155,"4/173/1+3/39/1/0",154,,0,"Menjalankan quest Waiting Room 25x.",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC"
156,4,156,"2/123/1/0",0,,0,"Mendapatkan Luka LV3.",323,,"2012-08-01 04:00:00 UTC","2012-08-15 03:00:00 UTC"
157,4,157,"3/2/1/0",0,,0,"Menjalankan quest Event 15x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
158,4,158,"3/38/1/0",157,,0,"Menjalankan quest Event 30x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
159,4,159,"3/21/1/0+4/180/1",158,,0,"Menjalankan quest Event 50x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
160,4,160,"4/177/1+1/10009/1/0",0,165,0,"Menjalankan [Deformed Claw] 4x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
161,4,161,"4/178/1+1/10010/1/0",160,,0,"Menjalankan [Creeping Whisker] 7x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
162,4,162,"4/179/1+1/20012/1/0",161,,0,"Menjalankan [Deformed Claw] 9x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
163,4,163,"3/27/1/0+1/10008/1/0",162,,0,"Menjalankan [Thin Tail] 12x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
164,4,164,"3/39/1/0+1/20013/1/0",163,,0,"Menjalankan [Thin Tail] 18x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
165,4,165,"4/177/1+1/10009/1/0",0,160,0,"Menjalankan [Creeping Whisker] 4x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
166,4,166,"4/178/1+1/10010/1/0",165,,0,"Menjalankan [Deformed Claw] 4x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
167,4,167,"4/179/1+1/20013/1/0",166,,0,"Menjalankan [Creeping Whisker] 9x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
168,4,168,"3/27/1/0+1/10008/1/0",167,,0,"Menjalankan [Thin Tail] 12x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
169,4,169,"3/39/1/0+1/20012/1/0",168,,0,"Menjalankan [Thin Tail] 18x.",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC"
170,4,170,"2/126/1/0",0,,0,"Mendapatkan Stacia LV3.",333,,"2012-09-05 04:00:00 UTC","2012-09-19 03:00:00 UTC"
171,4,171,"3/38/1/0+2/19/1/2",0,,0,"Mengumpulkan 5 Iron Chain.",0,,"2012-09-12 04:00:00 UTC","2012-09-26 03:00:00 UTC"
172,4,172,"3/27/1/0+2/23/1/2",171,,0,"Mengumpulkan 15 Iron Chain.",0,,"2012-09-12 04:00:00 UTC","2012-09-26 03:00:00 UTC"
173,4,173,"3/27/1/0+2/4/1/2",172,,0,"Mengumpulkan 30 Iron Chain.",0,,"2012-09-12 04:00:00 UTC","2012-09-26 03:00:00 UTC"
174,4,174,"3/27/1/0+2/13/1/2",173,,0,"Mengumpulkan 50 Iron Chain.",0,,"2012-09-12 04:00:00 UTC","2012-09-26 03:00:00 UTC"
175,4,175,"3/27/1/0+3/39/1/0",174,,0,"Mengumpulkan 100 Iron Chain.",0,,"2012-09-12 04:00:00 UTC","2012-09-26 03:00:00 UTC"
176,4,176,"3/28/1/0+2/34/1/2",0,,0,"Mengumpulkan 10 Platinum Chain.",0,,"2012-09-12 04:00:00 UTC","2012-09-26 03:00:00 UTC"
177,4,177,"4/181/1+4/182/1",136,,0,"Mengalahkan Ice Demon.",0,"Menyelesaikan [Heretic Tomb].","2012-09-19 04:00:00 UTC",
178,4,178,"1/10009/10/0",0,,0,"Mengalahkan Ice Demon dalam jangka yang ditentukan.",0,,"2012-09-19 04:00:00 UTC","2012-09-22 05:00:00 UTC"
179,4,179,"2/129/1/0",0,,0,"Mendapatkan Voland LV3.",345,,"2012-10-03 04:00:00 UTC","2012-10-17 05:00:00 UTC"
