"id","lot_kind","article_kind","article_id","order","rarity","visible","image_url","description","num"
107,2,4,276,302,3,0,,"帕茉 R1",1
108,2,4,286,301,3,0,,"阿修羅 R1",1
109,2,4,356,300,3,0,,"C.C. R1",1
110,2,4,445,201,2,0,,"夏洛特L5",1
111,2,4,455,200,2,0,,"泰瑞爾L5",1
112,2,2,7,104,1,0,,"劍7卡",1
113,2,2,15,103,1,0,,"槍7卡",1
114,2,4,58,102,1,0,,"庫勒尼西 R3",1
115,2,4,148,101,1,0,,"瑪格莉特 R3",1
116,2,4,179,100,1,0,,"貝琳達 R4",1
